[[0, 10, 8], [9, 3, 17], [6, 1, 4], [5, 12, 7], [16, 11, 2], [15, 13, 14]]
[[8, 16, 14], [17, 2, 7], [9, 12, 0], [3, 5, 11], [1, 15, 13], [10, 6, 4]]
[[14, 0, 4], [16, 11, 10], [1, 3, 12], [15, 13, 7], [5, 9, 2], [17, 8, 6]]
[[14, 6, 3], [17, 1, 4], [5, 15, 12], [2, 16, 9], [10, 11, 7], [13, 8, 0]]
[[16, 12, 1], [15, 6, 7], [0, 17, 2], [14, 3, 13], [10, 11, 4], [9, 8, 5]]
[[6, 4, 11], [15, 1, 5], [3, 17, 2], [10, 16, 12], [13, 7, 14], [0, 8, 9]]
[[17, 5, 12], [7, 6, 8], [10, 9, 1], [0, 4, 15], [16, 13, 2], [14, 11, 3]]
[[10, 2, 15], [17, 1, 5], [3, 13, 11], [7, 6, 9], [16, 14, 4], [0, 8, 12]]
[[2, 0, 16], [4, 15, 10], [3, 14, 17], [7, 1, 13], [9, 5, 11], [12, 6, 8]]
[[5, 7, 8], [13, 1, 15], [0, 4, 11], [16, 17, 10], [14, 2, 12], [9, 3, 6]]
[[15, 7, 0], [6, 14, 3], [16, 11, 8], [13, 4, 17], [9, 5, 2], [1, 12, 10]]
[[15, 8, 13], [10, 1, 5], [14, 2, 0], [12, 3, 9], [11, 17, 7], [6, 16, 4]]
[[17, 13, 0], [5, 9, 15], [11, 6, 10], [7, 16, 12], [14, 8, 4], [1, 3, 2]]
[[3, 2, 17], [10, 7, 16], [8, 5, 9], [15, 4, 6], [13, 1, 12], [14, 11, 0]]
[[10, 17, 12], [4, 9, 7], [14, 3, 16], [11, 2, 8], [0, 13, 1], [6, 15, 5]]
[[10, 8, 11], [7, 1, 13], [3, 12, 0], [2, 6, 15], [4, 14, 9], [5, 17, 16]]
[[0, 17, 14], [15, 13, 4], [7, 12, 5], [1, 8, 6], [3, 16, 2], [9, 11, 10]]
[[2, 9, 7], [0, 17, 12], [4, 10, 11], [14, 8, 1], [16, 13, 15], [5, 6, 3]]
[[11, 13, 3], [17, 9, 0], [4, 15, 5], [14, 8, 6], [1, 10, 16], [12, 2, 7]]
[[16, 6, 7], [4, 5, 11], [10, 15, 2], [14, 1, 0], [13, 8, 17], [9, 3, 12]]
[[16, 17, 8], [12, 10, 1], [3, 0, 6], [14, 15, 13], [2, 9, 5], [7, 11, 4]]
[[1, 16, 14], [11, 7, 17], [2, 6, 8], [4, 5, 12], [3, 13, 0], [10, 15, 9]]
[[13, 15, 6], [11, 5, 16], [10, 17, 8], [7, 2, 3], [12, 1, 14], [9, 0, 4]]
[[8, 5, 15], [6, 3, 11], [14, 4, 17], [16, 0, 12], [13, 1, 7], [10, 2, 9]]
[[2, 11, 16], [15, 1, 8], [13, 12, 5], [3, 0, 6], [10, 9, 7], [17, 14, 4]]
[[10, 16, 13], [7, 6, 1], [4, 2, 5], [15, 9, 17], [12, 11, 14], [3, 8, 0]]
[[7, 12, 9], [8, 1, 0], [16, 11, 4], [2, 3, 5], [15, 14, 17], [10, 13, 6]]
[[6, 14, 9], [17, 8, 10], [11, 15, 5], [12, 13, 3], [16, 7, 1], [4, 0, 2]]
[[11, 14, 12], [4, 10, 1], [9, 5, 0], [7, 3, 13], [17, 15, 2], [8, 16, 6]]
[[5, 10, 9], [14, 16, 0], [2, 15, 13], [11, 17, 7], [12, 3, 4], [1, 6, 8]]
[[15, 16, 7], [6, 17, 5], [9, 11, 3], [8, 4, 2], [13, 12, 10], [1, 0, 14]]
[[0, 16, 7], [14, 15, 9], [17, 4, 13], [10, 2, 12], [5, 6, 11], [1, 3, 8]]
[[16, 15, 10], [1, 3, 8], [11, 14, 12], [9, 17, 0], [5, 13, 4], [7, 6, 2]]
[[10, 14, 16], [11, 13, 1], [0, 12, 9], [6, 2, 17], [3, 5, 8], [15, 7, 4]]
[[11, 7, 14], [6, 8, 3], [4, 13, 0], [2, 1, 16], [12, 10, 9], [17, 5, 15]]
[[12, 15, 11], [14, 5, 3], [7, 17, 9], [10, 6, 4], [2, 1, 8], [13, 0, 16]]
[[14, 3, 0], [7, 16, 6], [8, 1, 9], [5, 4, 15], [10, 11, 13], [12, 2, 17]]
[[14, 9, 15], [2, 5, 8], [0, 11, 13], [3, 12, 10], [16, 1, 7], [4, 6, 17]]
[[4, 16, 17], [0, 3, 10], [1, 15, 11], [13, 7, 14], [5, 12, 2], [6, 9, 8]]
[[14, 8, 1], [10, 2, 5], [6, 3, 9], [17, 13, 11], [0, 4, 7], [16, 12, 15]]
[[7, 6, 5], [8, 11, 9], [2, 12, 15], [16, 4, 3], [1, 14, 10], [17, 13, 0]]
[[3, 11, 17], [1, 16, 12], [2, 10, 5], [4, 13, 15], [0, 6, 7], [8, 9, 14]]
[[3, 5, 0], [16, 4, 9], [2, 17, 8], [6, 7, 15], [11, 14, 10], [1, 12, 13]]
[[6, 10, 0], [17, 5, 9], [8, 1, 15], [16, 3, 14], [4, 13, 12], [2, 11, 7]]
[[15, 4, 6], [12, 13, 11], [16, 14, 10], [3, 7, 5], [0, 1, 17], [8, 9, 2]]
[[15, 0, 13], [14, 7, 8], [6, 12, 4], [3, 1, 5], [16, 17, 10], [2, 9, 11]]
[[0, 2, 7], [6, 8, 14], [5, 10, 12], [15, 17, 11], [9, 1, 16], [13, 3, 4]]
[[17, 0, 11], [7, 10, 9], [13, 16, 14], [6, 15, 4], [8, 5, 12], [1, 3, 2]]
[[8, 11, 2], [5, 10, 17], [4, 9, 13], [14, 16, 15], [7, 6, 12], [0, 3, 1]]
[[8, 1, 3], [5, 11, 13], [15, 0, 14], [4, 17, 16], [6, 2, 12], [7, 9, 10]]
[[12, 17, 8], [5, 0, 14], [10, 15, 16], [1, 2, 4], [3, 9, 6], [11, 7, 13]]
[[14, 10, 0], [2, 1, 6], [17, 11, 5], [3, 15, 12], [4, 9, 16], [8, 7, 13]]
[[8, 3, 7], [13, 0, 4], [1, 16, 9], [12, 6, 2], [17, 15, 14], [10, 5, 11]]
[[2, 15, 9], [5, 4, 7], [14, 17, 0], [13, 8, 1], [6, 11, 16], [12, 10, 3]]
[[4, 0, 16], [10, 8, 9], [1, 15, 3], [12, 2, 11], [13, 17, 6], [7, 14, 5]]
[[10, 1, 9], [14, 8, 12], [3, 6, 16], [5, 2, 11], [15, 13, 0], [7, 4, 17]]
[[9, 7, 16], [2, 1, 8], [12, 17, 13], [15, 10, 14], [4, 11, 3], [5, 6, 0]]
[[14, 2, 1], [7, 5, 6], [17, 9, 13], [3, 11, 8], [16, 4, 0], [15, 12, 10]]
[[1, 0, 12], [3, 4, 14], [10, 8, 15], [16, 5, 9], [6, 13, 2], [17, 11, 7]]
[[16, 0, 1], [13, 4, 11], [17, 15, 6], [8, 7, 10], [12, 9, 14], [3, 5, 2]]
[[10, 4, 12], [11, 16, 1], [2, 3, 5], [14, 7, 15], [17, 6, 13], [8, 0, 9]]
[[14, 0, 10], [2, 8, 13], [4, 12, 16], [7, 1, 6], [9, 5, 17], [15, 3, 11]]
[[16, 0, 8], [6, 17, 15], [9, 13, 3], [10, 5, 11], [2, 4, 1], [14, 12, 7]]
[[1, 9, 14], [13, 10, 6], [15, 4, 12], [3, 8, 0], [5, 2, 17], [7, 16, 11]]
[[14, 9, 0], [5, 2, 15], [10, 7, 13], [4, 8, 11], [1, 3, 6], [17, 12, 16]]
[[9, 17, 8], [1, 12, 15], [0, 11, 13], [3, 6, 2], [14, 16, 10], [5, 7, 4]]
