[[13, 12, 14], [18, 1, 20], [11, 10, 0], [17, 3, 6], [7, 8, 9], [15, 2, 5], [4, 19, 16]]
[[18, 12, 19], [13, 14, 15], [16, 9, 0], [2, 6, 8], [20, 1, 7], [5, 17, 11], [10, 4, 3]]
[[19, 14, 8], [16, 17, 6], [4, 5, 13], [9, 11, 10], [0, 12, 18], [7, 3, 20], [15, 2, 1]]
[[19, 9, 11], [20, 8, 3], [16, 17, 2], [13, 15, 4], [12, 5, 7], [0, 6, 1], [14, 10, 18]]
[[1, 0, 4], [6, 5, 12], [10, 17, 16], [13, 7, 9], [11, 18, 3], [19, 15, 2], [8, 14, 20]]
[[18, 15, 2], [10, 6, 12], [16, 3, 5], [11, 17, 8], [7, 4, 19], [14, 1, 13], [20, 0, 9]]
[[0, 16, 4], [19, 12, 11], [9, 13, 8], [2, 20, 6], [17, 18, 15], [7, 14, 10], [1, 3, 5]]
[[8, 4, 16], [15, 11, 1], [14, 0, 20], [19, 18, 7], [17, 13, 9], [12, 3, 10], [2, 5, 6]]
[[17, 15, 5], [8, 16, 1], [19, 7, 18], [4, 2, 6], [0, 9, 12], [3, 11, 13], [20, 10, 14]]
[[17, 7, 4], [18, 10, 6], [2, 13, 8], [0, 15, 16], [5, 1, 11], [3, 12, 9], [14, 19, 20]]
[[20, 19, 13], [12, 6, 11], [2, 7, 9], [0, 3, 10], [4, 1, 5], [8, 16, 15], [14, 18, 17]]
[[14, 2, 3], [5, 12, 17], [16, 6, 18], [7, 10, 8], [20, 13, 1], [4, 0, 15], [9, 11, 19]]
[[3, 1, 14], [0, 19, 12], [16, 15, 4], [6, 7, 11], [17, 2, 10], [13, 5, 18], [20, 8, 9]]
[[13, 0, 2], [5, 16, 8], [9, 7, 1], [6, 3, 17], [15, 14, 18], [4, 12, 10], [20, 11, 19]]
[[19, 4, 14], [2, 5, 1], [20, 6, 18], [10, 7, 11], [3, 16, 8], [12, 17, 15], [0, 9, 13]]
[[2, 6, 5], [1, 0, 13], [19, 8, 10], [7, 17, 15], [18, 4, 16], [3, 14, 9], [11, 12, 20]]
[[16, 17, 12], [10, 6, 20], [8, 14, 2], [7, 18, 1], [5, 13, 3], [15, 0, 19], [4, 9, 11]]
[[0, 14, 4], [9, 7, 17], [3, 6, 2], [18, 15, 19], [20, 16, 11], [8, 10, 13], [5, 12, 1]]
[[17, 12, 15], [3, 10, 6], [16, 2, 20], [4, 19, 13], [14, 5, 7], [0, 18, 11], [9, 1, 8]]
[[15, 4, 10], [11, 6, 19], [9, 5, 0], [16, 14, 7], [1, 12, 17], [13, 8, 2], [20, 3, 18]]
[[11, 13, 18], [7, 1, 14], [17, 5, 0], [2, 6, 4], [3, 9, 8], [19, 15, 20], [16, 10, 12]]
[[5, 2, 9], [7, 0, 19], [12, 11, 15], [18, 17, 1], [13, 3, 4], [6, 16, 8], [20, 14, 10]]
[[6, 10, 2], [0, 17, 12], [20, 18, 5], [15, 1, 3], [19, 4, 11], [14, 13, 16], [7, 8, 9]]
[[15, 3, 4], [0, 9, 8], [19, 17, 12], [13, 6, 2], [10, 5, 16], [20, 11, 18], [7, 1, 14]]
[[7, 11, 19], [1, 0, 12], [5, 4, 6], [13, 17, 2], [20, 8, 9], [3, 15, 18], [16, 10, 14]]
[[4, 10, 12], [8, 3, 1], [5, 2, 13], [15, 7, 9], [19, 16, 0], [18, 6, 20], [14, 17, 11]]
[[3, 0, 14], [8, 13, 9], [15, 16, 10], [6, 2, 11], [19, 12, 1], [4, 17, 5], [7, 18, 20]]
[[12, 10, 17], [2, 15, 14], [13, 11, 16], [1, 5, 6], [9, 0, 20], [4, 19, 3], [7, 18, 8]]
[[12, 14, 8], [10, 15, 9], [0, 2, 1], [7, 19, 16], [3, 5, 20], [18, 6, 17], [11, 4, 13]]
[[2, 15, 19], [6, 0, 8], [18, 4, 5], [13, 10, 12], [7, 1, 3], [14, 16, 11], [20, 9, 17]]
[[11, 7, 16], [2, 5, 17], [13, 12, 18], [15, 9, 19], [1, 10, 14], [4, 3, 8], [0, 20, 6]]
[[12, 6, 11], [2, 0, 3], [8, 13, 9], [15, 18, 20], [5, 16, 4], [14, 19, 1], [17, 7, 10]]
[[16, 17, 11], [5, 6, 12], [15, 8, 20], [14, 10, 9], [4, 1, 18], [7, 2, 0], [3, 19, 13]]
[[6, 5, 15], [12, 20, 19], [3, 1, 8], [9, 16, 10], [18, 4, 0], [11, 7, 2], [13, 14, 17]]
[[0, 1, 6], [14, 15, 7], [5, 3, 4], [12, 10, 17], [16, 13, 18], [19, 8, 2], [20, 9, 11]]
[[13, 3, 17], [5, 20, 10], [9, 15, 16], [7, 12, 4], [2, 19, 8], [18, 1, 14], [0, 6, 11]]
[[15, 10, 18], [16, 13, 11], [0, 4, 20], [12, 5, 19], [3, 6, 17], [9, 1, 8], [14, 7, 2]]
[[12, 19, 14], [9, 11, 17], [1, 16, 15], [3, 2, 0], [10, 6, 7], [13, 8, 5], [18, 4, 20]]
[[13, 0, 14], [6, 16, 12], [4, 10, 15], [3, 7, 18], [2, 1, 11], [9, 17, 20], [5, 19, 8]]
[[11, 16, 0], [15, 2, 9], [20, 3, 18], [1, 7, 13], [5, 19, 4], [14, 6, 12], [8, 17, 10]]
[[1, 13, 11], [7, 19, 6], [10, 5, 9], [2, 4, 18], [20, 16, 17], [3, 0, 12], [8, 15, 14]]
[[10, 11, 16], [15, 2, 9], [14, 17, 13], [19, 18, 20], [3, 12, 8], [6, 0, 4], [5, 1, 7]]
[[10, 18, 17], [9, 14, 15], [4, 0, 12], [16, 8, 3], [7, 13, 5], [20, 6, 2], [19, 11, 1]]
[[3, 10, 0], [15, 16, 9], [4, 18, 5], [14, 1, 6], [17, 7, 12], [13, 8, 2], [19, 11, 20]]
[[8, 4, 19], [11, 10, 17], [14, 13, 1], [12, 6, 15], [5, 9, 20], [3, 18, 7], [0, 16, 2]]
[[8, 20, 11], [10, 18, 9], [4, 12, 16], [5, 6, 3], [2, 1, 13], [15, 0, 7], [19, 17, 14]]
[[14, 7, 11], [2, 6, 5], [10, 8, 20], [19, 4, 12], [1, 13, 16], [3, 18, 15], [17, 0, 9]]
[[0, 13, 3], [18, 10, 1], [6, 12, 19], [11, 9, 4], [7, 16, 20], [15, 2, 5], [17, 8, 14]]
[[8, 12, 3], [4, 17, 9], [14, 6, 20], [2, 16, 0], [1, 15, 11], [18, 10, 13], [5, 7, 19]]
[[19, 1, 5], [7, 9, 3], [20, 11, 17], [12, 6, 14], [16, 8, 10], [4, 13, 2], [0, 15, 18]]
[[16, 3, 11], [8, 4, 2], [13, 15, 10], [7, 9, 20], [14, 6, 0], [5, 18, 17], [19, 1, 12]]
[[2, 13, 19], [1, 7, 10], [20, 8, 0], [9, 17, 3], [18, 11, 4], [15, 6, 12], [5, 16, 14]]
[[15, 16, 11], [6, 13, 20], [8, 4, 5], [9, 17, 12], [1, 14, 19], [18, 0, 7], [3, 2, 10]]
[[12, 15, 0], [16, 20, 6], [17, 3, 7], [10, 11, 5], [1, 13, 19], [14, 4, 18], [2, 8, 9]]
[[17, 3, 5], [9, 10, 16], [19, 11, 6], [2, 8, 1], [4, 18, 14], [12, 0, 13], [20, 7, 15]]
[[10, 9, 1], [20, 8, 13], [15, 19, 4], [7, 16, 11], [17, 2, 6], [5, 12, 3], [14, 18, 0]]
[[14, 16, 4], [7, 0, 12], [9, 10, 5], [17, 8, 20], [11, 3, 18], [13, 6, 1], [19, 2, 15]]
[[9, 15, 20], [6, 4, 17], [19, 18, 1], [14, 11, 5], [2, 13, 0], [8, 16, 12], [3, 10, 7]]
[[13, 14, 11], [20, 3, 16], [2, 17, 4], [19, 1, 18], [12, 5, 9], [7, 8, 0], [6, 10, 15]]
[[16, 17, 12], [14, 7, 20], [11, 10, 9], [5, 2, 4], [19, 8, 18], [1, 15, 13], [6, 0, 3]]
[[8, 20, 9], [17, 6, 14], [7, 12, 18], [11, 5, 10], [0, 1, 15], [4, 3, 13], [2, 19, 16]]
[[19, 12, 3], [10, 2, 17], [18, 9, 6], [0, 7, 1], [5, 14, 8], [15, 4, 16], [20, 11, 13]]
[[6, 20, 8], [7, 19, 0], [14, 4, 16], [3, 13, 10], [17, 11, 1], [12, 18, 15], [5, 9, 2]]
[[9, 12, 3], [18, 15, 11], [14, 7, 6], [1, 2, 16], [13, 20, 0], [8, 17, 4], [10, 19, 5]]
[[11, 15, 8], [12, 18, 10], [2, 0, 17], [13, 9, 14], [3, 16, 19], [5, 7, 6], [20, 4, 1]]
[[15, 4, 2], [1, 20, 6], [11, 17, 19], [8, 14, 0], [10, 12, 9], [3, 16, 13], [5, 18, 7]]
[[14, 11, 7], [1, 2, 12], [0, 8, 17], [3, 13, 15], [9, 20, 5], [18, 16, 19], [10, 4, 6]]
[[13, 5, 12], [11, 0, 17], [2, 16, 20], [15, 8, 1], [6, 19, 9], [7, 3, 10], [18, 14, 4]]
[[10, 0, 11], [12, 18, 7], [16, 15, 3], [6, 2, 17], [14, 4, 19], [13, 1, 8], [20, 5, 9]]
[[12, 3, 17], [4, 13, 19], [0, 15, 11], [14, 18, 20], [8, 10, 2], [7, 1, 16], [9, 5, 6]]
[[17, 1, 14], [20, 13, 5], [8, 2, 12], [11, 4, 15], [0, 7, 10], [9, 18, 3], [16, 19, 6]]
[[20, 11, 17], [14, 10, 7], [12, 19, 15], [1, 3, 6], [2, 0, 16], [18, 5, 4], [9, 13, 8]]
[[19, 0, 7], [8, 9, 12], [14, 4, 15], [11, 16, 3], [20, 13, 1], [2, 18, 17], [10, 5, 6]]
[[16, 14, 7], [19, 13, 18], [15, 9, 5], [0, 20, 8], [6, 1, 10], [3, 2, 4], [11, 17, 12]]
[[16, 13, 5], [8, 17, 18], [2, 9, 10], [19, 1, 11], [15, 12, 20], [3, 7, 14], [6, 0, 4]]
[[2, 3, 8], [1, 14, 7], [16, 20, 11], [12, 13, 10], [0, 19, 15], [6, 5, 17], [9, 18, 4]]
[[5, 3, 4], [20, 10, 17], [2, 13, 8], [19, 7, 14], [1, 16, 6], [9, 11, 12], [18, 15, 0]]
[[1, 2, 16], [5, 4, 11], [13, 17, 10], [8, 14, 9], [0, 18, 12], [15, 3, 6], [20, 7, 19]]
