[[3, 17, 14], [22, 13, 4], [7, 20, 23], [18, 16, 5], [19, 1, 2], [9, 11, 0], [8, 6, 10], [15, 12, 21]]
[[6, 22, 5], [4, 21, 19], [14, 2, 8], [20, 23, 10], [0, 17, 15], [9, 16, 3], [7, 11, 18], [12, 1, 13]]
[[16, 4, 19], [14, 15, 2], [23, 1, 10], [9, 11, 21], [3, 13, 6], [20, 17, 12], [0, 18, 22], [7, 8, 5]]
[[4, 6, 0], [13, 7, 12], [3, 18, 2], [20, 21, 16], [14, 19, 1], [23, 22, 17], [11, 9, 15], [8, 5, 10]]
[[4, 11, 19], [13, 18, 23], [3, 7, 6], [5, 20, 2], [14, 0, 16], [22, 10, 21], [1, 8, 15], [12, 17, 9]]
[[6, 10, 16], [0, 3, 22], [1, 9, 11], [7, 20, 13], [5, 4, 18], [19, 17, 8], [2, 21, 12], [15, 23, 14]]
[[17, 8, 2], [1, 13, 15], [20, 22, 7], [9, 19, 10], [21, 14, 5], [18, 0, 12], [16, 4, 3], [23, 6, 11]]
[[16, 5, 2], [13, 7, 18], [21, 19, 12], [3, 9, 8], [14, 20, 10], [1, 11, 23], [15, 22, 17], [4, 0, 6]]
[[7, 22, 8], [0, 4, 2], [13, 3, 11], [19, 1, 12], [9, 6, 10], [17, 5, 14], [21, 16, 20], [15, 18, 23]]
[[21, 3, 19], [12, 18, 5], [11, 17, 14], [20, 7, 13], [22, 0, 23], [1, 8, 16], [4, 15, 10], [9, 2, 6]]
[[21, 11, 15], [13, 8, 4], [19, 16, 14], [6, 17, 20], [7, 12, 5], [1, 2, 0], [10, 22, 18], [3, 23, 9]]
[[4, 11, 5], [15, 18, 9], [0, 21, 20], [3, 12, 8], [1, 13, 23], [10, 6, 16], [17, 22, 7], [2, 19, 14]]
[[17, 12, 14], [8, 21, 2], [4, 9, 5], [11, 20, 1], [15, 22, 23], [18, 10, 16], [13, 7, 19], [3, 6, 0]]
[[2, 9, 17], [15, 19, 12], [5, 4, 21], [16, 6, 1], [22, 8, 0], [13, 3, 11], [7, 14, 18], [20, 23, 10]]
[[17, 0, 23], [21, 16, 15], [1, 13, 2], [11, 18, 20], [7, 9, 6], [19, 3, 22], [4, 10, 5], [14, 8, 12]]
[[15, 3, 18], [8, 19, 12], [11, 10, 17], [7, 21, 20], [5, 14, 22], [23, 16, 0], [1, 9, 4], [6, 2, 13]]
[[11, 9, 15], [8, 4, 21], [6, 1, 17], [23, 5, 13], [18, 16, 7], [19, 20, 12], [14, 10, 3], [2, 22, 0]]
[[14, 9, 19], [7, 5, 21], [3, 6, 4], [11, 10, 22], [16, 15, 20], [23, 12, 13], [17, 8, 2], [1, 18, 0]]
[[8, 12, 21], [3, 0, 14], [2, 18, 13], [11, 23, 9], [4, 6, 17], [7, 19, 16], [20, 15, 1], [5, 10, 22]]
[[20, 18, 4], [8, 17, 23], [16, 3, 12], [15, 11, 6], [2, 10, 14], [1, 21, 5], [22, 7, 0], [19, 13, 9]]
[[13, 22, 8], [10, 2, 5], [21, 11, 0], [12, 14, 7], [17, 15, 20], [9, 6, 23], [4, 16, 18], [19, 3, 1]]
[[18, 1, 0], [14, 4, 11], [5, 22, 21], [8, 17, 19], [20, 2, 3], [15, 10, 6], [16, 9, 7], [23, 13, 12]]
[[0, 15, 21], [8, 10, 6], [19, 20, 17], [3, 23, 14], [22, 18, 13], [12, 9, 7], [2, 11, 1], [4, 16, 5]]
[[15, 4, 8], [19, 1, 12], [0, 16, 23], [22, 7, 6], [18, 11, 10], [20, 21, 5], [9, 2, 13], [17, 14, 3]]
[[8, 18, 20], [16, 3, 9], [12, 0, 17], [22, 5, 19], [1, 23, 4], [14, 13, 11], [15, 6, 10], [2, 7, 21]]
[[3, 20, 10], [22, 4, 6], [0, 23, 12], [5, 1, 21], [17, 11, 19], [8, 7, 15], [13, 9, 2], [18, 16, 14]]
[[14, 23, 11], [19, 8, 16], [20, 5, 15], [6, 12, 22], [4, 2, 10], [7, 9, 13], [17, 21, 0], [3, 18, 1]]
[[6, 1, 22], [21, 4, 8], [19, 10, 9], [2, 0, 11], [13, 7, 12], [16, 15, 3], [18, 14, 23], [5, 20, 17]]
[[1, 4, 11], [16, 19, 12], [14, 13, 8], [15, 5, 2], [20, 18, 3], [0, 23, 10], [21, 6, 17], [7, 9, 22]]
[[13, 10, 17], [16, 22, 0], [7, 15, 9], [14, 20, 18], [21, 8, 6], [2, 1, 12], [23, 3, 11], [19, 4, 5]]
[[2, 4, 5], [14, 7, 18], [10, 19, 15], [20, 0, 22], [11, 12, 3], [6, 17, 9], [21, 1, 8], [13, 16, 23]]
[[0, 21, 19], [10, 22, 9], [13, 16, 2], [15, 6, 4], [1, 23, 18], [17, 7, 14], [8, 5, 20], [12, 11, 3]]
[[10, 21, 0], [6, 13, 8], [2, 4, 23], [5, 15, 22], [18, 1, 9], [12, 19, 20], [17, 16, 7], [3, 14, 11]]
[[2, 8, 14], [10, 17, 15], [16, 11, 7], [6, 12, 18], [1, 19, 0], [5, 22, 3], [21, 23, 13], [4, 9, 20]]
[[23, 21, 12], [16, 10, 15], [5, 6, 19], [9, 17, 2], [0, 20, 11], [1, 13, 14], [3, 8, 22], [4, 18, 7]]
[[17, 5, 12], [1, 11, 3], [19, 7, 13], [4, 9, 16], [10, 18, 21], [14, 6, 22], [15, 20, 23], [2, 8, 0]]
[[21, 20, 15], [4, 18, 22], [12, 8, 1], [3, 5, 9], [23, 17, 7], [16, 2, 10], [19, 14, 13], [0, 6, 11]]
[[0, 21, 5], [14, 6, 18], [22, 7, 4], [1, 12, 9], [8, 17, 3], [10, 16, 2], [11, 15, 19], [20, 13, 23]]
[[14, 3, 9], [8, 1, 19], [15, 0, 20], [17, 5, 11], [6, 22, 23], [16, 2, 7], [10, 21, 4], [12, 13, 18]]
[[5, 0, 16], [13, 17, 21], [8, 9, 3], [6, 14, 15], [22, 7, 12], [18, 1, 19], [10, 2, 11], [23, 20, 4]]
[[17, 19, 14], [8, 1, 9], [4, 10, 15], [18, 12, 5], [16, 6, 3], [20, 11, 0], [2, 22, 21], [7, 23, 13]]
[[3, 1, 7], [8, 15, 10], [9, 5, 19], [11, 13, 12], [22, 17, 0], [14, 23, 16], [21, 6, 20], [18, 2, 4]]
[[23, 8, 18], [12, 22, 10], [5, 7, 13], [16, 2, 20], [11, 19, 1], [6, 17, 9], [14, 21, 3], [4, 15, 0]]
[[2, 9, 4], [3, 23, 8], [11, 12, 0], [7, 6, 18], [17, 14, 20], [15, 13, 5], [10, 1, 19], [22, 16, 21]]
[[22, 17, 20], [7, 18, 13], [19, 14, 6], [16, 12, 11], [2, 3, 4], [5, 15, 1], [23, 9, 21], [8, 0, 10]]
[[4, 17, 23], [10, 5, 19], [8, 16, 9], [12, 7, 2], [1, 13, 11], [22, 21, 18], [14, 6, 20], [15, 3, 0]]
[[23, 19, 18], [1, 5, 16], [0, 14, 22], [21, 9, 13], [4, 2, 10], [11, 3, 17], [15, 7, 6], [12, 20, 8]]
[[21, 12, 20], [15, 7, 14], [19, 8, 11], [23, 4, 17], [10, 3, 5], [22, 0, 1], [6, 18, 9], [13, 16, 2]]
[[8, 2, 14], [12, 19, 4], [18, 7, 11], [20, 13, 0], [23, 22, 3], [17, 21, 16], [5, 10, 6], [15, 9, 1]]
[[7, 5, 23], [9, 2, 12], [3, 13, 15], [10, 0, 4], [16, 6, 21], [19, 14, 11], [1, 20, 17], [18, 8, 22]]
[[15, 23, 16], [8, 4, 21], [22, 6, 5], [17, 7, 18], [13, 14, 19], [11, 10, 2], [20, 12, 9], [3, 1, 0]]
[[11, 9, 7], [4, 20, 17], [1, 14, 6], [2, 15, 8], [19, 3, 18], [5, 10, 22], [12, 13, 23], [0, 21, 16]]
[[6, 3, 11], [7, 19, 2], [22, 16, 12], [15, 1, 13], [10, 9, 17], [23, 0, 18], [14, 8, 4], [20, 21, 5]]
[[1, 11, 6], [13, 14, 8], [12, 19, 15], [10, 21, 16], [18, 23, 17], [4, 5, 20], [22, 2, 9], [7, 3, 0]]
[[22, 2, 18], [16, 13, 7], [20, 4, 5], [6, 10, 9], [8, 14, 17], [1, 12, 3], [11, 23, 19], [21, 0, 15]]
[[23, 1, 21], [14, 2, 16], [17, 10, 5], [15, 12, 9], [0, 7, 19], [8, 22, 4], [13, 18, 20], [6, 3, 11]]
[[0, 8, 11], [10, 16, 14], [21, 19, 23], [20, 7, 4], [13, 18, 3], [6, 22, 9], [12, 15, 2], [5, 1, 17]]
[[6, 8, 16], [9, 15, 13], [14, 3, 21], [17, 1, 2], [11, 4, 23], [20, 19, 5], [0, 12, 7], [18, 22, 10]]
[[21, 20, 0], [7, 15, 9], [4, 2, 23], [11, 16, 17], [12, 14, 10], [13, 8, 5], [19, 6, 3], [22, 18, 1]]
[[7, 9, 2], [18, 23, 1], [3, 17, 13], [16, 4, 14], [8, 19, 21], [15, 20, 22], [11, 6, 12], [10, 0, 5]]
[[22, 23, 11], [13, 4, 7], [1, 0, 20], [9, 10, 18], [15, 21, 16], [5, 17, 6], [3, 2, 19], [12, 8, 14]]
[[22, 10, 7], [17, 4, 1], [12, 6, 0], [14, 21, 2], [3, 18, 20], [5, 11, 23], [19, 9, 15], [13, 16, 8]]
[[3, 21, 0], [9, 4, 13], [17, 1, 5], [6, 8, 23], [7, 12, 20], [18, 14, 2], [15, 19, 16], [11, 22, 10]]
[[0, 15, 18], [6, 2, 9], [4, 8, 10], [5, 20, 14], [17, 11, 22], [19, 13, 1], [21, 3, 23], [16, 7, 12]]
[[16, 5, 22], [3, 18, 14], [13, 17, 12], [15, 6, 19], [23, 10, 8], [20, 11, 0], [9, 4, 1], [21, 7, 2]]
[[10, 16, 15], [21, 17, 5], [3, 6, 11], [20, 7, 1], [19, 22, 23], [4, 0, 2], [13, 18, 8], [12, 14, 9]]
[[20, 21, 2], [8, 16, 3], [15, 9, 1], [22, 11, 7], [0, 18, 6], [5, 4, 14], [13, 12, 19], [10, 23, 17]]
