[[21, 19, 18], [9, 8, 20], [10, 2, 1], [5, 11, 7], [12, 16, 15], [0, 17, 3], [6, 4, 13, 14]]
[[15, 14, 7], [3, 8, 6], [21, 20, 17], [0, 1, 12], [4, 19, 9], [16, 11, 13], [10, 18, 5, 2]]
[[6, 4, 17], [10, 19, 5], [18, 21, 0], [3, 16, 20], [9, 14, 13], [12, 2, 15], [1, 7, 11, 8]]
[[2, 15, 1], [8, 4, 0], [9, 3, 18], [20, 6, 7], [16, 10, 12], [21, 13, 5], [14, 17, 19, 11]]
[[11, 14, 3], [0, 9, 12], [5, 6, 18], [1, 19, 13], [21, 8, 16], [4, 2, 15], [20, 17, 10, 7]]
[[15, 8, 9], [21, 13, 18], [2, 11, 6], [16, 5, 14], [17, 20, 19], [3, 7, 12], [10, 0, 4, 1]]
[[17, 0, 13], [14, 21, 8], [18, 6, 11], [12, 5, 2], [9, 3, 1], [20, 7, 15], [19, 10, 4, 16]]
[[8, 1, 21], [6, 3, 5], [17, 0, 13], [10, 14, 4], [7, 11, 20], [9, 18, 15], [16, 19, 12, 2]]
[[9, 3, 19], [2, 12, 8], [16, 5, 18], [14, 20, 6], [21, 17, 15], [7, 11, 4], [0, 13, 1, 10]]
[[19, 5, 9], [11, 18, 10], [7, 16, 17], [4, 3, 12], [20, 14, 0], [6, 21, 1], [13, 8, 15, 2]]
[[21, 0, 15], [13, 19, 7], [17, 5, 3], [16, 9, 4], [1, 11, 14], [8, 6, 2], [18, 20, 10, 12]]
[[17, 8, 4], [18, 2, 0], [7, 3, 6], [10, 13, 21], [5, 16, 19], [12, 15, 14], [1, 20, 11, 9]]
[[13, 11, 8], [9, 21, 12], [16, 18, 19], [17, 15, 5], [6, 14, 20], [0, 2, 10], [4, 3, 7, 1]]
[[7, 8, 11], [18, 17, 9], [21, 13, 0], [12, 1, 16], [15, 6, 20], [10, 2, 14], [4, 3, 5, 19]]
[[18, 12, 16], [11, 4, 13], [20, 5, 9], [3, 1, 0], [7, 19, 17], [21, 14, 8], [10, 2, 6, 15]]
[[14, 19, 15], [8, 3, 17], [21, 18, 13], [1, 4, 20], [12, 9, 2], [16, 7, 0], [10, 5, 11, 6]]
[[3, 5, 17], [2, 10, 6], [12, 1, 8], [13, 18, 19], [16, 14, 4], [7, 21, 15], [20, 0, 11, 9]]
[[13, 3, 4], [12, 5, 9], [11, 2, 20], [10, 18, 0], [7, 21, 19], [6, 1, 17], [8, 16, 15, 14]]
[[4, 0, 9], [19, 1, 14], [10, 18, 8], [15, 11, 13], [12, 5, 16], [7, 20, 2], [3, 17, 21, 6]]
[[10, 1, 16], [18, 12, 19], [7, 8, 3], [13, 14, 2], [15, 20, 17], [6, 11, 4], [0, 21, 9, 5]]
[[0, 15, 9], [17, 8, 11], [13, 3, 7], [20, 4, 12], [5, 16, 14], [6, 2, 1], [19, 18, 10, 21]]
[[0, 2, 11], [3, 10, 5], [4, 13, 6], [12, 8, 19], [20, 16, 9], [7, 14, 1], [15, 21, 17, 18]]
[[15, 19, 14], [20, 7, 8], [10, 2, 0], [1, 4, 5], [13, 18, 12], [21, 6, 9], [11, 16, 17, 3]]
[[6, 12, 19], [7, 8, 2], [10, 16, 0], [18, 20, 11], [3, 5, 1], [9, 17, 4], [21, 13, 14, 15]]
[[14, 15, 3], [16, 0, 20], [10, 18, 4], [8, 21, 9], [1, 13, 19], [12, 2, 7], [17, 6, 5, 11]]
[[2, 5, 16], [18, 4, 15], [9, 6, 17], [19, 0, 10], [7, 11, 12], [21, 20, 3], [1, 14, 8, 13]]
[[15, 20, 12], [6, 11, 17], [1, 21, 14], [0, 18, 2], [7, 9, 3], [19, 4, 10], [13, 8, 16, 5]]
[[10, 13, 9], [5, 20, 7], [18, 12, 0], [8, 1, 3], [19, 2, 11], [14, 21, 16], [15, 4, 17, 6]]
[[16, 1, 12], [13, 7, 6], [10, 8, 5], [18, 19, 0], [21, 14, 9], [4, 11, 15], [20, 3, 17, 2]]
[[6, 1, 14], [8, 16, 18], [7, 17, 15], [4, 3, 0], [13, 19, 20], [21, 2, 9], [5, 10, 12, 11]]
[[1, 2, 10], [15, 12, 5], [8, 14, 20], [0, 7, 17], [3, 13, 9], [18, 11, 16], [19, 6, 21, 4]]
[[12, 21, 20], [7, 3, 0], [8, 18, 2], [10, 15, 9], [14, 16, 5], [13, 4, 17], [19, 1, 11, 6]]
[[8, 12, 18], [21, 16, 13], [14, 3, 4], [9, 1, 19], [10, 6, 7], [0, 5, 11], [20, 17, 2, 15]]
[[19, 15, 20], [21, 9, 17], [1, 2, 14], [5, 3, 11], [18, 16, 4], [8, 13, 7], [10, 6, 0, 12]]
[[7, 3, 13], [16, 11, 19], [10, 21, 4], [9, 2, 0], [12, 14, 15], [18, 20, 1], [17, 5, 6, 8]]
[[13, 18, 19], [7, 1, 17], [5, 8, 12], [3, 11, 16], [10, 21, 15], [2, 20, 6], [4, 0, 14, 9]]
[[2, 7, 15], [5, 4, 20], [16, 10, 18], [0, 8, 17], [11, 19, 3], [6, 1, 9], [12, 13, 14, 21]]
[[9, 3, 8], [7, 18, 5], [10, 12, 20], [21, 16, 13], [6, 19, 0], [4, 14, 1], [17, 2, 15, 11]]
[[1, 3, 6], [20, 0, 16], [2, 11, 14], [13, 10, 8], [5, 9, 4], [17, 12, 19], [15, 7, 21, 18]]
[[11, 15, 9], [10, 12, 16], [13, 8, 21], [2, 6, 14], [20, 3, 17], [18, 1, 7], [5, 19, 4, 0]]
[[9, 10, 3], [16, 11, 0], [14, 20, 21], [8, 5, 6], [7, 13, 12], [1, 2, 15], [4, 18, 19, 17]]
[[7, 20, 0], [17, 13, 21], [16, 8, 2], [18, 9, 14], [11, 10, 4], [5, 12, 1], [6, 3, 15, 19]]
[[3, 19, 2], [13, 18, 21], [17, 1, 11], [15, 16, 4], [7, 9, 12], [6, 8, 14], [0, 20, 10, 5]]
[[19, 0, 6], [2, 9, 12], [16, 7, 14], [13, 5, 21], [20, 1, 4], [17, 18, 11], [10, 15, 8, 3]]
[[1, 12, 11], [18, 16, 21], [8, 4, 3], [10, 20, 19], [9, 6, 14], [5, 0, 17], [7, 15, 2, 13]]
[[12, 10, 15], [14, 11, 19], [6, 21, 3], [17, 13, 1], [7, 4, 18], [0, 9, 8], [2, 20, 5, 16]]
[[7, 19, 8], [20, 4, 13], [21, 6, 2], [1, 11, 5], [14, 18, 15], [3, 10, 0], [9, 17, 16, 12]]
[[18, 12, 10], [6, 0, 2], [14, 8, 4], [20, 9, 15], [11, 13, 21], [5, 17, 7], [16, 1, 19, 3]]
[[9, 17, 15], [6, 2, 10], [16, 21, 11], [1, 8, 14], [19, 5, 0], [3, 20, 13], [18, 7, 12, 4]]
[[13, 20, 12], [18, 7, 21], [15, 1, 8], [11, 10, 4], [14, 17, 2], [16, 3, 0], [19, 5, 9, 6]]
[[0, 16, 20], [18, 2, 1], [11, 15, 17], [3, 5, 13], [6, 9, 4], [7, 14, 8], [10, 12, 19, 21]]
[[13, 11, 6], [7, 9, 10], [20, 16, 2], [19, 1, 8], [21, 3, 17], [0, 15, 12], [14, 4, 5, 18]]
[[9, 12, 15], [4, 20, 11], [14, 5, 19], [2, 6, 17], [1, 3, 21], [10, 16, 7], [18, 13, 8, 0]]
[[20, 7, 8], [12, 6, 2], [16, 3, 9], [15, 14, 21], [11, 18, 19], [17, 13, 10], [4, 1, 5, 0]]
[[5, 13, 16], [21, 3, 15], [0, 9, 20], [4, 1, 10], [19, 8, 6], [11, 7, 12], [17, 2, 18, 14]]
[[16, 1, 4], [11, 7, 3], [19, 14, 18], [6, 17, 9], [8, 15, 5], [12, 21, 20], [10, 13, 0, 2]]
[[5, 18, 8], [4, 11, 14], [13, 20, 1], [10, 9, 2], [17, 19, 6], [0, 12, 3], [21, 16, 15, 7]]
[[8, 17, 12], [5, 2, 4], [19, 10, 0], [13, 15, 11], [16, 6, 9], [3, 1, 20], [7, 18, 21, 14]]
[[8, 14, 13], [5, 4, 12], [11, 1, 2], [3, 17, 7], [9, 0, 15], [19, 20, 18], [16, 6, 21, 10]]
[[7, 20, 2], [21, 19, 3], [9, 1, 4], [18, 13, 12], [16, 17, 10], [5, 15, 0], [6, 14, 8, 11]]
[[13, 12, 5], [19, 3, 8], [2, 10, 17], [11, 16, 1], [0, 7, 4], [21, 18, 9], [6, 20, 15, 14]]
[[4, 21, 19], [11, 16, 13], [1, 10, 12], [7, 2, 18], [3, 8, 6], [20, 14, 17], [15, 5, 9, 0]]
[[21, 4, 10], [5, 6, 8], [7, 13, 0], [18, 12, 19], [20, 1, 3], [9, 2, 11], [17, 15, 14, 16]]
[[1, 6, 18], [13, 2, 8], [4, 7, 3], [17, 20, 21], [16, 19, 14], [15, 11, 0], [12, 9, 5, 10]]
[[8, 11, 6], [7, 17, 20], [10, 2, 16], [21, 19, 4], [9, 3, 12], [18, 15, 1], [13, 14, 5, 0]]
[[13, 3, 10], [14, 16, 12], [17, 4, 21], [0, 19, 15], [7, 18, 6], [8, 5, 2], [9, 1, 11, 20]]
[[9, 5, 19], [11, 12, 14], [8, 4, 20], [21, 18, 10], [0, 13, 17], [7, 3, 16], [2, 6, 1, 15]]
[[7, 9, 11], [16, 12, 21], [17, 10, 20], [4, 6, 14], [2, 13, 3], [18, 8, 1], [15, 5, 0, 19]]
[[9, 0, 21], [19, 16, 5], [7, 3, 6], [11, 20, 1], [14, 10, 15], [4, 8, 13], [17, 2, 12, 18]]
[[8, 7, 10], [14, 16, 15], [19, 11, 1], [17, 12, 2], [6, 21, 18], [5, 20, 9], [4, 13, 3, 0]]
[[3, 12, 4], [13, 21, 8], [6, 14, 1], [15, 11, 7], [17, 5, 16], [20, 18, 10], [2, 9, 0, 19]]
[[15, 9, 7], [19, 8, 10], [5, 17, 21], [1, 13, 2], [14, 4, 11], [18, 6, 16], [0, 3, 12, 20]]
[[20, 12, 11], [18, 6, 2], [17, 3, 0], [16, 5, 10], [9, 14, 7], [15, 1, 19], [13, 4, 21, 8]]
[[18, 10, 17], [5, 11, 8], [0, 13, 12], [1, 14, 3], [15, 21, 9], [19, 20, 4], [16, 7, 2, 6]]
[[3, 13, 5], [11, 20, 2], [15, 1, 12], [14, 7, 9], [10, 16, 4], [0, 8, 6], [18, 19, 21, 17]]
[[20, 14, 17], [21, 8, 9], [0, 2, 16], [18, 1, 12], [6, 11, 10], [19, 3, 5], [15, 13, 7, 4]]
[[6, 19, 21], [15, 17, 7], [18, 14, 5], [9, 13, 1], [12, 3, 2], [4, 10, 8], [0, 20, 11, 16]]
[[9, 17, 12], [16, 13, 19], [3, 5, 2], [4, 7, 11], [18, 6, 15], [20, 10, 21], [1, 8, 14, 0]]
[[8, 10, 16], [21, 11, 0], [5, 15, 17], [19, 20, 13], [7, 3, 9], [6, 2, 12], [18, 1, 4, 14]]
[[18, 7, 0], [17, 14, 4], [13, 3, 5], [15, 10, 11], [6, 1, 20], [16, 12, 9], [21, 2, 19, 8]]
[[21, 19, 11], [16, 14, 15], [12, 6, 18], [17, 8, 0], [10, 20, 9], [1, 13, 2], [3, 5, 4, 7]]
[[9, 15, 17], [6, 13, 18], [16, 14, 10], [4, 2, 7], [8, 21, 5], [0, 1, 20], [12, 11, 19, 3]]
