[[19, 23, 22], [17, 11, 18], [9, 15, 0], [4, 14, 7], [12, 5, 20], [6, 16, 1], [13, 3, 8], [24, 10, 2, 21]]
[[22, 20, 5], [7, 17, 14], [9, 24, 19], [13, 1, 6], [4, 11, 21], [2, 18, 16], [12, 3, 10], [23, 8, 0, 15]]
[[19, 15, 5], [24, 11, 17], [21, 10, 18], [13, 2, 6], [3, 12, 1], [14, 23, 16], [22, 8, 20], [9, 0, 7, 4]]
[[6, 21, 2], [15, 11, 18], [23, 19, 24], [7, 4, 16], [17, 5, 12], [22, 14, 9], [1, 10, 20], [13, 0, 8, 3]]
[[10, 24, 14], [2, 16, 23], [22, 13, 4], [19, 11, 6], [3, 0, 17], [21, 12, 8], [5, 1, 20], [9, 15, 7, 18]]
[[21, 12, 1], [8, 6, 20], [4, 23, 22], [0, 10, 16], [11, 13, 15], [19, 9, 24], [3, 5, 2], [7, 18, 17, 14]]
[[9, 23, 6], [4, 7, 1], [24, 16, 13], [19, 17, 18], [21, 8, 20], [0, 2, 5], [3, 14, 15], [12, 11, 10, 22]]
[[21, 18, 12], [23, 8, 24], [16, 6, 3], [13, 14, 9], [7, 15, 5], [20, 10, 22], [17, 0, 11], [1, 19, 4, 2]]
[[7, 15, 8], [17, 22, 18], [23, 24, 13], [0, 5, 10], [21, 16, 20], [6, 1, 14], [11, 2, 3], [12, 4, 9, 19]]
[[8, 19, 21], [10, 23, 3], [22, 0, 14], [1, 15, 18], [5, 6, 13], [4, 12, 11], [20, 17, 16], [9, 24, 2, 7]]
[[22, 7, 14], [2, 19, 1], [6, 20, 4], [16, 12, 11], [18, 21, 10], [23, 3, 0], [24, 13, 15], [9, 17, 5, 8]]
[[3, 4, 20], [23, 22, 17], [1, 8, 21], [6, 12, 19], [5, 11, 2], [24, 10, 16], [18, 14, 0], [15, 13, 7, 9]]
[[14, 10, 22], [6, 1, 0], [12, 20, 18], [8, 2, 15], [3, 11, 21], [23, 17, 4], [5, 19, 13], [24, 16, 7, 9]]
[[4, 8, 10], [14, 2, 17], [13, 3, 16], [9, 20, 6], [1, 24, 21], [19, 11, 0], [22, 18, 15], [12, 7, 5, 23]]
[[21, 9, 16], [15, 11, 18], [3, 14, 12], [2, 17, 13], [4, 20, 24], [5, 0, 22], [7, 23, 1], [19, 8, 10, 6]]
[[21, 6, 20], [15, 14, 5], [3, 1, 10], [13, 9, 19], [23, 16, 17], [4, 12, 24], [8, 7, 0], [2, 22, 11, 18]]
[[12, 3, 22], [20, 21, 6], [24, 10, 17], [23, 1, 16], [19, 7, 18], [15, 5, 2], [4, 14, 13], [8, 0, 9, 11]]
[[20, 11, 0], [22, 9, 24], [5, 23, 12], [15, 14, 7], [2, 8, 13], [18, 4, 16], [21, 3, 10], [6, 1, 17, 19]]
[[0, 6, 21], [8, 23, 5], [2, 7, 17], [9, 20, 3], [24, 12, 16], [13, 14, 19], [11, 10, 18], [15, 1, 22, 4]]
[[12, 5, 4], [20, 23, 17], [24, 16, 18], [22, 9, 21], [1, 0, 3], [8, 15, 7], [11, 6, 2], [13, 10, 19, 14]]
[[4, 5, 1], [11, 12, 21], [9, 3, 20], [17, 16, 13], [14, 22, 24], [2, 10, 23], [18, 8, 0], [6, 7, 15, 19]]
[[20, 4, 11], [12, 5, 16], [24, 15, 8], [10, 14, 17], [3, 19, 1], [9, 6, 0], [18, 21, 7], [23, 22, 13, 2]]
[[1, 20, 12], [4, 9, 11], [2, 21, 6], [10, 17, 19], [23, 13, 5], [15, 8, 7], [3, 24, 0], [14, 18, 22, 16]]
[[21, 0, 22], [7, 1, 9], [20, 14, 11], [13, 23, 8], [18, 6, 17], [15, 2, 16], [10, 19, 24], [5, 3, 4, 12]]
[[7, 16, 0], [24, 14, 17], [5, 15, 3], [21, 9, 23], [2, 6, 11], [19, 12, 4], [22, 1, 10], [20, 8, 18, 13]]
[[7, 13, 8], [5, 10, 3], [18, 1, 22], [19, 17, 11], [23, 12, 14], [15, 21, 4], [24, 0, 6], [20, 9, 2, 16]]
[[8, 20, 12], [4, 9, 11], [19, 10, 15], [23, 14, 7], [22, 3, 2], [1, 21, 13], [0, 16, 17], [18, 24, 5, 6]]
[[22, 6, 14], [9, 19, 18], [5, 4, 0], [3, 20, 17], [16, 8, 15], [10, 1, 12], [2, 13, 7], [11, 21, 23, 24]]
[[23, 0, 9], [21, 13, 11], [22, 20, 17], [2, 16, 5], [14, 18, 6], [15, 12, 19], [1, 7, 10], [24, 3, 8, 4]]
[[23, 10, 21], [17, 7, 24], [5, 9, 18], [12, 2, 4], [13, 14, 15], [11, 19, 6], [22, 20, 8], [0, 3, 1, 16]]
[[5, 17, 20], [8, 6, 13], [14, 0, 24], [21, 18, 23], [12, 16, 1], [19, 4, 7], [9, 11, 15], [3, 10, 22, 2]]
[[8, 16, 3], [15, 17, 2], [12, 6, 5], [20, 0, 22], [21, 13, 24], [7, 23, 9], [18, 4, 14], [19, 11, 10, 1]]
[[6, 19, 18], [10, 13, 0], [24, 15, 16], [20, 11, 3], [17, 1, 21], [7, 23, 4], [14, 8, 5], [12, 2, 22, 9]]
[[23, 15, 11], [14, 3, 9], [20, 16, 22], [5, 10, 0], [24, 6, 8], [2, 4, 12], [7, 17, 19], [13, 1, 18, 21]]
[[7, 8, 16], [18, 14, 6], [5, 11, 17], [23, 21, 0], [1, 19, 22], [3, 12, 24], [15, 10, 4], [13, 2, 20, 9]]
[[20, 14, 10], [4, 6, 11], [2, 7, 3], [17, 15, 18], [13, 12, 19], [22, 5, 16], [0, 8, 23], [24, 9, 1, 21]]
[[11, 6, 12], [9, 16, 14], [23, 3, 15], [8, 4, 0], [19, 17, 1], [24, 7, 13], [5, 10, 22], [18, 2, 21, 20]]
[[9, 14, 11], [22, 19, 6], [1, 16, 10], [15, 2, 18], [21, 23, 8], [4, 12, 5], [3, 13, 24], [17, 7, 20, 0]]
[[20, 15, 18], [21, 5, 9], [24, 6, 1], [7, 19, 10], [23, 8, 22], [3, 11, 0], [4, 14, 16], [13, 2, 12, 17]]
[[16, 12, 24], [11, 22, 4], [6, 19, 3], [10, 18, 2], [1, 15, 5], [17, 20, 13], [0, 23, 9], [14, 7, 8, 21]]
[[20, 6, 13], [22, 8, 9], [1, 19, 23], [10, 3, 4], [14, 2, 17], [12, 21, 5], [7, 24, 18], [0, 16, 11, 15]]
[[11, 15, 13], [16, 7, 5], [24, 21, 9], [23, 17, 20], [6, 1, 2], [3, 10, 14], [8, 12, 4], [19, 0, 18, 22]]
[[21, 3, 12], [15, 16, 19], [23, 6, 0], [18, 13, 5], [7, 4, 24], [1, 11, 22], [10, 9, 14], [8, 17, 2, 20]]
[[12, 21, 9], [23, 14, 10], [2, 20, 18], [6, 5, 11], [13, 16, 19], [4, 17, 7], [1, 24, 0], [8, 22, 15, 3]]
[[16, 1, 8], [2, 5, 9], [14, 23, 12], [4, 6, 13], [22, 24, 3], [21, 17, 19], [20, 11, 0], [18, 15, 10, 7]]
[[18, 22, 6], [9, 17, 13], [15, 10, 5], [19, 24, 1], [20, 11, 3], [16, 8, 23], [4, 0, 7], [2, 14, 12, 21]]
[[19, 0, 3], [16, 2, 13], [15, 18, 21], [23, 1, 24], [11, 14, 6], [4, 9, 5], [22, 7, 10], [20, 12, 17, 8]]
[[3, 11, 5], [17, 10, 6], [4, 23, 12], [18, 20, 22], [9, 1, 7], [21, 8, 2], [24, 0, 13], [15, 19, 14, 16]]
[[18, 0, 19], [7, 10, 3], [23, 21, 14], [22, 1, 5], [24, 9, 15], [16, 8, 20], [4, 17, 6], [13, 2, 12, 11]]
[[15, 11, 22], [7, 21, 10], [6, 16, 1], [20, 12, 23], [17, 0, 13], [19, 2, 8], [5, 24, 18], [4, 9, 14, 3]]
[[8, 9, 20], [12, 0, 24], [13, 11, 7], [10, 19, 16], [17, 6, 4], [2, 21, 22], [1, 14, 5], [18, 3, 23, 15]]
[[4, 7, 12], [2, 14, 9], [6, 11, 21], [15, 13, 0], [24, 3, 8], [20, 23, 18], [1, 5, 19], [10, 17, 16, 22]]
[[12, 23, 17], [5, 3, 20], [11, 22, 24], [2, 1, 13], [4, 6, 19], [0, 21, 14], [9, 16, 8], [15, 18, 7, 10]]
[[18, 7, 11], [8, 13, 1], [12, 6, 21], [17, 9, 4], [23, 3, 19], [5, 24, 16], [15, 2, 20], [22, 0, 14, 10]]
[[16, 7, 13], [2, 8, 11], [20, 22, 18], [21, 4, 10], [0, 5, 17], [24, 6, 23], [19, 15, 3], [12, 9, 1, 14]]
[[18, 3, 4], [10, 17, 0], [1, 12, 21], [13, 5, 24], [8, 9, 7], [14, 11, 2], [23, 19, 22], [16, 15, 6, 20]]
[[15, 21, 17], [3, 20, 1], [6, 23, 24], [12, 2, 18], [16, 10, 4], [13, 22, 14], [0, 9, 5], [19, 8, 7, 11]]
[[13, 14, 20], [9, 8, 6], [21, 10, 12], [19, 23, 0], [4, 2, 18], [11, 17, 5], [16, 24, 3], [7, 22, 1, 15]]
[[17, 12, 7], [24, 0, 21], [10, 5, 20], [3, 18, 2], [6, 16, 1], [11, 22, 19], [15, 4, 14], [13, 9, 8, 23]]
[[2, 16, 14], [11, 22, 24], [6, 8, 7], [10, 23, 3], [21, 18, 20], [17, 19, 13], [15, 12, 4], [5, 1, 9, 0]]
[[8, 13, 3], [2, 4, 6], [1, 16, 15], [7, 20, 24], [0, 12, 5], [11, 9, 23], [19, 22, 21], [18, 14, 17, 10]]
[[15, 10, 12], [18, 2, 8], [3, 20, 17], [5, 6, 22], [24, 7, 11], [4, 13, 1], [0, 23, 19], [9, 14, 16, 21]]
[[1, 11, 19], [16, 14, 24], [9, 15, 8], [20, 18, 6], [0, 17, 23], [2, 5, 7], [13, 12, 4], [21, 22, 10, 3]]
[[5, 12, 20], [17, 13, 2], [22, 21, 8], [18, 10, 11], [16, 14, 9], [1, 23, 15], [19, 4, 6], [3, 0, 24, 7]]
[[23, 13, 6], [5, 11, 3], [10, 18, 22], [21, 9, 19], [8, 15, 16], [0, 7, 1], [14, 24, 17], [20, 2, 4, 12]]
[[4, 11, 18], [3, 12, 1], [21, 9, 8], [16, 10, 2], [7, 5, 14], [0, 19, 13], [6, 23, 17], [22, 15, 24, 20]]
[[11, 7, 6], [17, 0, 5], [21, 15, 18], [12, 23, 3], [13, 22, 4], [19, 1, 24], [2, 8, 9], [14, 20, 10, 16]]
[[2, 11, 14], [16, 9, 12], [3, 19, 24], [18, 21, 0], [10, 4, 5], [23, 1, 7], [6, 15, 17], [8, 13, 22, 20]]
[[8, 21, 15], [6, 17, 20], [0, 9, 10], [7, 2, 3], [24, 22, 23], [14, 5, 18], [4, 13, 19], [11, 16, 12, 1]]
[[24, 23, 10], [4, 1, 18], [11, 3, 22], [13, 2, 16], [17, 9, 14], [6, 7, 12], [5, 19, 20], [21, 15, 0, 8]]
[[22, 6, 1], [19, 11, 16], [2, 8, 10], [13, 23, 17], [15, 3, 14], [9, 21, 24], [0, 4, 18], [5, 20, 7, 12]]
[[17, 18, 14], [21, 9, 11], [12, 6, 20], [1, 24, 2], [8, 7, 22], [4, 16, 15], [13, 3, 19], [0, 10, 23, 5]]
[[1, 24, 22], [12, 9, 17], [20, 18, 3], [11, 10, 15], [7, 0, 8], [19, 23, 14], [2, 21, 5], [13, 6, 16, 4]]
[[21, 9, 24], [14, 6, 16], [1, 10, 7], [15, 4, 19], [23, 3, 0], [20, 12, 11], [18, 2, 5], [17, 13, 22, 8]]
[[23, 21, 9], [20, 24, 11], [13, 17, 7], [0, 4, 14], [19, 18, 3], [6, 10, 16], [15, 22, 12], [8, 5, 1, 2]]
[[4, 13, 18], [16, 14, 5], [19, 8, 15], [17, 24, 10], [12, 1, 22], [7, 3, 0], [11, 20, 2], [23, 6, 9, 21]]
[[13, 23, 6], [2, 4, 9], [8, 16, 21], [3, 12, 22], [14, 7, 17], [24, 10, 20], [19, 15, 1], [0, 5, 18, 11]]
[[6, 4, 0], [3, 8, 21], [2, 13, 23], [14, 18, 11], [15, 22, 7], [19, 12, 16], [1, 5, 10], [20, 17, 9, 24]]
[[20, 16, 14], [11, 10, 23], [12, 6, 19], [24, 15, 18], [22, 4, 17], [0, 13, 3], [7, 8, 21], [5, 2, 1, 9]]
[[2, 17, 7], [24, 23, 9], [8, 10, 1], [21, 14, 18], [22, 6, 3], [13, 20, 0], [4, 16, 5], [11, 12, 19, 15]]
[[15, 1, 21], [6, 14, 23], [2, 20, 5], [22, 13, 24], [19, 12, 16], [0, 8, 18], [7, 11, 3], [4, 9, 10, 17]]
[[19, 16, 2], [3, 10, 8], [9, 4, 13], [0, 17, 20], [5, 24, 1], [22, 23, 21], [6, 18, 7], [14, 15, 12, 11]]
[[3, 19, 9], [24, 21, 12], [0, 20, 17], [7, 16, 8], [10, 4, 14], [5, 23, 11], [2, 6, 15], [1, 18, 22, 13]]
[[1, 22, 4], [7, 5, 9], [20, 23, 11], [19, 6, 21], [12, 16, 10], [15, 17, 8], [0, 14, 13], [24, 3, 2, 18]]
[[7, 11, 21], [4, 6, 9], [5, 23, 22], [0, 16, 18], [14, 13, 19], [17, 1, 3], [10, 12, 2], [15, 20, 8, 24]]
[[15, 0, 10], [7, 12, 1], [16, 20, 21], [11, 3, 23], [4, 8, 13], [24, 17, 6], [14, 9, 19], [2, 18, 5, 22]]
[[12, 7, 23], [9, 17, 10], [20, 0, 22], [11, 8, 16], [13, 24, 3], [1, 5, 21], [2, 4, 15], [6, 18, 14, 19]]
