[[15, 3, 1], [10, 0, 6], [14, 13, 2], [8, 9, 11], [5, 7, 12, 4]]
[[15, 9, 2], [13, 7, 6], [4, 5, 0], [14, 3, 8], [1, 11, 12, 10]]
[[6, 12, 11], [0, 13, 4], [5, 9, 8], [7, 3, 2], [1, 10, 15, 14]]
[[1, 12, 10], [15, 0, 14], [11, 2, 13], [8, 4, 6], [3, 5, 9, 7]]
[[10, 9, 5], [14, 6, 4], [8, 2, 15], [12, 3, 7], [0, 13, 11, 1]]
[[2, 13, 15], [14, 12, 4], [0, 7, 9], [1, 10, 5], [6, 3, 11, 8]]
[[1, 9, 0], [2, 6, 4], [3, 13, 7], [11, 14, 5], [15, 10, 8, 12]]
[[1, 6, 7], [4, 8, 0], [15, 14, 12], [2, 11, 10], [9, 3, 5, 13]]
[[13, 9, 14], [15, 11, 7], [5, 2, 4], [6, 1, 3], [8, 12, 0, 10]]
[[11, 13, 9], [15, 3, 5], [7, 10, 4], [6, 2, 14], [0, 8, 12, 1]]
[[4, 12, 9], [6, 10, 14], [13, 2, 8], [15, 1, 3], [7, 5, 0, 11]]
[[15, 14, 1], [9, 11, 12], [0, 10, 8], [2, 6, 7], [4, 5, 3, 13]]
[[12, 6, 2], [14, 15, 3], [4, 9, 13], [1, 8, 0], [7, 11, 5, 10]]
[[13, 12, 2], [10, 4, 0], [7, 9, 8], [15, 3, 1], [14, 5, 6, 11]]
[[9, 11, 13], [15, 0, 14], [10, 1, 2], [5, 8, 6], [7, 3, 4, 12]]
[[8, 4, 0], [5, 3, 1], [7, 11, 15], [12, 2, 13], [9, 6, 10, 14]]
[[12, 1, 6], [11, 0, 2], [4, 15, 13], [5, 3, 10], [14, 8, 7, 9]]
[[15, 3, 14], [7, 0, 8], [10, 5, 11], [13, 1, 12], [6, 9, 4, 2]]
[[5, 10, 7], [3, 0, 14], [6, 12, 13], [8, 9, 15], [4, 1, 11, 2]]
[[15, 6, 14], [10, 3, 13], [5, 7, 11], [12, 0, 9], [8, 1, 4, 2]]
[[15, 7, 2], [10, 5, 13], [12, 6, 11], [1, 8, 4], [3, 9, 0, 14]]
[[6, 15, 11], [3, 4, 14], [12, 5, 7], [10, 9, 0], [13, 2, 8, 1]]
[[2, 12, 10], [4, 0, 6], [9, 15, 5], [8, 3, 1], [14, 13, 7, 11]]
[[10, 11, 5], [1, 15, 8], [2, 4, 12], [13, 0, 7], [14, 9, 3, 6]]
[[10, 8, 15], [4, 3, 11], [7, 1, 9], [6, 12, 14], [13, 0, 2, 5]]
[[0, 8, 9], [14, 12, 3], [13, 2, 7], [10, 6, 1], [4, 11, 15, 5]]
[[5, 2, 0], [11, 4, 14], [15, 8, 6], [12, 9, 3], [7, 1, 10, 13]]
[[10, 9, 4], [1, 8, 3], [6, 13, 14], [11, 15, 7], [5, 2, 0, 12]]
[[15, 13, 14], [6, 9, 7], [3, 12, 11], [1, 2, 10], [8, 0, 5, 4]]
[[1, 5, 3], [6, 12, 8], [7, 15, 9], [2, 14, 0], [4, 10, 13, 11]]
[[13, 7, 2], [0, 9, 5], [4, 14, 3], [15, 12, 11], [8, 1, 10, 6]]
[[3, 1, 0], [7, 13, 10], [5, 8, 12], [4, 9, 11], [6, 15, 2, 14]]
[[6, 13, 3], [2, 10, 14], [4, 7, 1], [12, 11, 5], [0, 15, 9, 8]]
[[8, 12, 6], [10, 13, 1], [7, 9, 14], [5, 0, 3], [15, 2, 4, 11]]
[[2, 12, 15], [13, 1, 4], [7, 8, 0], [9, 14, 10], [6, 5, 11, 3]]
[[6, 13, 1], [14, 8, 5], [7, 12, 15], [10, 11, 0], [2, 9, 4, 3]]
[[4, 15, 5], [0, 10, 2], [3, 12, 8], [1, 7, 14], [11, 9, 13, 6]]
[[0, 8, 1], [13, 14, 9], [15, 11, 2], [4, 7, 3], [10, 5, 6, 12]]
[[12, 0, 8], [9, 2, 14], [6, 3, 4], [15, 13, 11], [5, 1, 10, 7]]
[[11, 3, 1], [6, 7, 15], [5, 8, 4], [10, 9, 13], [2, 14, 0, 12]]
[[15, 13, 5], [12, 3, 9], [1, 11, 0], [10, 2, 4], [6, 8, 7, 14]]
[[2, 1, 5], [9, 10, 8], [15, 3, 4], [13, 0, 6], [14, 12, 11, 7]]
[[6, 10, 0], [2, 4, 5], [3, 13, 14], [15, 8, 7], [11, 1, 12, 9]]
[[13, 8, 11], [3, 14, 5], [0, 10, 1], [4, 7, 15], [9, 12, 6, 2]]
[[4, 5, 1], [2, 10, 11], [13, 12, 0], [14, 3, 6], [9, 8, 15, 7]]
[[0, 4, 10], [7, 5, 6], [12, 15, 8], [3, 14, 2], [9, 1, 11, 13]]
[[0, 7, 10], [6, 11, 5], [2, 15, 13], [4, 1, 3], [9, 12, 8, 14]]
[[10, 4, 3], [5, 9, 2], [15, 11, 1], [8, 6, 7], [12, 0, 14, 13]]
[[12, 2, 15], [3, 14, 11], [5, 1, 8], [13, 9, 7], [4, 0, 6, 10]]
[[4, 12, 11], [8, 7, 3], [10, 2, 0], [13, 1, 15], [5, 14, 6, 9]]
[[4, 9, 8], [14, 11, 12], [2, 6, 15], [0, 3, 7], [10, 13, 1, 5]]
[[13, 6, 2], [0, 11, 9], [15, 1, 4], [8, 3, 7], [5, 12, 14, 10]]
[[11, 8, 15], [9, 10, 3], [6, 2, 4], [12, 14, 1], [13, 5, 0, 7]]
[[4, 2, 0], [10, 3, 7], [13, 14, 15], [1, 9, 6], [12, 11, 8, 5]]
[[8, 1, 13], [4, 2, 11], [14, 5, 0], [6, 3, 10], [9, 7, 15, 12]]
[[11, 7, 14], [12, 13, 2], [4, 5, 3], [6, 9, 8], [1, 10, 15, 0]]
[[0, 8, 7], [10, 4, 12], [9, 11, 6], [5, 1, 13], [3, 14, 15, 2]]
