[[18, 8, 11], [4, 10, 0], [9, 15, 6], [19, 16, 13], [7, 3, 5, 2], [17, 12, 14, 1]]
[[15, 0, 13], [8, 9, 17], [5, 11, 4], [10, 18, 6], [1, 12, 7, 3], [16, 19, 14, 2]]
[[19, 15, 17], [8, 4, 14], [7, 5, 6], [1, 11, 12], [16, 3, 0, 18], [13, 10, 2, 9]]
[[9, 19, 7], [18, 11, 15], [16, 2, 0], [4, 5, 10], [14, 6, 3, 17], [1, 13, 12, 8]]
[[11, 10, 3], [2, 17, 9], [1, 14, 15], [19, 13, 12], [7, 0, 8, 5], [4, 16, 18, 6]]
[[5, 1, 15], [12, 13, 8], [6, 3, 0], [19, 10, 2], [16, 4, 14, 9], [17, 7, 11, 18]]
[[0, 4, 16], [1, 9, 2], [19, 12, 7], [6, 14, 11], [15, 13, 18, 8], [5, 17, 10, 3]]
[[9, 18, 14], [10, 2, 4], [5, 15, 19], [11, 13, 16], [8, 17, 7, 6], [12, 3, 0, 1]]
[[5, 10, 9], [4, 12, 14], [2, 18, 1], [16, 13, 7], [19, 3, 11, 0], [8, 17, 15, 6]]
[[6, 0, 12], [15, 1, 8], [4, 14, 16], [9, 19, 17], [11, 10, 5, 2], [3, 7, 13, 18]]
[[8, 6, 14], [2, 0, 18], [9, 16, 15], [17, 11, 4], [7, 13, 3, 1], [5, 19, 12, 10]]
[[7, 3, 18], [14, 16, 17], [9, 10, 6], [15, 19, 11], [5, 12, 2, 8], [13, 0, 4, 1]]
[[5, 9, 18], [19, 3, 11], [12, 16, 15], [14, 13, 4], [10, 2, 0, 1], [6, 17, 7, 8]]
[[12, 2, 17], [15, 6, 14], [13, 9, 8], [5, 19, 1], [18, 4, 10, 3], [7, 0, 11, 16]]
[[4, 5, 12], [2, 0, 11], [10, 8, 17], [6, 7, 19], [3, 1, 14, 16], [18, 9, 13, 15]]
[[2, 9, 3], [17, 4, 8], [1, 0, 7], [13, 10, 18], [6, 12, 14, 15], [11, 16, 5, 19]]
[[10, 4, 9], [1, 17, 12], [19, 5, 14], [13, 7, 2], [6, 11, 18, 15], [8, 3, 16, 0]]
[[17, 14, 13], [4, 12, 6], [19, 9, 10], [3, 11, 15], [16, 1, 18, 5], [2, 0, 7, 8]]
[[18, 12, 2], [13, 10, 5], [0, 19, 1], [6, 8, 4], [17, 15, 16, 14], [9, 7, 3, 11]]
[[12, 19, 3], [15, 0, 1], [18, 14, 13], [4, 16, 9], [6, 10, 2, 8], [11, 7, 5, 17]]
[[13, 3, 9], [15, 1, 7], [0, 10, 6], [8, 11, 12], [16, 19, 14, 17], [18, 2, 4, 5]]
[[13, 16, 11], [7, 8, 2], [1, 12, 18], [10, 19, 9], [4, 15, 14, 0], [17, 5, 3, 6]]
[[7, 5, 3], [18, 8, 4], [15, 17, 12], [0, 1, 9], [16, 11, 6, 2], [10, 14, 19, 13]]
[[8, 18, 19], [7, 10, 2], [14, 11, 16], [12, 15, 9], [13, 0, 3, 4], [6, 5, 17, 1]]
[[15, 8, 4], [18, 3, 10], [14, 13, 9], [16, 17, 7], [5, 2, 12, 0], [6, 19, 1, 11]]
[[12, 10, 3], [1, 0, 2], [4, 16, 15], [6, 13, 18], [9, 5, 14, 11], [19, 17, 7, 8]]
[[2, 16, 17], [4, 3, 15], [10, 18, 14], [8, 7, 13], [6, 12, 5, 1], [19, 0, 9, 11]]
[[3, 7, 8], [10, 0, 14], [5, 18, 15], [17, 4, 16], [2, 12, 19, 6], [11, 13, 1, 9]]
[[11, 5, 4], [12, 9, 16], [2, 13, 19], [14, 1, 18], [17, 3, 8, 10], [0, 6, 15, 7]]
[[8, 9, 16], [15, 4, 18], [5, 12, 2], [3, 6, 1], [11, 10, 7, 13], [17, 0, 14, 19]]
[[3, 6, 19], [7, 16, 8], [9, 5, 2], [11, 13, 14], [12, 0, 15, 17], [18, 1, 10, 4]]
[[15, 7, 8], [3, 6, 19], [14, 10, 17], [4, 13, 11], [9, 0, 12, 1], [5, 2, 16, 18]]
[[15, 19, 18], [3, 13, 10], [0, 6, 12], [11, 1, 2], [8, 17, 5, 14], [7, 4, 9, 16]]
[[1, 19, 11], [7, 10, 16], [8, 9, 13], [5, 14, 15], [4, 18, 3, 2], [17, 6, 0, 12]]
[[3, 18, 2], [7, 1, 9], [8, 10, 15], [14, 11, 5], [6, 16, 4, 12], [19, 17, 0, 13]]
[[6, 18, 8], [0, 2, 3], [7, 4, 19], [9, 13, 5], [10, 15, 1, 14], [12, 11, 16, 17]]
[[7, 3, 12], [11, 13, 10], [16, 15, 4], [18, 0, 8], [1, 6, 17, 14], [9, 19, 2, 5]]
[[8, 16, 6], [17, 14, 5], [4, 11, 13], [0, 7, 18], [3, 1, 19, 12], [15, 2, 10, 9]]
[[13, 18, 0], [9, 6, 8], [7, 19, 2], [12, 5, 14], [15, 17, 11, 10], [3, 1, 4, 16]]
[[15, 17, 7], [1, 16, 5], [9, 4, 2], [3, 10, 8], [11, 12, 14, 6], [18, 19, 13, 0]]
[[10, 19, 1], [11, 3, 9], [7, 14, 8], [18, 17, 16], [5, 4, 12, 6], [13, 2, 15, 0]]
[[5, 18, 0], [11, 9, 4], [17, 13, 14], [12, 16, 1], [15, 10, 2, 3], [6, 8, 19, 7]]
[[5, 16, 0], [15, 3, 7], [17, 11, 12], [14, 19, 9], [1, 10, 8, 4], [18, 2, 13, 6]]
[[18, 14, 11], [15, 3, 17], [19, 0, 8], [16, 2, 9], [7, 10, 4, 12], [6, 5, 1, 13]]
[[14, 13, 16], [19, 18, 11], [0, 4, 2], [9, 5, 10], [8, 15, 7, 12], [3, 1, 17, 6]]
[[7, 19, 6], [11, 15, 16], [13, 4, 5], [1, 17, 18], [3, 14, 9, 0], [8, 12, 2, 10]]
[[3, 1, 6], [12, 10, 9], [8, 18, 19], [7, 17, 2], [14, 16, 5, 0], [15, 4, 11, 13]]
[[2, 5, 14], [1, 0, 3], [4, 11, 10], [13, 6, 19], [7, 12, 8, 15], [16, 18, 9, 17]]
[[14, 15, 7], [16, 6, 17], [3, 10, 2], [5, 11, 18], [1, 4, 9, 19], [13, 12, 8, 0]]
[[16, 14, 19], [2, 13, 8], [3, 11, 6], [7, 4, 12], [10, 15, 9, 18], [0, 1, 17, 5]]
[[12, 10, 0], [16, 3, 19], [13, 2, 8], [18, 6, 14], [7, 15, 5, 1], [11, 9, 17, 4]]
[[3, 16, 8], [10, 18, 17], [5, 2, 11], [15, 1, 19], [0, 6, 9, 13], [7, 12, 4, 14]]
[[7, 1, 14], [0, 11, 9], [8, 10, 5], [18, 19, 12], [16, 3, 17, 13], [6, 2, 4, 15]]
[[11, 12, 8], [18, 10, 7], [3, 1, 9], [0, 16, 2], [6, 13, 15, 19], [17, 5, 14, 4]]
[[13, 10, 17], [5, 11, 12], [16, 15, 3], [8, 9, 2], [4, 6, 18, 7], [19, 0, 14, 1]]
[[17, 5, 9], [19, 14, 2], [4, 10, 18], [13, 16, 1], [7, 15, 11, 12], [6, 8, 3, 0]]
[[2, 5, 12], [4, 15, 7], [1, 13, 11], [19, 16, 6], [18, 14, 9, 8], [17, 0, 3, 10]]
[[5, 1, 0], [8, 15, 13], [6, 7, 4], [11, 18, 14], [17, 3, 12, 19], [10, 2, 16, 9]]
[[9, 1, 16], [18, 11, 15], [2, 10, 5], [0, 4, 7], [14, 12, 8, 19], [3, 17, 6, 13]]
[[5, 7, 9], [0, 19, 14], [8, 1, 3], [6, 10, 16], [13, 18, 2, 12], [11, 17, 4, 15]]
[[13, 12, 9], [7, 4, 10], [18, 6, 5], [19, 14, 2], [16, 3, 0, 1], [11, 15, 8, 17]]
[[14, 0, 3], [9, 19, 7], [12, 8, 6], [18, 11, 5], [4, 2, 1, 17], [15, 10, 13, 16]]
[[12, 16, 19], [18, 9, 4], [15, 1, 6], [11, 7, 5], [13, 10, 0, 8], [2, 3, 17, 14]]
[[10, 14, 5], [16, 12, 7], [15, 11, 3], [18, 19, 8], [4, 1, 6, 17], [2, 0, 13, 9]]
[[5, 16, 12], [9, 18, 15], [7, 0, 6], [13, 3, 4], [19, 2, 14, 17], [10, 11, 8, 1]]
[[17, 1, 16], [15, 14, 10], [2, 9, 18], [19, 11, 5], [3, 4, 12, 6], [7, 8, 13, 0]]
[[1, 0, 16], [15, 7, 8], [5, 13, 2], [11, 10, 14], [6, 3, 19, 9], [18, 17, 4, 12]]
[[3, 9, 8], [13, 15, 17], [6, 7, 4], [10, 1, 2], [5, 12, 19, 0], [14, 18, 16, 11]]
[[12, 0, 13], [5, 1, 4], [2, 18, 11], [6, 16, 8], [17, 15, 7, 3], [10, 14, 19, 9]]
[[0, 11, 14], [9, 6, 15], [18, 8, 10], [5, 1, 17], [4, 12, 16, 19], [2, 13, 7, 3]]
[[15, 11, 7], [16, 3, 1], [12, 8, 2], [9, 0, 13], [18, 19, 14, 17], [5, 10, 6, 4]]
[[7, 2, 10], [19, 16, 17], [4, 14, 9], [3, 12, 8], [11, 6, 5, 13], [18, 0, 1, 15]]
[[14, 17, 5], [16, 15, 4], [8, 0, 12], [10, 11, 3], [13, 18, 9, 7], [2, 19, 1, 6]]
[[5, 13, 0], [4, 2, 12], [10, 8, 15], [7, 16, 6], [14, 9, 1, 17], [18, 19, 11, 3]]
[[5, 15, 10], [4, 6, 2], [14, 17, 12], [0, 11, 18], [13, 9, 1, 8], [19, 7, 16, 3]]
[[5, 4, 8], [1, 15, 3], [2, 13, 10], [18, 17, 11], [12, 16, 6, 7], [9, 19, 0, 14]]
[[6, 5, 8], [19, 13, 2], [9, 7, 18], [3, 1, 16], [10, 0, 11, 12], [17, 14, 15, 4]]
[[2, 15, 10], [4, 3, 9], [12, 8, 0], [11, 6, 16], [18, 1, 14, 7], [17, 5, 13, 19]]
[[4, 17, 14], [9, 8, 2], [3, 16, 5], [11, 19, 1], [0, 13, 6, 15], [12, 10, 18, 7]]
[[11, 16, 12], [18, 8, 13], [17, 9, 5], [15, 10, 14], [4, 1, 7, 19], [0, 6, 3, 2]]
[[9, 8, 18], [13, 0, 6], [14, 16, 3], [17, 7, 1], [15, 11, 19, 2], [10, 4, 12, 5]]
[[15, 6, 17], [14, 9, 19], [5, 18, 2], [1, 3, 10], [4, 16, 13, 12], [7, 0, 11, 8]]
[[3, 6, 14], [5, 19, 7], [16, 17, 2], [4, 15, 10], [12, 11, 18, 13], [9, 1, 8, 0]]
[[18, 17, 10], [2, 0, 19], [9, 4, 13], [8, 16, 3], [14, 15, 12, 7], [1, 5, 11, 6]]
