[[6, 16, 11], [9, 21, 0], [20, 19, 7], [13, 3, 12], [1, 15, 17], [8, 18, 10, 5], [22, 4, 2, 14]]
[[2, 14, 4], [12, 15, 22], [1, 5, 17], [9, 18, 19], [6, 11, 20], [10, 3, 8, 7], [16, 13, 21, 0]]
[[11, 9, 14], [1, 19, 6], [16, 17, 10], [13, 20, 3], [7, 12, 22], [4, 5, 2, 21], [15, 18, 0, 8]]
[[3, 20, 10], [2, 16, 4], [14, 18, 17], [8, 12, 19], [5, 7, 0], [1, 13, 22, 11], [21, 9, 6, 15]]
[[2, 3, 14], [20, 13, 22], [15, 11, 17], [1, 21, 12], [8, 7, 5], [19, 16, 4, 18], [0, 6, 9, 10]]
[[0, 22, 3], [13, 1, 20], [21, 9, 6], [16, 10, 4], [2, 19, 12], [8, 5, 14, 15], [18, 11, 7, 17]]
[[3, 13, 1], [17, 0, 15], [18, 12, 22], [6, 19, 8], [9, 21, 16], [7, 20, 2, 10], [5, 4, 11, 14]]
[[19, 6, 12], [18, 20, 11], [15, 17, 1], [2, 21, 7], [16, 9, 22], [10, 0, 4, 3], [14, 8, 13, 5]]
[[0, 12, 19], [21, 10, 5], [2, 8, 1], [9, 15, 4], [11, 22, 16], [20, 13, 7, 18], [17, 3, 6, 14]]
[[10, 3, 11], [18, 13, 19], [6, 12, 20], [4, 9, 7], [16, 5, 17], [8, 22, 21, 14], [0, 1, 2, 15]]
[[19, 21, 18], [6, 22, 9], [20, 17, 2], [1, 14, 7], [8, 3, 4], [12, 0, 15, 10], [5, 16, 13, 11]]
[[18, 10, 5], [2, 9, 14], [1, 21, 16], [17, 12, 3], [0, 11, 6], [22, 15, 8, 4], [20, 13, 19, 7]]
[[15, 3, 1], [12, 2, 16], [20, 19, 22], [9, 8, 13], [10, 5, 21], [14, 11, 0, 4], [6, 7, 18, 17]]
[[5, 9, 3], [10, 22, 2], [0, 14, 7], [17, 12, 20], [18, 21, 4], [16, 1, 6, 19], [13, 11, 8, 15]]
[[22, 9, 18], [20, 13, 4], [1, 12, 21], [15, 11, 3], [0, 2, 7], [17, 14, 6, 10], [19, 8, 5, 16]]
[[3, 22, 17], [4, 18, 12], [11, 15, 7], [19, 13, 21], [5, 2, 16], [6, 10, 20, 9], [14, 0, 8, 1]]
[[18, 20, 0], [21, 1, 19], [2, 11, 10], [16, 22, 7], [17, 14, 6], [9, 15, 13, 4], [8, 5, 12, 3]]
[[11, 4, 21], [13, 7, 5], [15, 1, 18], [17, 16, 3], [20, 12, 0], [19, 6, 14, 9], [8, 10, 22, 2]]
[[9, 4, 21], [13, 14, 10], [11, 3, 18], [1, 20, 7], [6, 0, 22], [5, 19, 17, 8], [2, 16, 12, 15]]
[[3, 22, 18], [21, 8, 5], [6, 0, 12], [13, 20, 2], [4, 19, 16], [14, 11, 9, 1], [17, 7, 10, 15]]
[[7, 5, 2], [6, 21, 22], [4, 9, 14], [13, 17, 20], [16, 12, 11], [18, 8, 15, 1], [10, 0, 19, 3]]
[[12, 15, 22], [2, 10, 18], [13, 1, 9], [6, 20, 3], [0, 16, 7], [14, 21, 17, 8], [11, 4, 5, 19]]
[[15, 1, 13], [14, 4, 5], [11, 9, 22], [8, 17, 16], [3, 12, 2], [6, 0, 7, 18], [10, 19, 20, 21]]
[[12, 9, 20], [11, 3, 2], [16, 8, 7], [1, 15, 19], [6, 18, 0], [13, 14, 22, 10], [17, 5, 4, 21]]
[[13, 7, 4], [17, 14, 16], [3, 20, 1], [15, 6, 21], [9, 2, 5], [22, 19, 8, 10], [18, 11, 12, 0]]
[[4, 21, 13], [3, 15, 17], [10, 0, 6], [19, 2, 20], [14, 18, 9], [8, 12, 7, 1], [22, 16, 5, 11]]
[[3, 15, 7], [22, 17, 13], [20, 21, 4], [6, 14, 18], [16, 5, 2], [9, 10, 8, 0], [12, 11, 19, 1]]
[[12, 11, 10], [1, 7, 22], [18, 4, 13], [20, 5, 6], [0, 17, 21], [2, 16, 19, 8], [3, 14, 15, 9]]
[[9, 0, 17], [18, 14, 13], [10, 11, 7], [15, 12, 6], [21, 22, 4], [2, 8, 3, 5], [1, 19, 16, 20]]
[[5, 1, 13], [10, 17, 9], [6, 12, 15], [8, 14, 3], [21, 20, 2], [16, 18, 7, 0], [4, 19, 22, 11]]
[[14, 2, 17], [21, 8, 7], [4, 19, 10], [22, 1, 15], [12, 9, 5], [3, 6, 0, 16], [20, 11, 13, 18]]
[[2, 4, 6], [3, 0, 20], [15, 16, 5], [9, 21, 12], [1, 18, 10], [13, 11, 17, 22], [8, 14, 7, 19]]
[[18, 12, 11], [7, 21, 14], [16, 2, 3], [13, 0, 9], [22, 15, 4], [8, 17, 5, 1], [19, 20, 6, 10]]
[[10, 0, 16], [12, 22, 3], [15, 19, 4], [18, 11, 6], [1, 21, 5], [7, 14, 20, 2], [13, 8, 9, 17]]
[[11, 4, 14], [17, 0, 13], [7, 8, 9], [10, 18, 12], [3, 6, 1], [5, 2, 19, 20], [21, 16, 15, 22]]
[[21, 7, 11], [12, 20, 19], [2, 0, 16], [9, 3, 22], [6, 5, 1], [13, 10, 4, 17], [14, 18, 15, 8]]
[[4, 12, 3], [11, 1, 20], [14, 9, 15], [0, 2, 8], [21, 10, 17], [13, 5, 22, 16], [18, 6, 7, 19]]
[[7, 22, 12], [13, 0, 19], [10, 17, 16], [8, 5, 9], [3, 18, 2], [15, 4, 1, 21], [20, 6, 11, 14]]
[[4, 2, 8], [10, 18, 11], [14, 21, 3], [15, 6, 16], [20, 9, 1], [19, 5, 12, 22], [0, 13, 7, 17]]
[[11, 12, 6], [17, 16, 2], [15, 1, 20], [14, 8, 0], [21, 19, 18], [5, 4, 22, 9], [7, 10, 13, 3]]
[[9, 10, 19], [0, 6, 18], [8, 12, 15], [13, 17, 16], [3, 5, 21], [1, 20, 14, 2], [7, 4, 22, 11]]
[[14, 6, 9], [15, 17, 22], [8, 2, 18], [7, 10, 5], [13, 12, 0], [16, 11, 20, 3], [4, 19, 1, 21]]
[[7, 3, 14], [2, 20, 15], [11, 9, 18], [17, 0, 21], [19, 13, 4], [12, 8, 5, 6], [16, 1, 22, 10]]
[[1, 0, 21], [8, 22, 20], [4, 19, 2], [13, 7, 9], [5, 15, 16], [6, 12, 14, 17], [10, 3, 18, 11]]
[[17, 16, 19], [11, 15, 21], [13, 2, 20], [4, 1, 7], [18, 12, 8], [5, 0, 6, 22], [14, 10, 3, 9]]
[[13, 3, 1], [21, 9, 17], [19, 11, 14], [8, 7, 16], [18, 20, 15], [4, 22, 0, 2], [6, 10, 12, 5]]
[[2, 22, 0], [7, 21, 16], [18, 10, 15], [6, 19, 4], [11, 3, 8], [14, 12, 20, 9], [17, 1, 13, 5]]
[[6, 9, 11], [2, 16, 7], [15, 1, 4], [8, 0, 22], [20, 5, 12], [10, 3, 14, 17], [21, 18, 19, 13]]
[[13, 22, 21], [19, 12, 9], [16, 8, 10], [3, 1, 7], [0, 11, 17], [14, 18, 6, 4], [15, 2, 20, 5]]
[[19, 0, 15], [1, 3, 11], [20, 2, 17], [7, 13, 22], [8, 5, 9], [6, 10, 14, 18], [4, 21, 16, 12]]
[[1, 8, 0], [2, 17, 18], [4, 3, 13], [5, 6, 14], [12, 10, 21], [19, 11, 9, 22], [7, 16, 20, 15]]
[[9, 16, 6], [15, 21, 18], [20, 7, 14], [13, 0, 5], [22, 2, 8], [12, 17, 4, 10], [11, 19, 3, 1]]
[[22, 5, 3], [9, 21, 8], [18, 12, 17], [4, 20, 0], [7, 2, 16], [13, 10, 11, 6], [1, 19, 14, 15]]
[[5, 20, 3], [1, 14, 6], [0, 15, 9], [22, 16, 18], [10, 17, 13], [7, 11, 19, 21], [4, 2, 12, 8]]
[[14, 7, 11], [1, 6, 0], [4, 21, 10], [20, 5, 17], [12, 16, 13], [18, 15, 3, 8], [19, 22, 2, 9]]
[[17, 10, 6], [2, 4, 22], [21, 8, 1], [7, 15, 5], [9, 12, 13], [0, 18, 14, 16], [3, 11, 19, 20]]
[[14, 15, 19], [8, 17, 9], [6, 3, 11], [13, 2, 1], [21, 10, 7], [12, 20, 22, 16], [4, 5, 0, 18]]
[[20, 15, 13], [14, 4, 18], [8, 0, 10], [22, 12, 2], [19, 3, 1], [11, 16, 7, 9], [6, 5, 21, 17]]
[[3, 9, 6], [0, 13, 2], [5, 22, 8], [11, 10, 17], [15, 14, 1], [12, 21, 7, 16], [4, 18, 20, 19]]
[[3, 13, 8], [15, 5, 6], [0, 14, 2], [4, 21, 11], [1, 7, 20], [12, 19, 16, 10], [22, 17, 9, 18]]
[[12, 2, 19], [3, 1, 13], [0, 9, 7], [4, 11, 15], [6, 5, 16], [17, 8, 20, 10], [21, 18, 14, 22]]
[[17, 10, 7], [1, 15, 11], [16, 22, 2], [4, 9, 13], [21, 18, 14], [20, 5, 6, 8], [19, 3, 12, 0]]
[[20, 6, 15], [4, 13, 5], [8, 14, 12], [7, 16, 18], [11, 21, 10], [1, 19, 22, 3], [2, 17, 9, 0]]
[[15, 18, 5], [13, 17, 19], [3, 12, 0], [14, 20, 21], [7, 22, 16], [8, 2, 4, 6], [11, 1, 9, 10]]
[[1, 14, 8], [11, 0, 6], [21, 22, 17], [15, 20, 2], [13, 18, 12], [4, 16, 5, 9], [10, 19, 3, 7]]
[[18, 11, 7], [12, 15, 9], [10, 1, 17], [3, 2, 14], [16, 13, 21], [6, 0, 20, 5], [8, 4, 22, 19]]
[[3, 11, 1], [13, 20, 8], [16, 15, 7], [18, 14, 9], [17, 22, 4], [19, 12, 21, 5], [10, 6, 0, 2]]
[[0, 20, 11], [14, 18, 19], [22, 12, 9], [15, 7, 17], [13, 21, 2], [3, 16, 10, 1], [6, 4, 8, 5]]
[[21, 0, 19], [2, 1, 12], [10, 9, 5], [6, 22, 8], [15, 3, 4], [7, 13, 17, 18], [11, 16, 14, 20]]
[[19, 17, 9], [2, 21, 12], [16, 10, 4], [3, 0, 18], [20, 5, 22], [14, 7, 8, 1], [15, 13, 6, 11]]
[[2, 5, 20], [18, 6, 19], [22, 10, 12], [9, 21, 4], [3, 13, 17], [1, 7, 14, 11], [0, 8, 15, 16]]
[[1, 2, 15], [6, 20, 21], [18, 5, 19], [12, 8, 9], [14, 4, 7], [11, 16, 17, 13], [22, 0, 3, 10]]
