[[15, 12, 5], [11, 13, 10], [0, 2, 8], [4, 7, 16], [18, 1, 9], [17, 14, 3, 6]]
[[17, 8, 7], [2, 1, 12], [5, 14, 18], [11, 13, 16], [15, 3, 9], [4, 0, 10, 6]]
[[1, 0, 12], [15, 8, 5], [9, 14, 2], [16, 6, 7], [18, 10, 11], [4, 13, 3, 17]]
[[1, 8, 3], [15, 17, 16], [4, 7, 9], [5, 2, 18], [12, 6, 11], [14, 0, 13, 10]]
[[9, 6, 1], [8, 5, 4], [12, 16, 17], [7, 11, 13], [2, 18, 10], [14, 0, 3, 15]]
[[18, 15, 12], [5, 16, 6], [11, 2, 1], [7, 14, 9], [3, 8, 17], [10, 0, 13, 4]]
[[6, 1, 8], [3, 16, 13], [2, 9, 17], [11, 0, 12], [18, 4, 15], [7, 5, 14, 10]]
[[11, 7, 2], [4, 1, 15], [18, 14, 13], [8, 17, 9], [0, 10, 12], [5, 6, 3, 16]]
[[3, 11, 9], [8, 5, 12], [15, 13, 2], [0, 4, 10], [18, 14, 6], [7, 1, 16, 17]]
[[9, 7, 15], [6, 4, 18], [10, 2, 11], [5, 14, 17], [12, 16, 8], [13, 1, 0, 3]]
[[15, 3, 6], [10, 4, 1], [5, 11, 16], [14, 9, 17], [18, 7, 12], [2, 0, 13, 8]]
[[5, 4, 12], [17, 13, 11], [16, 1, 14], [10, 0, 6], [8, 7, 3], [9, 2, 15, 18]]
[[2, 15, 8], [5, 11, 6], [10, 12, 3], [4, 1, 18], [13, 17, 0], [16, 9, 14, 7]]
[[16, 14, 4], [10, 1, 8], [2, 17, 7], [3, 6, 15], [5, 13, 12], [9, 0, 11, 18]]
[[5, 4, 14], [10, 3, 16], [15, 11, 12], [1, 13, 2], [0, 8, 17], [18, 7, 6, 9]]
[[5, 8, 7], [1, 2, 12], [6, 13, 10], [17, 16, 14], [4, 0, 3], [15, 9, 11, 18]]
[[6, 12, 5], [1, 11, 14], [2, 7, 18], [16, 17, 3], [13, 0, 15], [10, 9, 8, 4]]
[[16, 12, 11], [6, 5, 0], [15, 3, 13], [10, 1, 2], [14, 9, 4], [7, 8, 17, 18]]
[[16, 8, 13], [10, 7, 15], [9, 11, 5], [14, 12, 17], [1, 3, 2], [6, 18, 4, 0]]
[[5, 10, 4], [15, 11, 1], [7, 2, 3], [9, 0, 14], [18, 12, 17], [8, 16, 13, 6]]
[[9, 18, 5], [1, 2, 0], [12, 3, 6], [11, 16, 4], [17, 7, 10], [15, 14, 13, 8]]
[[0, 6, 4], [15, 7, 16], [14, 2, 18], [10, 13, 9], [11, 17, 3], [8, 5, 12, 1]]
[[2, 11, 6], [12, 8, 17], [5, 10, 0], [3, 13, 7], [9, 15, 1], [4, 16, 18, 14]]
[[9, 8, 1], [4, 2, 5], [18, 6, 12], [10, 0, 17], [13, 14, 11], [16, 3, 15, 7]]
[[9, 18, 8], [6, 10, 16], [15, 2, 4], [14, 12, 7], [13, 11, 5], [3, 0, 1, 17]]
[[13, 15, 2], [16, 6, 18], [0, 1, 10], [4, 11, 14], [5, 7, 9], [8, 17, 3, 12]]
[[14, 8, 11], [4, 15, 16], [6, 12, 0], [3, 2, 5], [9, 18, 1], [7, 10, 17, 13]]
[[9, 12, 17], [7, 14, 13], [10, 3, 5], [2, 0, 15], [11, 1, 4], [16, 6, 8, 18]]
[[7, 14, 10], [9, 8, 2], [17, 15, 12], [5, 4, 0], [11, 6, 16], [18, 13, 1, 3]]
[[14, 11, 18], [1, 9, 6], [7, 5, 12], [10, 16, 8], [4, 15, 2], [13, 0, 3, 17]]
[[5, 6, 8], [3, 12, 10], [0, 1, 11], [15, 4, 18], [9, 2, 14], [17, 7, 16, 13]]
[[15, 6, 4], [3, 17, 0], [8, 7, 13], [9, 2, 12], [1, 5, 14], [11, 10, 18, 16]]
[[2, 7, 4], [12, 5, 0], [8, 9, 18], [14, 13, 16], [17, 15, 1], [3, 6, 11, 10]]
[[2, 16, 4], [5, 14, 17], [0, 3, 10], [18, 6, 7], [13, 12, 11], [9, 1, 15, 8]]
[[15, 18, 3], [7, 1, 16], [12, 14, 5], [4, 17, 10], [0, 9, 13], [8, 2, 6, 11]]
[[12, 11, 0], [10, 6, 5], [14, 1, 17], [13, 3, 4], [18, 9, 2], [15, 7, 16, 8]]
[[13, 11, 1], [8, 7, 17], [2, 5, 10], [6, 4, 0], [3, 14, 15], [9, 16, 12, 18]]
[[4, 17, 11], [10, 8, 5], [15, 2, 16], [0, 1, 9], [14, 13, 6], [18, 12, 3, 7]]
[[9, 16, 1], [14, 0, 4], [3, 12, 5], [6, 18, 10], [17, 2, 11], [13, 15, 7, 8]]
[[5, 14, 11], [17, 6, 7], [4, 2, 8], [18, 10, 15], [3, 1, 9], [13, 16, 12, 0]]
[[7, 9, 10], [17, 6, 4], [14, 13, 11], [16, 5, 18], [1, 12, 0], [8, 3, 15, 2]]
[[12, 1, 17], [14, 3, 0], [11, 2, 9], [8, 13, 6], [15, 5, 16], [10, 4, 18, 7]]
[[7, 5, 9], [11, 15, 6], [18, 0, 16], [1, 12, 10], [17, 4, 3], [14, 13, 2, 8]]
[[2, 18, 17], [11, 0, 14], [7, 12, 5], [3, 1, 13], [9, 8, 6], [15, 16, 4, 10]]
[[14, 1, 7], [2, 17, 12], [18, 9, 0], [8, 15, 13], [3, 11, 16], [5, 4, 10, 6]]
[[6, 13, 15], [18, 17, 11], [3, 7, 2], [14, 4, 12], [9, 8, 10], [1, 5, 0, 16]]
[[10, 7, 0], [5, 8, 1], [17, 15, 12], [14, 11, 9], [3, 2, 6], [4, 13, 16, 18]]
[[17, 3, 10], [1, 13, 9], [2, 11, 12], [14, 8, 4], [0, 6, 18], [16, 7, 15, 5]]
[[10, 16, 0], [6, 11, 1], [5, 12, 8], [3, 17, 4], [13, 2, 15], [9, 18, 7, 14]]
[[12, 4, 2], [11, 18, 14], [17, 9, 0], [6, 15, 8], [16, 13, 10], [5, 1, 3, 7]]
[[0, 6, 3], [5, 11, 17], [13, 9, 2], [12, 4, 14], [16, 18, 8], [15, 1, 10, 7]]
[[1, 4, 10], [8, 3, 16], [13, 6, 9], [0, 11, 12], [7, 17, 15], [14, 2, 5, 18]]
[[15, 7, 10], [1, 4, 3], [2, 11, 8], [14, 17, 16], [18, 0, 9], [6, 13, 5, 12]]
[[4, 12, 18], [1, 16, 7], [5, 15, 17], [6, 9, 8], [10, 14, 13], [3, 11, 0, 2]]
[[1, 0, 17], [14, 9, 2], [13, 7, 16], [10, 18, 3], [6, 11, 4], [12, 15, 8, 5]]
[[13, 14, 5], [2, 11, 9], [15, 8, 3], [12, 1, 17], [7, 6, 10], [18, 16, 4, 0]]
[[18, 14, 7], [16, 17, 15], [8, 1, 13], [4, 0, 11], [12, 2, 10], [3, 6, 9, 5]]
[[17, 11, 6], [7, 2, 16], [4, 12, 8], [13, 5, 14], [15, 9, 18], [10, 1, 3, 0]]
[[8, 5, 2], [12, 13, 0], [16, 14, 11], [7, 9, 3], [18, 6, 4], [10, 17, 15, 1]]
[[17, 2, 3], [5, 14, 7], [1, 8, 16], [4, 6, 9], [12, 13, 11], [0, 18, 15, 10]]
[[0, 1, 9], [16, 6, 3], [13, 5, 15], [18, 14, 10], [12, 2, 7], [17, 8, 11, 4]]
[[13, 17, 4], [6, 14, 11], [12, 1, 16], [0, 15, 5], [7, 10, 2], [9, 8, 18, 3]]
[[7, 1, 13], [12, 3, 0], [18, 17, 15], [11, 2, 5], [8, 6, 10], [16, 4, 9, 14]]
[[10, 12, 1], [16, 17, 8], [14, 9, 3], [5, 2, 15], [13, 0, 7], [18, 11, 4, 6]]
[[17, 16, 2], [0, 14, 7], [11, 1, 10], [13, 4, 5], [9, 18, 6], [15, 3, 12, 8]]
[[10, 7, 9], [2, 0, 17], [16, 5, 1], [18, 13, 6], [4, 12, 15], [14, 11, 3, 8]]
[[0, 8, 13], [12, 4, 2], [11, 18, 16], [15, 6, 14], [3, 1, 7], [5, 17, 10, 9]]
[[11, 8, 2], [16, 6, 4], [15, 17, 3], [9, 13, 14], [1, 10, 0], [12, 18, 7, 5]]
[[13, 2, 6], [1, 16, 12], [7, 4, 0], [5, 18, 11], [8, 17, 10], [14, 3, 9, 15]]
[[5, 0, 6], [18, 1, 15], [8, 14, 12], [16, 13, 2], [9, 10, 11], [4, 7, 3, 17]]
[[9, 4, 6], [12, 13, 7], [0, 16, 8], [2, 15, 18], [3, 14, 1], [10, 11, 17, 5]]
[[10, 15, 1], [6, 2, 5], [17, 0, 13], [14, 12, 4], [11, 3, 18], [8, 9, 16, 7]]
[[0, 9, 1], [5, 13, 15], [8, 12, 4], [14, 11, 7], [16, 2, 3], [18, 6, 10, 17]]
[[11, 0, 13], [15, 4, 8], [3, 12, 2], [10, 6, 14], [7, 1, 5], [17, 9, 18, 16]]
[[14, 6, 11], [8, 10, 12], [9, 18, 1], [4, 0, 17], [2, 13, 7], [16, 5, 3, 15]]
[[18, 9, 16], [12, 13, 5], [17, 7, 8], [4, 0, 3], [2, 6, 1], [11, 15, 10, 14]]
[[3, 15, 11], [7, 18, 5], [10, 17, 2], [0, 12, 9], [13, 4, 16], [6, 8, 14, 1]]
