[[15, 20, 10], [5, 16, 8], [1, 17, 7], [21, 14, 2], [12, 11, 22], [13, 3, 23], [18, 19, 4], [9, 0, 6]]
[[12, 11, 17], [14, 21, 16], [18, 7, 19], [23, 2, 15], [8, 3, 6], [5, 13, 0], [9, 22, 10], [4, 20, 1]]
[[9, 1, 8], [23, 15, 17], [11, 14, 4], [19, 10, 12], [18, 13, 16], [21, 6, 20], [5, 0, 22], [3, 7, 2]]
[[18, 14, 6], [16, 15, 12], [1, 7, 20], [11, 10, 0], [13, 9, 17], [21, 19, 3], [8, 23, 22], [5, 4, 2]]
[[14, 8, 9], [3, 16, 2], [19, 7, 5], [4, 13, 18], [17, 6, 21], [0, 1, 20], [15, 10, 22], [23, 11, 12]]
[[1, 15, 5], [22, 9, 2], [7, 0, 21], [20, 3, 14], [6, 18, 8], [17, 4, 11], [23, 16, 19], [10, 13, 12]]
[[7, 6, 16], [13, 23, 10], [12, 19, 20], [2, 1, 11], [17, 4, 0], [9, 18, 8], [21, 14, 5], [22, 3, 15]]
[[20, 11, 18], [1, 3, 5], [6, 22, 7], [9, 23, 10], [0, 8, 17], [12, 16, 14], [15, 19, 13], [21, 2, 4]]
[[15, 2, 9], [12, 13, 18], [1, 14, 10], [21, 20, 0], [17, 6, 8], [19, 3, 16], [11, 22, 23], [4, 5, 7]]
[[16, 9, 0], [13, 7, 10], [20, 23, 22], [15, 5, 1], [14, 11, 8], [3, 4, 21], [6, 19, 18], [2, 12, 17]]
[[2, 8, 21], [20, 15, 19], [23, 11, 16], [9, 14, 17], [5, 3, 6], [10, 1, 18], [4, 12, 13], [7, 22, 0]]
[[6, 11, 20], [19, 3, 16], [4, 5, 18], [12, 9, 0], [17, 15, 8], [7, 23, 1], [14, 10, 13], [21, 2, 22]]
[[4, 6, 7], [10, 9, 22], [23, 5, 15], [1, 14, 21], [16, 13, 8], [0, 18, 11], [17, 2, 20], [3, 12, 19]]
[[12, 19, 4], [18, 5, 15], [1, 3, 20], [23, 9, 14], [10, 0, 6], [17, 21, 22], [13, 2, 7], [8, 11, 16]]
[[19, 6, 21], [2, 4, 16], [20, 14, 0], [11, 5, 23], [18, 10, 17], [13, 7, 3], [9, 22, 8], [1, 12, 15]]
[[18, 3, 9], [11, 8, 4], [6, 15, 23], [1, 2, 16], [21, 0, 10], [12, 22, 17], [5, 20, 19], [13, 14, 7]]
[[21, 14, 3], [1, 13, 18], [17, 19, 20], [16, 2, 4], [12, 11, 6], [5, 7, 10], [9, 15, 22], [23, 8, 0]]
[[11, 12, 15], [3, 19, 21], [0, 20, 7], [5, 2, 1], [22, 4, 16], [10, 6, 14], [13, 17, 9], [8, 23, 18]]
[[10, 18, 23], [2, 21, 11], [14, 5, 15], [4, 1, 3], [16, 9, 22], [7, 20, 12], [8, 17, 13], [0, 6, 19]]
[[20, 8, 23], [14, 11, 1], [7, 3, 19], [2, 16, 5], [12, 9, 10], [4, 22, 17], [0, 21, 18], [6, 13, 15]]
[[14, 22, 11], [17, 9, 8], [0, 4, 2], [13, 5, 12], [7, 23, 21], [19, 20, 10], [15, 16, 18], [1, 3, 6]]
[[20, 15, 1], [7, 21, 2], [13, 18, 22], [16, 14, 0], [5, 11, 6], [8, 17, 19], [4, 23, 12], [3, 10, 9]]
[[15, 23, 2], [17, 22, 5], [10, 6, 4], [11, 12, 18], [1, 21, 16], [20, 7, 8], [3, 19, 9], [14, 13, 0]]
[[18, 12, 5], [13, 20, 11], [1, 8, 6], [17, 23, 21], [10, 9, 14], [0, 22, 16], [3, 15, 2], [19, 4, 7]]
[[4, 18, 17], [19, 20, 13], [11, 5, 1], [0, 21, 15], [6, 8, 14], [22, 3, 16], [12, 23, 9], [10, 7, 2]]
[[18, 9, 22], [19, 5, 1], [10, 13, 7], [8, 12, 0], [21, 14, 6], [3, 23, 20], [4, 16, 17], [11, 2, 15]]
[[23, 15, 1], [9, 3, 19], [8, 11, 14], [10, 4, 20], [2, 13, 7], [0, 16, 5], [12, 6, 18], [22, 21, 17]]
[[17, 22, 4], [15, 2, 6], [9, 23, 11], [8, 10, 3], [1, 5, 21], [0, 18, 7], [14, 19, 13], [12, 20, 16]]
[[9, 2, 1], [8, 19, 22], [13, 20, 15], [14, 21, 10], [16, 11, 3], [0, 18, 4], [7, 23, 12], [6, 5, 17]]
[[13, 20, 22], [15, 5, 11], [3, 8, 4], [10, 17, 21], [7, 23, 1], [18, 6, 0], [16, 9, 2], [12, 19, 14]]
[[19, 10, 17], [14, 13, 15], [23, 8, 0], [22, 5, 4], [21, 18, 16], [12, 7, 9], [1, 20, 6], [3, 11, 2]]
[[7, 6, 17], [10, 12, 20], [3, 11, 1], [15, 18, 19], [0, 22, 5], [13, 23, 4], [14, 8, 21], [9, 16, 2]]
[[6, 18, 23], [3, 21, 9], [7, 19, 11], [14, 10, 8], [5, 4, 0], [20, 22, 15], [17, 2, 1], [13, 16, 12]]
[[7, 11, 16], [21, 19, 3], [18, 4, 1], [17, 6, 0], [20, 23, 12], [5, 2, 8], [13, 22, 10], [14, 9, 15]]
[[20, 23, 8], [13, 4, 22], [7, 16, 5], [17, 3, 0], [12, 19, 9], [10, 1, 21], [11, 15, 14], [18, 6, 2]]
[[11, 23, 0], [7, 2, 17], [6, 22, 21], [1, 18, 16], [13, 14, 10], [15, 8, 12], [5, 20, 19], [4, 3, 9]]
[[4, 14, 23], [16, 9, 19], [22, 13, 6], [18, 12, 2], [1, 10, 5], [8, 21, 11], [3, 0, 20], [7, 17, 15]]
[[11, 2, 15], [22, 19, 8], [0, 18, 13], [20, 23, 16], [3, 12, 14], [21, 7, 1], [10, 6, 9], [5, 4, 17]]
[[7, 18, 17], [4, 15, 5], [21, 14, 2], [1, 22, 20], [12, 9, 8], [0, 10, 6], [23, 3, 16], [13, 19, 11]]
[[9, 21, 13], [2, 19, 10], [15, 3, 22], [0, 20, 7], [14, 16, 6], [18, 11, 1], [23, 12, 4], [8, 5, 17]]
[[11, 9, 4], [21, 22, 23], [2, 7, 12], [8, 14, 17], [20, 0, 1], [6, 10, 5], [15, 16, 3], [18, 13, 19]]
[[15, 19, 7], [17, 4, 16], [10, 23, 0], [6, 14, 9], [18, 20, 8], [13, 22, 5], [2, 12, 1], [21, 11, 3]]
[[19, 12, 13], [5, 17, 6], [14, 23, 18], [21, 4, 22], [15, 10, 16], [7, 0, 8], [9, 20, 3], [11, 1, 2]]
[[6, 10, 1], [19, 14, 7], [17, 13, 21], [11, 23, 18], [8, 3, 0], [9, 20, 4], [22, 5, 16], [15, 2, 12]]
[[21, 10, 23], [1, 3, 9], [7, 2, 15], [0, 6, 12], [22, 20, 19], [14, 5, 18], [16, 11, 13], [17, 4, 8]]
[[4, 12, 16], [13, 23, 10], [9, 19, 3], [0, 20, 18], [22, 7, 17], [2, 6, 14], [1, 21, 5], [8, 15, 11]]
[[12, 21, 8], [5, 9, 22], [23, 4, 15], [18, 6, 17], [1, 19, 2], [13, 20, 10], [3, 0, 7], [11, 16, 14]]
[[7, 0, 3], [17, 2, 11], [5, 13, 8], [20, 22, 4], [14, 19, 16], [6, 15, 9], [12, 23, 21], [18, 1, 10]]
[[7, 6, 2], [10, 22, 5], [9, 19, 20], [4, 3, 18], [15, 14, 1], [8, 12, 13], [11, 0, 16], [23, 21, 17]]
[[6, 11, 0], [2, 22, 14], [12, 4, 17], [7, 10, 20], [9, 16, 15], [8, 18, 19], [23, 3, 5], [13, 1, 21]]
[[15, 2, 11], [20, 6, 3], [10, 18, 22], [19, 14, 1], [12, 4, 0], [9, 23, 5], [16, 8, 17], [13, 7, 21]]
[[12, 6, 13], [8, 10, 1], [3, 5, 11], [18, 16, 2], [0, 19, 17], [9, 7, 21], [14, 4, 20], [22, 23, 15]]
[[21, 15, 8], [7, 16, 22], [20, 11, 12], [18, 3, 1], [23, 10, 19], [4, 2, 14], [6, 9, 17], [5, 0, 13]]
[[14, 19, 3], [8, 6, 13], [7, 21, 15], [16, 9, 10], [22, 2, 20], [4, 12, 0], [17, 23, 18], [11, 5, 1]]
[[14, 17, 7], [4, 21, 13], [0, 18, 1], [22, 3, 5], [19, 20, 12], [23, 11, 8], [9, 15, 6], [2, 10, 16]]
[[13, 15, 17], [18, 7, 2], [3, 11, 20], [6, 10, 12], [8, 16, 5], [21, 0, 9], [14, 1, 23], [19, 22, 4]]
[[2, 15, 21], [11, 23, 14], [10, 22, 6], [7, 19, 8], [13, 1, 16], [0, 9, 17], [3, 12, 4], [5, 18, 20]]
[[11, 22, 5], [6, 20, 18], [23, 7, 16], [9, 15, 17], [10, 2, 0], [13, 1, 8], [19, 12, 21], [14, 3, 4]]
[[3, 2, 18], [4, 21, 22], [11, 20, 5], [8, 17, 19], [14, 16, 12], [15, 10, 6], [13, 9, 7], [23, 1, 0]]
[[21, 15, 7], [10, 0, 9], [18, 16, 2], [5, 11, 17], [6, 1, 3], [4, 13, 19], [20, 22, 23], [12, 14, 8]]
[[21, 7, 20], [2, 9, 16], [5, 22, 8], [23, 1, 3], [12, 14, 11], [0, 10, 19], [17, 15, 18], [6, 4, 13]]
[[11, 23, 2], [3, 15, 8], [9, 4, 13], [14, 1, 20], [17, 22, 5], [19, 0, 7], [18, 21, 10], [16, 12, 6]]
[[8, 14, 15], [11, 13, 1], [21, 5, 7], [3, 9, 0], [2, 23, 18], [6, 12, 16], [19, 4, 20], [22, 10, 17]]
[[11, 8, 9], [21, 4, 7], [23, 12, 20], [22, 15, 6], [5, 0, 1], [19, 3, 2], [16, 13, 14], [17, 10, 18]]
[[1, 9, 10], [18, 3, 21], [15, 6, 23], [4, 2, 7], [5, 14, 19], [20, 12, 22], [13, 0, 8], [11, 17, 16]]
[[17, 18, 12], [21, 4, 14], [13, 2, 10], [22, 16, 9], [23, 3, 11], [6, 19, 5], [20, 7, 8], [15, 1, 0]]
[[23, 20, 9], [0, 22, 3], [4, 5, 21], [2, 10, 14], [12, 11, 17], [18, 16, 7], [6, 15, 19], [8, 13, 1]]
[[23, 7, 19], [12, 9, 6], [18, 5, 0], [8, 11, 4], [2, 20, 14], [17, 21, 22], [13, 1, 15], [16, 10, 3]]
[[9, 5, 6], [2, 0, 7], [20, 22, 19], [23, 3, 4], [21, 11, 10], [8, 17, 13], [18, 14, 12], [15, 16, 1]]
[[16, 10, 23], [18, 2, 7], [22, 14, 20], [19, 21, 15], [12, 3, 5], [0, 6, 11], [1, 8, 13], [4, 9, 17]]
[[2, 9, 4], [19, 8, 12], [13, 15, 5], [6, 11, 17], [3, 1, 20], [10, 14, 22], [23, 7, 16], [18, 0, 21]]
[[22, 15, 13], [12, 6, 9], [7, 4, 17], [0, 23, 16], [11, 5, 2], [1, 8, 3], [18, 21, 19], [14, 20, 10]]
[[4, 1, 22], [19, 21, 23], [14, 13, 18], [5, 7, 20], [2, 10, 15], [12, 17, 16], [3, 0, 11], [8, 6, 9]]
[[3, 0, 13], [2, 9, 7], [20, 1, 16], [23, 12, 18], [4, 5, 14], [11, 6, 19], [21, 8, 22], [17, 15, 10]]
[[16, 20, 22], [14, 0, 2], [12, 1, 8], [17, 7, 11], [21, 6, 10], [18, 9, 19], [15, 4, 23], [13, 5, 3]]
[[13, 20, 10], [23, 14, 21], [8, 0, 5], [1, 9, 22], [17, 16, 18], [4, 12, 2], [11, 7, 6], [15, 3, 19]]
[[15, 8, 14], [22, 7, 11], [17, 20, 23], [10, 19, 9], [5, 18, 0], [4, 16, 3], [1, 6, 13], [2, 12, 21]]
[[7, 12, 18], [4, 14, 16], [1, 8, 10], [20, 13, 21], [9, 22, 0], [15, 2, 23], [3, 5, 6], [11, 17, 19]]
[[13, 3, 22], [2, 4, 18], [12, 5, 11], [1, 21, 6], [0, 8, 7], [20, 17, 14], [23, 10, 9], [16, 15, 19]]
[[22, 11, 20], [15, 19, 6], [0, 23, 13], [2, 12, 4], [1, 9, 8], [16, 21, 5], [14, 3, 10], [7, 18, 17]]
[[10, 18, 9], [15, 11, 8], [6, 0, 2], [1, 12, 23], [3, 19, 4], [16, 5, 21], [14, 20, 13], [22, 17, 7]]
[[22, 6, 3], [9, 15, 18], [10, 7, 1], [4, 0, 2], [5, 14, 11], [13, 21, 17], [19, 20, 8], [12, 23, 16]]
[[1, 17, 14], [6, 20, 0], [23, 13, 22], [21, 7, 11], [16, 5, 2], [19, 9, 4], [3, 15, 12], [8, 18, 10]]
[[7, 17, 16], [21, 0, 2], [1, 18, 6], [9, 19, 15], [14, 4, 8], [22, 13, 12], [23, 11, 5], [20, 3, 10]]
[[15, 13, 4], [2, 16, 9], [17, 7, 0], [22, 5, 18], [6, 14, 21], [1, 8, 19], [11, 20, 3], [12, 10, 23]]
[[7, 16, 15], [13, 6, 23], [1, 0, 8], [12, 2, 5], [17, 3, 22], [18, 9, 4], [10, 20, 11], [21, 14, 19]]
[[18, 14, 17], [3, 10, 16], [21, 11, 22], [9, 20, 5], [4, 19, 8], [15, 2, 12], [13, 23, 6], [0, 1, 7]]
