[[7, 6, 9], [1, 12, 3], [4, 5, 13], [15, 16, 8], [10, 14, 11], [0, 2, 17]]
[[17, 15, 13], [6, 11, 7], [0, 3, 2], [9, 12, 16], [14, 1, 5], [8, 4, 10]]
[[2, 4, 12], [14, 7, 13], [15, 5, 17], [8, 11, 16], [1, 10, 3], [9, 0, 6]]
[[2, 11, 4], [7, 1, 6], [16, 15, 8], [3, 14, 9], [12, 13, 0], [10, 17, 5]]
[[7, 0, 12], [16, 9, 8], [1, 13, 3], [15, 17, 4], [10, 11, 2], [6, 14, 5]]
[[0, 5, 16], [11, 15, 4], [14, 2, 13], [1, 12, 6], [3, 10, 7], [8, 9, 17]]
[[16, 10, 5], [14, 2, 4], [11, 12, 9], [15, 6, 7], [8, 3, 1], [13, 17, 0]]
[[1, 15, 10], [6, 9, 7], [13, 4, 12], [5, 2, 14], [3, 0, 8], [16, 17, 11]]
[[4, 9, 7], [15, 16, 11], [1, 10, 13], [8, 14, 17], [2, 6, 0], [3, 5, 12]]
[[15, 2, 14], [6, 13, 4], [16, 7, 10], [12, 9, 8], [1, 17, 11], [0, 5, 3]]
[[17, 15, 1], [16, 11, 8], [9, 4, 10], [12, 13, 6], [2, 14, 5], [3, 7, 0]]
[[11, 10, 4], [2, 17, 9], [1, 13, 14], [12, 7, 0], [8, 6, 5], [16, 3, 15]]
[[1, 0, 4], [13, 5, 6], [15, 12, 16], [14, 17, 3], [7, 2, 8], [9, 11, 10]]
[[0, 12, 10], [7, 5, 14], [3, 2, 8], [15, 16, 11], [9, 13, 1], [4, 6, 17]]
[[15, 8, 4], [5, 11, 10], [2, 0, 1], [7, 14, 12], [3, 13, 9], [6, 17, 16]]
[[6, 1, 13], [0, 15, 14], [17, 8, 4], [5, 9, 10], [11, 16, 2], [12, 3, 7]]
[[3, 1, 4], [11, 13, 0], [5, 17, 6], [12, 14, 15], [7, 2, 16], [9, 10, 8]]
[[2, 3, 4], [14, 8, 17], [12, 13, 1], [6, 10, 16], [15, 11, 9], [5, 7, 0]]
[[17, 5, 4], [6, 7, 15], [2, 8, 1], [12, 13, 10], [14, 11, 0], [3, 16, 9]]
[[15, 11, 7], [10, 0, 2], [3, 12, 6], [4, 8, 14], [17, 13, 9], [16, 1, 5]]
[[15, 1, 5], [10, 13, 16], [6, 17, 9], [4, 14, 12], [2, 7, 11], [8, 0, 3]]
[[16, 3, 10], [15, 11, 8], [0, 5, 14], [12, 6, 7], [17, 1, 9], [2, 13, 4]]
[[7, 0, 5], [13, 6, 16], [8, 14, 11], [12, 1, 2], [17, 3, 10], [15, 4, 9]]
[[11, 6, 7], [16, 1, 13], [4, 0, 9], [3, 15, 5], [8, 14, 10], [12, 2, 17]]
[[13, 1, 16], [7, 0, 12], [11, 10, 15], [9, 6, 5], [14, 4, 3], [17, 8, 2]]
[[1, 2, 6], [14, 0, 5], [16, 17, 3], [12, 9, 8], [15, 7, 10], [11, 13, 4]]
[[2, 7, 0], [14, 8, 15], [5, 11, 10], [13, 9, 4], [6, 12, 3], [16, 17, 1]]
[[15, 12, 8], [2, 1, 6], [7, 0, 10], [9, 3, 16], [11, 4, 17], [5, 14, 13]]
[[3, 1, 11], [9, 15, 7], [2, 12, 13], [10, 0, 5], [17, 6, 14], [4, 16, 8]]
[[10, 5, 2], [0, 8, 7], [14, 9, 15], [11, 12, 16], [3, 1, 13], [4, 6, 17]]
[[0, 3, 13], [6, 15, 16], [7, 4, 14], [1, 12, 9], [17, 8, 2], [5, 11, 10]]
[[0, 10, 4], [16, 8, 2], [7, 1, 9], [12, 3, 5], [14, 13, 6], [15, 17, 11]]
[[17, 14, 0], [4, 10, 16], [7, 5, 11], [8, 1, 13], [2, 9, 15], [12, 6, 3]]
[[4, 8, 10], [9, 15, 7], [12, 16, 11], [6, 0, 5], [17, 2, 1], [3, 13, 14]]
[[2, 15, 5], [4, 10, 9], [17, 1, 12], [13, 3, 7], [8, 16, 6], [11, 14, 0]]
[[6, 14, 10], [4, 3, 11], [17, 13, 8], [7, 1, 16], [2, 9, 15], [0, 5, 12]]
[[9, 10, 13], [17, 5, 8], [3, 0, 11], [6, 1, 4], [16, 14, 12], [15, 7, 2]]
[[9, 0, 13], [16, 1, 5], [17, 10, 12], [3, 4, 7], [6, 14, 11], [2, 8, 15]]
[[2, 11, 7], [14, 15, 1], [12, 10, 4], [6, 8, 0], [16, 3, 17], [5, 9, 13]]
[[10, 9, 13], [1, 11, 5], [15, 8, 3], [2, 17, 7], [4, 0, 14], [6, 12, 16]]
[[2, 3, 15], [14, 16, 4], [0, 9, 13], [7, 5, 12], [8, 10, 6], [17, 1, 11]]
[[11, 3, 14], [4, 15, 2], [1, 7, 17], [8, 16, 6], [12, 10, 5], [9, 13, 0]]
[[13, 9, 15], [3, 16, 1], [10, 2, 17], [14, 12, 0], [7, 6, 8], [4, 11, 5]]
[[12, 5, 14], [17, 3, 11], [0, 2, 10], [6, 9, 8], [16, 15, 7], [13, 1, 4]]
[[13, 11, 15], [6, 4, 7], [9, 0, 10], [2, 8, 3], [14, 1, 5], [16, 17, 12]]
[[10, 2, 7], [9, 13, 0], [15, 12, 5], [3, 4, 17], [1, 8, 11], [16, 6, 14]]
[[13, 8, 11], [1, 15, 5], [4, 17, 2], [14, 16, 3], [0, 6, 9], [7, 12, 10]]
