[[2, 19, 18], [1, 3, 21], [13, 11, 17], [20, 5, 8], [4, 12, 6], [14, 10, 9], [0, 15, 16, 7]]
[[17, 12, 19], [21, 4, 11], [1, 18, 6], [5, 3, 7], [10, 0, 2], [9, 13, 20], [8, 14, 16, 15]]
[[20, 14, 0], [16, 19, 21], [11, 18, 15], [2, 6, 12], [8, 13, 3], [4, 9, 1], [5, 10, 17, 7]]
[[2, 11, 0], [6, 10, 17], [3, 4, 15], [21, 12, 5], [9, 19, 16], [7, 13, 18], [20, 1, 8, 14]]
[[10, 20, 17], [4, 13, 0], [9, 21, 8], [3, 7, 6], [5, 12, 19], [1, 18, 14], [11, 16, 2, 15]]
[[3, 10, 5], [9, 7, 2], [19, 15, 0], [1, 16, 6], [18, 17, 13], [11, 12, 8], [20, 4, 14, 21]]
[[6, 15, 13], [5, 9, 12], [18, 21, 19], [11, 2, 1], [20, 0, 4], [16, 14, 10], [8, 3, 7, 17]]
[[19, 13, 3], [0, 9, 1], [16, 10, 2], [11, 7, 20], [14, 18, 5], [8, 12, 4], [17, 15, 21, 6]]
[[5, 21, 18], [11, 13, 17], [12, 19, 7], [4, 3, 0], [20, 6, 15], [10, 16, 8], [9, 14, 2, 1]]
[[2, 15, 6], [8, 10, 19], [7, 18, 11], [0, 20, 16], [13, 4, 14], [21, 9, 5], [17, 1, 12, 3]]
[[12, 7, 16], [0, 14, 18], [8, 6, 1], [3, 17, 19], [9, 21, 13], [11, 4, 20], [10, 2, 5, 15]]
[[1, 12, 21], [4, 17, 14], [20, 19, 11], [10, 18, 9], [15, 2, 3], [7, 5, 0], [13, 16, 8, 6]]
[[18, 4, 8], [6, 5, 17], [2, 3, 15], [21, 19, 20], [14, 16, 7], [12, 9, 10], [0, 13, 11, 1]]
[[9, 4, 18], [6, 2, 0], [19, 5, 1], [21, 17, 8], [14, 20, 10], [7, 11, 13], [15, 16, 12, 3]]
[[7, 1, 21], [6, 11, 9], [4, 15, 8], [0, 2, 3], [10, 13, 19], [5, 17, 14], [12, 18, 20, 16]]
[[13, 16, 7], [14, 4, 2], [6, 11, 19], [17, 20, 21], [8, 1, 12], [5, 10, 18], [3, 9, 15, 0]]
[[3, 20, 11], [17, 9, 5], [18, 8, 7], [13, 16, 0], [15, 10, 4], [14, 21, 12], [1, 19, 2, 6]]
[[1, 8, 9], [10, 21, 0], [5, 16, 15], [20, 17, 14], [3, 7, 18], [19, 13, 2], [11, 6, 4, 12]]
[[2, 12, 5], [16, 10, 8], [3, 4, 0], [11, 14, 17], [7, 19, 1], [18, 9, 21], [6, 20, 13, 15]]
[[15, 13, 10], [20, 18, 7], [6, 17, 2], [3, 5, 1], [8, 12, 19], [4, 21, 14], [16, 0, 9, 11]]
[[19, 14, 5], [0, 4, 8], [6, 3, 20], [1, 16, 17], [2, 9, 10], [11, 15, 13], [21, 18, 7, 12]]
[[8, 9, 0], [4, 18, 10], [15, 14, 16], [19, 17, 20], [11, 21, 2], [13, 7, 1], [5, 3, 12, 6]]
[[3, 15, 16], [18, 17, 4], [5, 9, 2], [8, 10, 20], [13, 6, 21], [19, 11, 0], [14, 7, 1, 12]]
[[3, 12, 9], [10, 17, 15], [19, 21, 16], [5, 8, 6], [7, 0, 20], [1, 11, 2], [18, 14, 4, 13]]
[[16, 13, 4], [19, 0, 2], [21, 14, 20], [6, 5, 10], [9, 1, 12], [7, 11, 8], [15, 18, 17, 3]]
[[2, 8, 15], [0, 14, 3], [7, 9, 4], [11, 12, 16], [10, 13, 18], [5, 17, 6], [21, 19, 20, 1]]
[[3, 14, 18], [2, 7, 0], [12, 16, 8], [21, 20, 15], [17, 19, 6], [11, 5, 13], [9, 1, 4, 10]]
[[7, 6, 8], [5, 3, 18], [19, 1, 16], [13, 12, 15], [20, 4, 21], [2, 11, 0], [14, 10, 9, 17]]
[[15, 21, 20], [3, 10, 9], [19, 5, 11], [17, 16, 2], [13, 1, 14], [8, 4, 18], [0, 7, 6, 12]]
[[20, 17, 3], [18, 16, 21], [9, 7, 15], [13, 8, 2], [4, 0, 5], [19, 6, 14], [10, 12, 11, 1]]
[[11, 21, 3], [2, 7, 18], [6, 5, 17], [15, 9, 0], [10, 13, 8], [16, 12, 4], [1, 20, 19, 14]]
[[20, 5, 0], [3, 10, 19], [18, 7, 1], [21, 12, 6], [11, 13, 2], [14, 16, 4], [8, 15, 9, 17]]
[[18, 13, 0], [19, 20, 17], [3, 10, 7], [5, 15, 16], [1, 9, 4], [6, 11, 2], [21, 8, 12, 14]]
[[15, 3, 11], [18, 13, 4], [19, 10, 0], [20, 16, 5], [8, 9, 1], [2, 14, 17], [21, 7, 6, 12]]
[[6, 10, 3], [17, 14, 5], [1, 20, 4], [2, 8, 16], [15, 9, 7], [19, 11, 12], [18, 13, 0, 21]]
[[11, 12, 3], [9, 17, 2], [0, 8, 21], [1, 20, 10], [13, 6, 15], [4, 19, 5], [14, 18, 7, 16]]
[[18, 17, 15], [4, 12, 8], [19, 1, 21], [9, 16, 20], [14, 0, 3], [11, 10, 13], [6, 5, 2, 7]]
[[15, 18, 20], [2, 11, 4], [16, 1, 14], [0, 13, 12], [6, 3, 8], [5, 7, 21], [19, 10, 9, 17]]
[[19, 15, 17], [5, 8, 4], [11, 21, 13], [10, 2, 0], [14, 1, 18], [6, 12, 20], [3, 16, 7, 9]]
[[14, 7, 1], [2, 5, 17], [4, 20, 16], [12, 0, 19], [21, 9, 15], [11, 10, 13], [18, 8, 3, 6]]
[[11, 0, 12], [1, 18, 14], [9, 4, 10], [3, 2, 16], [21, 5, 8], [6, 17, 15], [7, 20, 13, 19]]
[[14, 15, 17], [3, 1, 16], [10, 13, 4], [0, 21, 12], [18, 20, 6], [19, 2, 7], [8, 5, 11, 9]]
[[11, 15, 10], [7, 9, 16], [1, 20, 3], [21, 17, 18], [8, 5, 19], [12, 14, 13], [2, 0, 6, 4]]
[[17, 7, 6], [4, 11, 1], [8, 21, 10], [20, 5, 18], [14, 15, 2], [13, 16, 9], [0, 12, 19, 3]]
[[2, 17, 1], [8, 15, 19], [14, 16, 9], [18, 21, 7], [10, 0, 4], [5, 20, 6], [13, 12, 11, 3]]
[[10, 1, 3], [16, 0, 13], [19, 11, 12], [4, 8, 6], [18, 20, 15], [17, 5, 2], [7, 9, 14, 21]]
[[7, 14, 18], [3, 17, 0], [13, 6, 16], [15, 20, 2], [9, 11, 5], [21, 1, 12], [10, 8, 4, 19]]
[[9, 16, 0], [8, 19, 18], [13, 2, 4], [7, 14, 3], [6, 12, 17], [11, 15, 1], [21, 20, 5, 10]]
[[2, 8, 7], [19, 4, 15], [6, 0, 20], [17, 11, 10], [3, 18, 12], [16, 1, 9], [5, 14, 21, 13]]
[[21, 16, 7], [20, 6, 10], [19, 14, 0], [11, 12, 1], [5, 15, 18], [8, 17, 2], [13, 4, 3, 9]]
[[13, 6, 1], [17, 5, 15], [8, 11, 0], [10, 21, 12], [18, 4, 7], [19, 16, 3], [20, 14, 2, 9]]
[[7, 8, 4], [6, 11, 5], [20, 0, 15], [1, 16, 17], [13, 18, 10], [19, 9, 21], [14, 12, 3, 2]]
[[17, 7, 21], [5, 8, 1], [4, 14, 19], [3, 13, 2], [12, 9, 18], [15, 6, 11], [20, 10, 0, 16]]
[[3, 2, 21], [4, 5, 11], [17, 12, 8], [0, 20, 14], [15, 7, 1], [13, 10, 9], [19, 16, 6, 18]]
[[19, 18, 15], [17, 8, 0], [12, 7, 14], [2, 1, 6], [13, 3, 21], [20, 16, 11], [10, 5, 4, 9]]
[[5, 4, 2], [3, 14, 12], [15, 18, 13], [11, 8, 21], [7, 20, 10], [0, 19, 9], [16, 6, 17, 1]]
[[12, 5, 2], [3, 0, 19], [20, 7, 15], [17, 6, 16], [8, 13, 4], [1, 21, 9], [10, 14, 18, 11]]
[[12, 4, 18], [21, 20, 9], [3, 10, 0], [11, 5, 19], [14, 8, 13], [1, 2, 17], [7, 6, 16, 15]]
[[18, 6, 19], [10, 16, 12], [4, 14, 15], [21, 1, 9], [0, 20, 5], [8, 2, 11], [17, 7, 3, 13]]
[[2, 15, 3], [1, 19, 16], [7, 12, 4], [20, 0, 18], [6, 9, 8], [11, 21, 17], [13, 5, 10, 14]]
[[17, 18, 1], [21, 5, 11], [20, 14, 16], [3, 7, 2], [8, 19, 13], [10, 12, 9], [15, 0, 6, 4]]
[[20, 4, 13], [21, 17, 3], [1, 9, 2], [12, 0, 6], [11, 19, 15], [10, 18, 16], [5, 14, 8, 7]]
[[1, 21, 19], [10, 18, 6], [14, 5, 7], [2, 20, 17], [15, 9, 4], [3, 11, 16], [8, 13, 12, 0]]
[[8, 1, 10], [14, 20, 21], [0, 6, 16], [13, 11, 2], [5, 18, 4], [7, 15, 19], [12, 3, 17, 9]]
[[1, 17, 3], [15, 19, 18], [6, 13, 8], [20, 0, 9], [4, 7, 10], [2, 14, 12], [16, 5, 21, 11]]
[[9, 20, 7], [19, 2, 0], [5, 14, 10], [15, 3, 16], [13, 17, 18], [6, 1, 11], [21, 4, 12, 8]]
[[14, 4, 19], [12, 9, 2], [17, 3, 7], [16, 8, 5], [13, 18, 10], [6, 0, 1], [20, 15, 11, 21]]
[[0, 7, 21], [9, 20, 19], [10, 13, 6], [8, 1, 11], [18, 4, 16], [14, 12, 15], [3, 2, 5, 17]]
[[5, 7, 9], [17, 21, 11], [6, 13, 1], [19, 3, 4], [10, 16, 12], [8, 14, 20], [2, 15, 0, 18]]
[[5, 15, 9], [2, 4, 14], [18, 3, 13], [1, 8, 21], [12, 11, 19], [16, 17, 7], [6, 0, 10, 20]]
[[3, 13, 21], [10, 12, 14], [16, 9, 20], [5, 8, 4], [17, 1, 6], [0, 19, 15], [2, 18, 7, 11]]
