[[5, 1, 9], [3, 13, 7], [19, 14, 6], [11, 15, 0], [20, 8, 16], [12, 10, 17], [18, 4, 2]]
[[18, 2, 11], [16, 19, 15], [5, 14, 6], [8, 0, 1], [12, 9, 4], [7, 17, 20], [10, 3, 13]]
[[1, 13, 8], [9, 18, 20], [12, 2, 4], [19, 16, 10], [15, 11, 7], [6, 3, 5], [0, 14, 17]]
[[6, 20, 8], [17, 19, 11], [12, 0, 1], [16, 9, 15], [7, 4, 10], [3, 13, 14], [2, 5, 18]]
[[1, 13, 18], [20, 17, 3], [14, 2, 7], [15, 0, 11], [19, 9, 16], [10, 5, 6], [12, 8, 4]]
[[16, 3, 15], [12, 10, 9], [20, 5, 1], [11, 17, 13], [4, 18, 19], [8, 0, 7], [2, 14, 6]]
[[0, 13, 10], [19, 6, 15], [18, 16, 14], [20, 11, 7], [2, 17, 12], [9, 5, 8], [1, 4, 3]]
[[13, 14, 2], [6, 8, 16], [1, 4, 15], [12, 19, 7], [5, 0, 11], [17, 9, 18], [10, 3, 20]]
[[4, 5, 8], [7, 0, 19], [20, 9, 13], [15, 10, 2], [14, 1, 16], [3, 6, 17], [12, 11, 18]]
[[0, 2, 16], [8, 3, 12], [11, 14, 1], [5, 10, 17], [9, 4, 15], [18, 7, 19], [13, 20, 6]]
[[9, 11, 14], [8, 10, 1], [20, 2, 15], [4, 18, 6], [3, 5, 19], [13, 17, 16], [0, 12, 7]]
[[19, 11, 10], [6, 9, 14], [0, 16, 1], [4, 3, 8], [2, 17, 18], [5, 12, 15], [20, 7, 13]]
[[5, 15, 16], [3, 11, 4], [14, 18, 13], [6, 17, 12], [0, 19, 2], [1, 8, 9], [7, 20, 10]]
[[9, 3, 18], [15, 19, 2], [0, 4, 7], [5, 10, 13], [1, 11, 14], [6, 8, 20], [12, 17, 16]]
[[0, 14, 10], [11, 4, 16], [19, 17, 8], [2, 20, 5], [18, 15, 9], [6, 7, 13], [12, 1, 3]]
[[15, 20, 1], [0, 4, 3], [8, 12, 19], [16, 14, 17], [2, 11, 7], [18, 5, 13], [10, 6, 9]]
[[13, 15, 12], [4, 1, 20], [16, 3, 10], [9, 7, 6], [17, 19, 11], [2, 8, 0], [5, 18, 14]]
[[2, 4, 8], [13, 12, 10], [14, 9, 20], [16, 5, 18], [1, 19, 0], [3, 15, 11], [7, 6, 17]]
[[20, 17, 4], [6, 11, 12], [13, 8, 10], [16, 1, 9], [5, 18, 14], [19, 15, 0], [3, 2, 7]]
[[13, 9, 4], [18, 14, 16], [1, 5, 19], [17, 6, 3], [8, 12, 2], [10, 15, 7], [11, 0, 20]]
[[10, 0, 12], [17, 6, 15], [8, 4, 11], [7, 20, 16], [14, 13, 2], [18, 19, 3], [1, 5, 9]]
[[11, 20, 7], [1, 5, 18], [15, 3, 4], [16, 14, 2], [6, 13, 9], [8, 10, 17], [12, 0, 19]]
[[1, 4, 18], [2, 15, 12], [11, 13, 20], [7, 6, 17], [5, 0, 8], [9, 19, 3], [14, 10, 16]]
[[18, 3, 11], [17, 19, 20], [2, 7, 8], [10, 15, 14], [16, 13, 0], [5, 1, 12], [6, 4, 9]]
[[3, 1, 2], [4, 10, 0], [9, 13, 11], [18, 8, 14], [16, 12, 6], [5, 19, 20], [7, 15, 17]]
[[15, 14, 17], [16, 5, 4], [9, 13, 20], [8, 2, 1], [6, 3, 0], [18, 19, 11], [12, 7, 10]]
[[18, 6, 8], [7, 1, 3], [5, 15, 11], [14, 9, 19], [10, 0, 2], [4, 20, 16], [12, 13, 17]]
[[7, 15, 9], [1, 10, 4], [12, 6, 2], [8, 3, 18], [20, 17, 11], [16, 5, 19], [14, 13, 0]]
[[5, 4, 0], [11, 19, 20], [16, 18, 13], [10, 14, 2], [6, 1, 15], [12, 9, 3], [8, 17, 7]]
[[20, 9, 2], [1, 6, 11], [7, 16, 17], [12, 14, 13], [10, 18, 8], [19, 15, 3], [5, 0, 4]]
[[16, 8, 6], [0, 9, 12], [7, 3, 20], [11, 18, 13], [14, 1, 17], [2, 19, 15], [4, 10, 5]]
[[17, 2, 19], [18, 11, 13], [0, 8, 5], [3, 16, 20], [1, 4, 10], [15, 7, 9], [14, 12, 6]]
[[16, 19, 18], [12, 6, 3], [7, 15, 10], [14, 0, 5], [17, 20, 11], [4, 2, 9], [1, 13, 8]]
[[9, 11, 10], [15, 4, 2], [19, 14, 8], [7, 17, 18], [0, 12, 5], [16, 13, 20], [3, 6, 1]]
[[20, 1, 2], [4, 6, 16], [5, 0, 13], [11, 12, 19], [3, 15, 8], [14, 10, 18], [17, 7, 9]]
[[5, 11, 6], [13, 20, 0], [18, 8, 19], [4, 2, 9], [14, 12, 1], [3, 15, 10], [16, 7, 17]]
[[12, 7, 6], [15, 13, 16], [19, 1, 4], [2, 14, 11], [5, 18, 10], [20, 8, 3], [9, 0, 17]]
[[0, 15, 8], [13, 11, 3], [12, 5, 9], [2, 6, 18], [10, 16, 19], [4, 7, 20], [1, 14, 17]]
[[19, 8, 15], [7, 6, 12], [11, 3, 17], [0, 10, 9], [4, 13, 5], [14, 18, 2], [1, 16, 20]]
[[18, 9, 3], [8, 14, 2], [16, 17, 19], [6, 10, 13], [20, 0, 4], [7, 12, 15], [5, 11, 1]]
[[5, 6, 11], [16, 8, 0], [14, 13, 20], [15, 12, 9], [1, 3, 19], [7, 17, 10], [2, 18, 4]]
[[14, 3, 10], [9, 20, 17], [1, 4, 2], [0, 7, 19], [16, 18, 6], [15, 11, 12], [8, 13, 5]]
[[18, 1, 0], [19, 9, 8], [6, 4, 17], [2, 7, 12], [13, 16, 5], [15, 11, 20], [3, 14, 10]]
[[7, 1, 4], [18, 8, 13], [16, 11, 0], [12, 6, 3], [17, 9, 14], [5, 20, 19], [2, 10, 15]]
[[8, 12, 10], [20, 16, 13], [18, 6, 17], [2, 1, 7], [14, 19, 15], [3, 11, 0], [5, 9, 4]]
[[8, 11, 16], [9, 3, 12], [18, 4, 17], [13, 7, 5], [20, 6, 14], [2, 0, 19], [15, 10, 1]]
[[20, 16, 2], [15, 6, 13], [10, 7, 1], [5, 11, 14], [4, 3, 9], [19, 18, 17], [8, 12, 0]]
[[17, 6, 4], [7, 3, 1], [20, 15, 5], [9, 13, 2], [8, 11, 16], [0, 12, 18], [19, 10, 14]]
[[13, 0, 19], [14, 11, 20], [16, 8, 6], [5, 3, 1], [17, 10, 2], [9, 15, 12], [18, 7, 4]]
[[8, 13, 4], [20, 9, 0], [1, 17, 11], [2, 10, 12], [5, 19, 14], [15, 16, 7], [6, 18, 3]]
[[1, 17, 2], [0, 12, 18], [10, 15, 8], [5, 3, 9], [20, 19, 4], [6, 7, 13], [11, 14, 16]]
[[14, 18, 8], [5, 0, 20], [3, 9, 1], [10, 2, 13], [12, 19, 7], [6, 15, 11], [17, 4, 16]]
[[18, 7, 17], [5, 0, 15], [12, 10, 1], [8, 14, 20], [3, 13, 6], [16, 19, 2], [9, 4, 11]]
[[6, 2, 12], [15, 4, 9], [18, 19, 10], [16, 13, 8], [17, 14, 0], [20, 11, 3], [7, 1, 5]]
[[13, 3, 1], [20, 0, 2], [5, 16, 15], [14, 18, 12], [10, 8, 7], [19, 6, 4], [9, 11, 17]]
[[5, 14, 13], [9, 2, 6], [4, 16, 0], [10, 7, 15], [8, 1, 20], [3, 12, 17], [19, 18, 11]]
[[8, 19, 4], [10, 16, 7], [17, 12, 15], [1, 3, 13], [11, 6, 2], [20, 9, 14], [5, 0, 18]]
[[2, 3, 16], [12, 9, 18], [10, 8, 19], [15, 0, 6], [7, 14, 1], [13, 4, 11], [20, 5, 17]]
[[10, 3, 0], [19, 20, 12], [4, 14, 7], [5, 2, 9], [1, 15, 18], [13, 17, 8], [6, 11, 16]]
[[16, 8, 6], [1, 3, 18], [0, 20, 17], [12, 9, 7], [15, 19, 10], [13, 5, 14], [4, 2, 11]]
[[16, 6, 20], [4, 8, 9], [12, 5, 15], [19, 7, 18], [0, 13, 2], [17, 10, 1], [11, 14, 3]]
[[1, 5, 16], [20, 18, 10], [8, 4, 15], [9, 0, 6], [19, 13, 14], [12, 3, 11], [17, 2, 7]]
[[16, 12, 4], [0, 8, 17], [5, 1, 11], [9, 6, 13], [2, 19, 10], [20, 3, 14], [7, 15, 18]]
[[11, 19, 6], [17, 10, 0], [12, 1, 16], [13, 9, 3], [8, 4, 14], [18, 2, 15], [20, 5, 7]]
[[20, 14, 7], [0, 3, 8], [19, 18, 2], [11, 17, 9], [10, 6, 1], [15, 16, 5], [12, 4, 13]]
[[11, 2, 8], [20, 19, 10], [1, 7, 16], [12, 5, 18], [9, 14, 6], [3, 13, 15], [4, 17, 0]]
[[1, 15, 0], [10, 14, 18], [5, 3, 11], [6, 9, 19], [17, 12, 8], [20, 2, 4], [7, 13, 16]]
[[15, 9, 19], [4, 12, 11], [2, 5, 1], [18, 10, 8], [6, 0, 7], [20, 13, 17], [3, 14, 16]]
[[11, 10, 7], [12, 8, 5], [2, 18, 3], [13, 14, 4], [6, 0, 1], [20, 15, 16], [9, 17, 19]]
[[11, 3, 4], [2, 10, 14], [18, 0, 13], [12, 7, 20], [8, 19, 1], [9, 6, 16], [5, 17, 15]]
[[11, 18, 16], [13, 8, 7], [5, 2, 20], [9, 3, 1], [4, 10, 6], [0, 15, 14], [12, 17, 19]]
[[11, 18, 3], [1, 16, 17], [9, 7, 6], [2, 14, 0], [12, 20, 13], [19, 5, 8], [15, 4, 10]]
[[2, 20, 13], [14, 6, 11], [19, 18, 0], [12, 4, 16], [1, 8, 17], [15, 10, 3], [7, 9, 5]]
[[4, 16, 14], [17, 11, 13], [18, 19, 1], [2, 5, 3], [15, 6, 12], [0, 9, 20], [7, 8, 10]]
[[4, 7, 8], [16, 18, 15], [2, 6, 3], [19, 11, 14], [10, 1, 12], [13, 9, 5], [0, 20, 17]]
[[15, 12, 17], [16, 20, 8], [6, 14, 5], [18, 9, 2], [0, 3, 4], [7, 13, 10], [11, 19, 1]]
