[[3, 21, 5], [10, 4, 9], [6, 0, 8], [22, 1, 19], [7, 13, 14], [11, 18, 20], [24, 23, 12], [16, 17, 15, 2]]
[[7, 17, 0], [10, 8, 9], [21, 13, 19], [2, 15, 20], [16, 11, 3], [12, 4, 14], [22, 6, 18], [1, 23, 24, 5]]
[[2, 0, 7], [5, 12, 21], [3, 20, 10], [6, 18, 14], [11, 24, 23], [19, 17, 22], [8, 1, 4], [16, 13, 9, 15]]
[[3, 1, 23], [24, 20, 15], [21, 5, 17], [0, 18, 2], [11, 6, 13], [12, 19, 22], [16, 7, 4], [14, 8, 9, 10]]
[[13, 14, 5], [20, 0, 7], [10, 4, 15], [8, 22, 6], [1, 17, 3], [11, 23, 21], [12, 18, 19], [16, 9, 24, 2]]
[[17, 10, 4], [5, 13, 21], [6, 24, 18], [9, 1, 15], [8, 2, 11], [22, 0, 20], [12, 14, 3], [16, 23, 7, 19]]
[[17, 16, 5], [8, 11, 7], [24, 20, 13], [9, 14, 23], [21, 22, 15], [0, 4, 19], [6, 18, 1], [12, 3, 10, 2]]
[[5, 0, 15], [9, 1, 3], [7, 12, 10], [21, 24, 19], [13, 22, 17], [16, 2, 20], [6, 18, 4], [8, 14, 23, 11]]
[[8, 24, 10], [13, 1, 9], [16, 6, 5], [0, 4, 12], [2, 15, 20], [17, 18, 22], [3, 11, 7], [21, 19, 14, 23]]
[[0, 4, 13], [6, 11, 17], [3, 16, 2], [24, 5, 7], [9, 21, 18], [8, 19, 20], [12, 1, 23], [10, 22, 14, 15]]
[[0, 22, 4], [18, 12, 1], [17, 7, 23], [19, 3, 15], [14, 2, 10], [24, 11, 8], [9, 16, 5], [6, 21, 20, 13]]
[[1, 19, 6], [15, 0, 2], [8, 16, 17], [21, 13, 4], [24, 9, 20], [7, 11, 14], [10, 12, 22], [23, 3, 5, 18]]
[[10, 22, 8], [21, 7, 6], [4, 12, 9], [16, 5, 24], [17, 20, 11], [19, 1, 0], [14, 18, 23], [15, 13, 3, 2]]
[[5, 0, 1], [24, 4, 19], [6, 22, 9], [12, 15, 18], [10, 14, 20], [23, 7, 8], [11, 3, 17], [2, 16, 13, 21]]
[[2, 23, 5], [11, 13, 8], [16, 20, 17], [21, 7, 22], [14, 4, 12], [18, 24, 15], [19, 1, 3], [10, 0, 6, 9]]
[[20, 9, 22], [17, 21, 18], [13, 14, 0], [12, 2, 11], [24, 3, 10], [1, 23, 8], [4, 15, 16], [5, 19, 7, 6]]
[[9, 5, 2], [11, 20, 14], [21, 4, 18], [7, 24, 19], [13, 6, 1], [17, 10, 15], [3, 12, 22], [16, 8, 0, 23]]
[[12, 17, 16], [6, 8, 9], [2, 11, 22], [1, 19, 18], [20, 5, 13], [0, 14, 15], [3, 23, 21], [4, 10, 24, 7]]
[[3, 17, 7], [22, 8, 12], [19, 10, 18], [23, 24, 13], [4, 14, 6], [1, 16, 9], [2, 0, 21], [11, 15, 20, 5]]
[[6, 4, 16], [13, 1, 21], [0, 7, 2], [24, 14, 3], [5, 9, 10], [17, 11, 18], [22, 23, 8], [12, 20, 15, 19]]
[[22, 10, 11], [15, 20, 19], [8, 7, 3], [17, 1, 23], [14, 12, 9], [13, 6, 18], [2, 4, 24], [5, 0, 21, 16]]
[[22, 23, 15], [13, 19, 1], [4, 20, 0], [8, 2, 24], [16, 9, 12], [6, 7, 21], [5, 3, 11], [10, 18, 14, 17]]
[[13, 2, 18], [17, 20, 21], [4, 6, 16], [7, 3, 19], [24, 10, 8], [15, 5, 11], [12, 14, 22], [9, 23, 1, 0]]
[[10, 16, 21], [3, 8, 12], [24, 15, 23], [17, 14, 9], [22, 18, 11], [13, 20, 0], [2, 7, 1], [19, 4, 6, 5]]
[[15, 17, 16], [8, 9, 14], [21, 24, 18], [2, 13, 6], [3, 20, 4], [0, 12, 1], [11, 7, 5], [22, 23, 10, 19]]
[[0, 18, 16], [20, 23, 5], [8, 21, 2], [15, 11, 12], [22, 3, 19], [9, 17, 13], [14, 4, 24], [1, 10, 7, 6]]
[[11, 1, 6], [5, 19, 13], [24, 18, 23], [0, 21, 17], [14, 2, 9], [4, 16, 8], [12, 22, 7], [10, 20, 3, 15]]
[[22, 16, 18], [14, 21, 23], [20, 19, 5], [13, 17, 7], [4, 10, 1], [8, 24, 11], [12, 15, 6], [0, 3, 9, 2]]
[[1, 20, 7], [9, 0, 12], [6, 22, 16], [3, 18, 21], [13, 11, 17], [24, 2, 14], [4, 15, 10], [23, 19, 5, 8]]
[[6, 2, 3], [10, 20, 14], [21, 9, 19], [13, 7, 22], [8, 16, 12], [23, 15, 1], [18, 0, 17], [5, 4, 24, 11]]
[[19, 15, 8], [13, 23, 10], [6, 9, 21], [7, 0, 2], [4, 14, 1], [3, 16, 18], [5, 20, 11], [22, 24, 12, 17]]
[[7, 17, 8], [20, 24, 4], [1, 23, 22], [21, 18, 3], [0, 5, 15], [13, 11, 19], [6, 2, 16], [9, 10, 12, 14]]
[[17, 21, 6], [20, 23, 5], [14, 0, 10], [3, 15, 8], [18, 13, 1], [12, 19, 4], [11, 24, 7], [2, 9, 22, 16]]
[[23, 15, 18], [1, 21, 13], [22, 14, 17], [3, 12, 20], [19, 4, 7], [2, 6, 9], [16, 24, 0], [11, 10, 8, 5]]
[[14, 9, 7], [8, 22, 2], [12, 5, 21], [6, 18, 0], [4, 20, 3], [11, 17, 1], [13, 19, 16], [10, 23, 24, 15]]
[[0, 1, 23], [15, 2, 20], [22, 16, 5], [7, 24, 9], [21, 19, 10], [11, 4, 8], [3, 13, 12], [14, 18, 6, 17]]
[[10, 21, 14], [23, 0, 2], [20, 3, 24], [16, 1, 19], [6, 11, 5], [9, 22, 8], [13, 7, 15], [17, 4, 18, 12]]
[[5, 0, 14], [13, 11, 6], [20, 16, 8], [15, 17, 21], [4, 18, 24], [1, 3, 10], [2, 22, 19], [12, 23, 7, 9]]
[[0, 1, 7], [17, 12, 15], [20, 23, 14], [9, 11, 21], [2, 4, 19], [6, 22, 8], [16, 24, 10], [5, 3, 13, 18]]
[[21, 11, 15], [9, 19, 22], [18, 10, 6], [12, 17, 2], [20, 4, 23], [14, 13, 16], [8, 0, 5], [24, 7, 1, 3]]
[[18, 4, 19], [21, 9, 12], [14, 10, 22], [3, 1, 15], [16, 20, 24], [6, 7, 2], [17, 5, 8], [0, 11, 23, 13]]
[[18, 19, 20], [9, 15, 17], [14, 2, 22], [13, 6, 0], [11, 12, 1], [5, 24, 16], [10, 23, 21], [3, 8, 4, 7]]
[[7, 9, 10], [12, 8, 23], [1, 16, 6], [14, 24, 19], [18, 11, 21], [20, 17, 2], [5, 0, 13], [22, 3, 4, 15]]
[[5, 3, 13], [18, 14, 19], [22, 6, 8], [21, 7, 4], [12, 0, 10], [2, 11, 24], [16, 1, 9], [23, 17, 20, 15]]
[[3, 13, 15], [10, 11, 8], [0, 7, 19], [17, 22, 24], [18, 9, 16], [14, 2, 23], [21, 4, 6], [1, 20, 5, 12]]
[[10, 2, 21], [13, 15, 3], [20, 23, 5], [24, 18, 14], [0, 22, 9], [19, 7, 1], [17, 4, 12], [11, 16, 6, 8]]
[[15, 6, 8], [7, 13, 11], [24, 5, 4], [20, 22, 19], [14, 12, 9], [3, 21, 10], [17, 18, 23], [2, 1, 16, 0]]
[[20, 24, 2], [10, 4, 21], [5, 12, 15], [18, 0, 14], [8, 9, 13], [19, 23, 7], [22, 3, 17], [1, 6, 16, 11]]
[[16, 6, 1], [11, 17, 14], [24, 2, 7], [20, 10, 15], [0, 8, 9], [5, 23, 13], [4, 18, 3], [21, 19, 12, 22]]
[[9, 12, 15], [0, 13, 7], [23, 8, 2], [6, 3, 14], [16, 17, 11], [10, 22, 4], [20, 24, 18], [21, 5, 1, 19]]
[[4, 18, 7], [1, 20, 22], [16, 13, 5], [19, 21, 23], [0, 10, 17], [9, 14, 3], [12, 8, 24], [2, 11, 6, 15]]
[[16, 14, 5], [23, 24, 22], [17, 6, 1], [19, 9, 8], [0, 7, 2], [11, 15, 18], [13, 3, 20], [12, 21, 4, 10]]
[[0, 15, 24], [17, 13, 8], [19, 6, 18], [10, 3, 22], [11, 7, 2], [14, 21, 23], [20, 1, 4], [12, 16, 5, 9]]
[[6, 5, 2], [24, 16, 9], [21, 19, 20], [18, 12, 14], [11, 13, 17], [0, 4, 10], [15, 23, 22], [7, 1, 3, 8]]
[[21, 6, 5], [9, 10, 12], [24, 11, 19], [20, 23, 17], [16, 13, 14], [18, 1, 2], [7, 3, 4], [22, 15, 8, 0]]
[[14, 3, 9], [8, 15, 19], [10, 24, 13], [6, 7, 2], [12, 1, 18], [4, 16, 17], [20, 0, 23], [11, 22, 21, 5]]
[[3, 8, 14], [0, 18, 20], [19, 13, 2], [9, 15, 17], [11, 23, 1], [6, 4, 10], [7, 24, 12], [16, 5, 21, 22]]
[[1, 21, 3], [20, 12, 6], [2, 4, 9], [19, 13, 17], [23, 0, 8], [24, 10, 18], [5, 14, 11], [22, 15, 7, 16]]
[[19, 18, 24], [14, 1, 22], [11, 9, 15], [6, 4, 7], [10, 12, 20], [23, 17, 5], [21, 8, 2], [13, 3, 16, 0]]
[[3, 22, 5], [1, 20, 24], [10, 7, 0], [19, 14, 13], [18, 21, 17], [4, 9, 6], [23, 8, 12], [16, 11, 2, 15]]
[[10, 0, 18], [8, 15, 6], [13, 12, 20], [3, 23, 14], [5, 22, 21], [17, 24, 9], [4, 7, 16], [2, 11, 19, 1]]
[[15, 20, 13], [1, 22, 8], [9, 4, 2], [14, 3, 0], [11, 18, 23], [5, 17, 7], [16, 19, 12], [24, 10, 6, 21]]
[[18, 20, 21], [24, 14, 0], [8, 23, 13], [5, 16, 19], [12, 2, 3], [15, 6, 17], [22, 10, 9], [4, 7, 11, 1]]
[[7, 6, 15], [11, 5, 1], [24, 13, 18], [0, 4, 21], [22, 19, 12], [3, 17, 10], [16, 23, 2], [8, 14, 20, 9]]
[[16, 7, 8], [5, 22, 18], [1, 9, 12], [3, 15, 24], [2, 14, 20], [10, 17, 19], [4, 11, 6], [13, 21, 0, 23]]
[[9, 0, 18], [24, 6, 21], [7, 4, 12], [10, 11, 15], [23, 22, 3], [2, 16, 8], [19, 5, 1], [13, 20, 14, 17]]
[[18, 5, 1], [15, 2, 14], [13, 21, 16], [19, 20, 11], [6, 9, 17], [24, 12, 23], [3, 8, 22], [10, 7, 0, 4]]
[[24, 16, 2], [9, 10, 19], [14, 5, 11], [4, 8, 17], [3, 0, 12], [1, 21, 23], [6, 13, 15], [22, 20, 7, 18]]
[[13, 11, 2], [18, 24, 5], [1, 8, 4], [20, 7, 12], [22, 0, 19], [14, 15, 10], [17, 21, 16], [9, 6, 23, 3]]
[[0, 21, 23], [5, 16, 8], [4, 10, 17], [3, 14, 7], [24, 12, 19], [1, 13, 20], [22, 15, 11], [2, 6, 9, 18]]
[[5, 4, 19], [18, 2, 12], [6, 14, 16], [3, 13, 20], [9, 8, 0], [10, 15, 24], [21, 22, 17], [7, 23, 11, 1]]
