[[8, 22, 19], [12, 0, 16], [20, 11, 2], [17, 6, 13], [1, 4, 18], [10, 15, 14, 7], [21, 9, 3, 5]]
[[6, 13, 4], [19, 8, 17], [16, 20, 3], [2, 18, 15], [0, 5, 22], [11, 10, 21, 9], [12, 14, 1, 7]]
[[1, 22, 17], [11, 3, 19], [0, 21, 10], [13, 6, 7], [16, 18, 9], [14, 20, 2, 8], [12, 4, 15, 5]]
[[12, 20, 10], [11, 14, 17], [7, 15, 21], [8, 22, 2], [6, 16, 4], [3, 9, 19, 18], [0, 5, 13, 1]]
[[19, 16, 1], [5, 3, 18], [17, 10, 11], [13, 9, 21], [8, 12, 4], [22, 14, 7, 2], [0, 6, 20, 15]]
[[16, 12, 15], [14, 7, 13], [19, 6, 21], [0, 9, 22], [2, 17, 20], [3, 5, 1, 8], [10, 18, 4, 11]]
[[9, 16, 10], [20, 0, 12], [21, 6, 19], [14, 1, 5], [2, 22, 8], [17, 18, 13, 7], [4, 11, 3, 15]]
[[13, 5, 2], [8, 21, 3], [22, 10, 14], [15, 17, 0], [20, 19, 18], [16, 9, 12, 11], [6, 4, 7, 1]]
[[5, 11, 13], [18, 1, 0], [2, 9, 16], [17, 14, 8], [22, 19, 20], [7, 12, 4, 21], [6, 10, 15, 3]]
[[8, 16, 1], [5, 11, 22], [9, 2, 13], [17, 6, 4], [21, 18, 12], [20, 0, 19, 3], [15, 10, 14, 7]]
[[6, 2, 7], [19, 14, 20], [21, 0, 12], [5, 16, 17], [8, 3, 1], [11, 4, 18, 13], [10, 9, 15, 22]]
[[17, 6, 12], [8, 0, 4], [1, 19, 16], [20, 15, 21], [22, 9, 7], [5, 14, 3, 2], [10, 11, 13, 18]]
[[15, 6, 13], [5, 8, 21], [10, 11, 14], [7, 17, 9], [16, 12, 4], [19, 18, 3, 2], [0, 1, 22, 20]]
[[21, 18, 7], [16, 3, 4], [2, 12, 9], [5, 17, 11], [15, 20, 0], [13, 22, 10, 14], [19, 8, 1, 6]]
[[21, 14, 9], [5, 17, 16], [15, 3, 0], [1, 8, 7], [13, 18, 4], [6, 20, 10, 11], [22, 19, 2, 12]]
[[1, 0, 10], [2, 6, 22], [21, 20, 15], [14, 5, 7], [16, 3, 18], [17, 4, 19, 13], [9, 8, 12, 11]]
[[6, 8, 15], [21, 14, 4], [12, 3, 20], [5, 9, 19], [2, 11, 18], [17, 0, 22, 10], [16, 1, 13, 7]]
[[16, 19, 9], [6, 15, 2], [4, 18, 3], [21, 13, 22], [17, 12, 11], [14, 20, 0, 7], [8, 5, 1, 10]]
[[7, 13, 19], [8, 16, 18], [14, 3, 1], [22, 15, 20], [21, 5, 9], [10, 17, 6, 2], [4, 0, 12, 11]]
[[1, 4, 0], [17, 13, 11], [5, 20, 12], [7, 9, 10], [6, 15, 16], [14, 8, 19, 3], [22, 2, 21, 18]]
[[9, 18, 16], [3, 0, 15], [10, 11, 1], [8, 21, 12], [17, 19, 20], [5, 13, 2, 4], [22, 7, 6, 14]]
[[11, 18, 19], [20, 15, 5], [21, 13, 17], [8, 22, 9], [2, 7, 10], [16, 3, 4, 1], [12, 14, 6, 0]]
[[21, 2, 17], [15, 5, 13], [18, 1, 19], [7, 12, 20], [14, 8, 4], [10, 6, 11, 0], [16, 9, 3, 22]]
[[0, 3, 7], [6, 22, 8], [16, 20, 4], [12, 9, 21], [5, 14, 13], [11, 15, 10, 17], [1, 19, 2, 18]]
[[14, 2, 0], [10, 11, 4], [5, 18, 9], [19, 6, 13], [1, 15, 21], [8, 16, 17, 3], [22, 12, 7, 20]]
[[3, 13, 14], [21, 18, 11], [12, 2, 4], [0, 9, 17], [6, 5, 7], [1, 22, 10, 19], [16, 15, 20, 8]]
[[3, 20, 2], [1, 14, 13], [7, 21, 0], [17, 16, 11], [12, 15, 9], [18, 19, 10, 22], [6, 8, 5, 4]]
[[18, 16, 8], [0, 19, 17], [12, 21, 11], [13, 5, 15], [6, 22, 3], [4, 9, 1, 10], [14, 7, 20, 2]]
[[11, 15, 18], [4, 5, 17], [1, 20, 2], [22, 19, 13], [10, 12, 9], [6, 0, 21, 16], [14, 3, 8, 7]]
[[21, 2, 5], [11, 16, 10], [22, 1, 20], [17, 3, 8], [12, 6, 15], [4, 19, 0, 14], [13, 9, 18, 7]]
[[5, 22, 9], [0, 1, 17], [14, 12, 18], [10, 7, 13], [15, 2, 6], [4, 3, 21, 19], [11, 20, 8, 16]]
[[14, 12, 20], [5, 4, 17], [10, 22, 9], [0, 2, 11], [21, 3, 6], [1, 18, 7, 19], [8, 13, 16, 15]]
[[0, 19, 18], [2, 4, 22], [8, 21, 15], [9, 11, 20], [16, 5, 17], [14, 1, 6, 12], [10, 7, 13, 3]]
[[9, 10, 20], [22, 16, 19], [0, 1, 14], [3, 11, 18], [12, 21, 13], [6, 2, 15, 17], [5, 7, 4, 8]]
[[11, 7, 22], [18, 14, 16], [12, 17, 5], [3, 15, 0], [20, 8, 2], [13, 9, 6, 1], [21, 4, 19, 10]]
[[10, 20, 5], [1, 18, 9], [22, 21, 3], [16, 17, 14], [11, 12, 19], [13, 7, 8, 4], [2, 15, 0, 6]]
[[8, 20, 18], [1, 0, 3], [22, 11, 10], [19, 21, 2], [17, 9, 5], [16, 12, 7, 6], [4, 13, 14, 15]]
[[0, 16, 11], [19, 14, 3], [8, 1, 18], [4, 17, 21], [22, 10, 5], [13, 6, 2, 15], [20, 12, 7, 9]]
[[7, 11, 4], [15, 14, 5], [19, 3, 16], [13, 10, 12], [0, 18, 2], [8, 20, 9, 21], [22, 6, 1, 17]]
[[16, 13, 10], [9, 15, 0], [7, 12, 3], [17, 1, 14], [8, 2, 18], [19, 4, 22, 5], [6, 20, 21, 11]]
[[16, 12, 6], [21, 3, 14], [11, 7, 20], [19, 1, 17], [9, 8, 4], [13, 0, 18, 22], [15, 2, 10, 5]]
[[4, 17, 7], [13, 12, 22], [8, 14, 3], [18, 11, 10], [9, 5, 20], [21, 0, 6, 19], [15, 16, 2, 1]]
[[15, 13, 12], [4, 16, 21], [18, 5, 11], [9, 3, 20], [8, 2, 14], [19, 0, 7, 10], [1, 22, 6, 17]]
[[5, 7, 8], [21, 17, 19], [3, 15, 18], [4, 11, 12], [16, 2, 14], [22, 6, 0, 1], [9, 13, 20, 10]]
[[17, 4, 0], [14, 9, 20], [19, 8, 16], [7, 13, 5], [11, 10, 2], [1, 15, 18, 12], [21, 6, 22, 3]]
[[13, 10, 4], [6, 20, 9], [2, 11, 1], [5, 3, 18], [7, 8, 21], [12, 17, 22, 0], [15, 16, 19, 14]]
[[13, 0, 15], [3, 8, 9], [14, 19, 6], [5, 10, 16], [12, 21, 11], [22, 7, 4, 17], [18, 1, 20, 2]]
[[4, 13, 19], [11, 2, 17], [10, 7, 5], [20, 8, 12], [9, 22, 0], [1, 15, 18, 14], [21, 3, 16, 6]]
[[16, 14, 0], [9, 21, 17], [1, 18, 6], [7, 4, 2], [11, 15, 5], [19, 20, 12, 10], [13, 8, 22, 3]]
[[5, 17, 9], [13, 11, 0], [22, 10, 6], [16, 15, 12], [1, 21, 2], [3, 18, 4, 7], [19, 14, 8, 20]]
[[20, 19, 6], [18, 8, 4], [14, 21, 0], [7, 1, 15], [9, 12, 5], [2, 11, 16, 22], [10, 13, 17, 3]]
[[14, 2, 15], [9, 13, 11], [21, 6, 1], [18, 19, 5], [20, 16, 12], [7, 17, 22, 3], [10, 8, 4, 0]]
[[22, 18, 19], [17, 1, 16], [15, 0, 20], [12, 21, 7], [9, 8, 3], [5, 13, 6, 10], [2, 11, 4, 14]]
[[17, 20, 21], [15, 10, 22], [3, 14, 1], [7, 13, 19], [0, 8, 5], [9, 4, 6, 18], [16, 11, 12, 2]]
[[8, 10, 5], [16, 15, 17], [14, 13, 19], [3, 18, 12], [6, 4, 2], [0, 22, 1, 20], [9, 7, 21, 11]]
[[19, 22, 13], [4, 21, 14], [0, 1, 15], [16, 20, 3], [5, 7, 17], [8, 9, 11, 2], [18, 10, 6, 12]]
[[13, 16, 4], [18, 8, 6], [11, 15, 10], [2, 20, 14], [17, 1, 19], [12, 0, 3, 5], [9, 21, 22, 7]]
[[19, 0, 20], [5, 6, 16], [18, 10, 7], [4, 21, 17], [15, 13, 3], [22, 9, 8, 12], [11, 14, 2, 1]]
[[16, 8, 1], [0, 15, 19], [17, 4, 9], [3, 11, 2], [10, 20, 21], [18, 22, 7, 13], [5, 14, 12, 6]]
[[15, 9, 2], [22, 0, 19], [3, 10, 20], [8, 1, 7], [11, 21, 17], [13, 12, 6, 16], [18, 4, 5, 14]]
[[15, 3, 9], [8, 11, 12], [4, 10, 7], [18, 5, 20], [21, 14, 19], [6, 16, 1, 0], [13, 22, 2, 17]]
[[20, 6, 17], [14, 22, 21], [13, 19, 1], [11, 15, 2], [5, 12, 10], [8, 18, 9, 4], [7, 3, 0, 16]]
[[22, 16, 19], [4, 9, 8], [3, 5, 13], [21, 15, 18], [20, 12, 10], [17, 1, 11, 2], [14, 7, 0, 6]]
[[16, 21, 1], [22, 4, 9], [12, 19, 8], [2, 11, 5], [13, 3, 20], [18, 7, 14, 0], [10, 6, 17, 15]]
[[8, 19, 20], [9, 17, 15], [18, 5, 21], [2, 3, 16], [4, 11, 6], [12, 0, 10, 14], [1, 22, 7, 13]]
[[9, 19, 13], [20, 16, 22], [15, 11, 18], [6, 14, 12], [7, 21, 1], [0, 8, 17, 10], [2, 4, 3, 5]]
[[10, 4, 19], [15, 6, 9], [0, 5, 14], [2, 7, 17], [3, 12, 11], [21, 20, 16, 22], [13, 8, 18, 1]]
[[10, 21, 7], [17, 16, 15], [13, 11, 6], [9, 18, 1], [0, 19, 12], [8, 14, 3, 22], [2, 20, 4, 5]]
[[10, 12, 5], [21, 16, 3], [0, 18, 20], [4, 11, 15], [17, 13, 9], [8, 19, 2, 7], [1, 14, 6, 22]]
[[22, 3, 15], [5, 21, 13], [2, 4, 19], [18, 8, 0], [10, 1, 12], [20, 7, 9, 6], [16, 11, 17, 14]]
[[17, 11, 2], [12, 19, 0], [14, 1, 18], [16, 10, 13], [22, 4, 5], [7, 3, 8, 21], [9, 20, 6, 15]]
[[12, 4, 0], [1, 10, 18], [13, 6, 8], [9, 5, 2], [21, 20, 14], [7, 11, 17, 16], [3, 19, 15, 22]]
[[16, 7, 6], [18, 10, 1], [5, 3, 9], [12, 13, 11], [20, 2, 17], [8, 14, 0, 19], [22, 15, 21, 4]]
[[18, 14, 21], [8, 11, 17], [2, 10, 19], [1, 13, 0], [16, 15, 3], [6, 20, 7, 12], [4, 22, 9, 5]]
[[8, 19, 7], [10, 4, 5], [9, 18, 2], [21, 16, 14], [12, 3, 22], [11, 15, 6, 20], [17, 0, 1, 13]]
[[12, 3, 18], [15, 2, 22], [8, 4, 13], [5, 17, 9], [7, 1, 6], [16, 10, 14, 20], [21, 0, 11, 19]]
[[3, 21, 9], [6, 22, 13], [11, 19, 0], [1, 16, 17], [20, 5, 7], [10, 8, 2, 14], [15, 4, 18, 12]]
[[3, 6, 11], [10, 2, 4], [16, 9, 20], [22, 13, 21], [1, 5, 7], [8, 15, 19, 12], [0, 17, 18, 14]]
[[20, 4, 12], [2, 1, 13], [0, 3, 11], [17, 15, 6], [5, 16, 19], [21, 18, 9, 14], [8, 10, 7, 22]]
[[2, 4, 5], [19, 1, 22], [20, 13, 14], [9, 11, 18], [0, 7, 12], [17, 8, 21, 15], [6, 16, 3, 10]]
[[15, 2, 9], [8, 16, 1], [13, 4, 0], [12, 22, 14], [6, 18, 3], [20, 21, 19, 11], [5, 10, 17, 7]]
[[20, 11, 1], [3, 21, 5], [4, 16, 13], [14, 9, 10], [8, 22, 0], [15, 7, 17, 2], [12, 18, 19, 6]]
[[19, 8, 7], [4, 11, 15], [22, 14, 6], [20, 16, 17], [1, 12, 9], [18, 21, 3, 0], [13, 2, 10, 5]]
[[8, 14, 5], [11, 17, 10], [12, 0, 7], [16, 13, 22], [18, 15, 2], [9, 21, 3, 4], [1, 6, 20, 19]]
[[14, 2, 10], [13, 5, 11], [9, 6, 1], [22, 18, 12], [7, 4, 0], [8, 15, 21, 19], [20, 17, 16, 3]]
