[[13, 19, 5], [6, 0, 11], [7, 8, 3], [1, 14, 15], [10, 12, 9, 4], [18, 17, 16, 2]]
[[11, 5, 18], [14, 8, 19], [9, 6, 3], [7, 10, 16], [0, 15, 4, 17], [13, 2, 12, 1]]
[[6, 7, 9], [19, 15, 1], [0, 2, 4], [13, 8, 3], [10, 11, 17, 5], [12, 16, 14, 18]]
[[0, 6, 19], [5, 7, 17], [1, 4, 16], [11, 15, 14], [8, 18, 2, 12], [9, 10, 3, 13]]
[[9, 11, 19], [1, 4, 17], [16, 13, 12], [6, 18, 15], [5, 2, 10, 0], [14, 3, 7, 8]]
[[12, 13, 16], [2, 7, 3], [5, 10, 6], [19, 14, 4], [11, 15, 9, 1], [8, 0, 17, 18]]
[[8, 12, 9], [1, 3, 4], [15, 16, 2], [14, 10, 17], [6, 13, 18, 19], [7, 0, 5, 11]]
[[6, 15, 19], [9, 0, 4], [5, 16, 8], [7, 14, 1], [12, 13, 17, 11], [18, 10, 3, 2]]
[[14, 5, 18], [16, 15, 9], [8, 3, 1], [6, 10, 13], [12, 2, 11, 17], [7, 4, 0, 19]]
[[18, 0, 14], [2, 3, 4], [19, 16, 13], [17, 5, 15], [1, 6, 11, 12], [10, 8, 9, 7]]
[[12, 3, 18], [13, 15, 19], [2, 17, 0], [14, 8, 10], [4, 9, 16, 1], [5, 7, 6, 11]]
[[9, 8, 0], [4, 11, 10], [5, 16, 17], [3, 15, 12], [19, 6, 18, 14], [13, 1, 7, 2]]
[[10, 19, 1], [12, 17, 15], [3, 4, 0], [2, 13, 8], [7, 18, 16, 14], [9, 5, 6, 11]]
[[10, 18, 14], [11, 19, 3], [5, 12, 15], [6, 8, 2], [1, 0, 7, 4], [13, 9, 17, 16]]
[[13, 16, 11], [4, 15, 9], [5, 3, 17], [8, 7, 2], [1, 14, 6, 10], [12, 18, 19, 0]]
[[6, 19, 5], [10, 17, 13], [3, 2, 0], [7, 12, 14], [11, 18, 15, 1], [16, 8, 9, 4]]
[[3, 17, 9], [16, 15, 11], [13, 7, 4], [12, 2, 0], [19, 14, 18, 8], [10, 5, 6, 1]]
[[6, 3, 7], [14, 11, 12], [17, 13, 10], [19, 16, 5], [9, 15, 18, 0], [2, 1, 8, 4]]
[[15, 11, 0], [2, 10, 6], [14, 8, 3], [7, 13, 5], [9, 16, 1, 17], [12, 4, 18, 19]]
[[9, 19, 17], [7, 18, 10], [2, 12, 1], [3, 0, 8], [5, 6, 11, 14], [15, 13, 4, 16]]
[[13, 18, 6], [16, 10, 5], [11, 14, 9], [0, 19, 7], [12, 8, 4, 1], [3, 2, 17, 15]]
[[11, 14, 13], [4, 12, 8], [19, 16, 15], [5, 9, 2], [10, 3, 6, 0], [18, 17, 1, 7]]
[[9, 6, 8], [16, 2, 11], [18, 3, 0], [19, 4, 10], [12, 5, 1, 14], [15, 17, 13, 7]]
[[7, 15, 0], [16, 17, 5], [9, 1, 6], [10, 19, 11], [8, 2, 18, 3], [12, 14, 4, 13]]
[[6, 13, 1], [2, 17, 3], [18, 16, 14], [8, 0, 9], [4, 15, 19, 11], [12, 5, 10, 7]]
[[2, 5, 0], [1, 8, 7], [18, 10, 3], [9, 13, 11], [14, 6, 4, 19], [15, 17, 16, 12]]
[[5, 3, 19], [9, 16, 15], [7, 17, 0], [8, 1, 14], [2, 18, 6, 4], [12, 10, 13, 11]]
[[17, 2, 0], [16, 5, 14], [4, 15, 13], [10, 18, 9], [7, 8, 3, 19], [6, 12, 1, 11]]
[[16, 6, 0], [11, 15, 5], [8, 14, 7], [19, 13, 10], [9, 17, 3, 12], [18, 4, 1, 2]]
[[5, 12, 18], [11, 8, 4], [6, 1, 2], [19, 17, 3], [15, 16, 13, 14], [10, 7, 0, 9]]
[[17, 3, 4], [7, 18, 19], [5, 0, 13], [6, 2, 1], [11, 12, 9, 10], [14, 16, 8, 15]]
[[5, 1, 13], [3, 8, 9], [16, 6, 17], [18, 10, 0], [11, 15, 14, 4], [7, 2, 12, 19]]
[[0, 17, 2], [10, 19, 8], [9, 7, 1], [11, 3, 13], [18, 16, 15, 12], [14, 4, 5, 6]]
[[9, 15, 8], [7, 1, 3], [16, 18, 2], [19, 12, 6], [4, 0, 14, 17], [13, 5, 10, 11]]
[[10, 3, 14], [7, 2, 12], [0, 4, 18], [6, 1, 15], [11, 13, 19, 9], [16, 8, 17, 5]]
[[5, 10, 17], [14, 12, 3], [7, 8, 4], [0, 2, 18], [16, 15, 13, 11], [1, 6, 9, 19]]
[[16, 8, 12], [19, 9, 6], [4, 7, 14], [2, 13, 1], [5, 10, 17, 18], [0, 11, 3, 15]]
[[14, 5, 16], [1, 10, 15], [19, 0, 17], [4, 8, 12], [2, 13, 18, 7], [3, 6, 9, 11]]
[[1, 0, 16], [4, 2, 5], [9, 13, 6], [18, 10, 8], [15, 17, 7, 11], [3, 14, 12, 19]]
[[17, 1, 0], [8, 6, 14], [4, 19, 12], [10, 11, 7], [15, 13, 9, 18], [5, 3, 2, 16]]
[[2, 18, 12], [3, 1, 14], [11, 7, 19], [6, 17, 16], [4, 13, 9, 8], [5, 15, 0, 10]]
[[10, 5, 19], [16, 15, 8], [9, 14, 1], [18, 11, 13], [7, 2, 3, 0], [6, 4, 17, 12]]
[[4, 12, 5], [2, 6, 7], [0, 19, 14], [17, 13, 3], [8, 9, 10, 16], [15, 1, 11, 18]]
[[4, 12, 2], [5, 8, 10], [3, 19, 13], [0, 1, 16], [6, 17, 9, 11], [7, 18, 15, 14]]
[[12, 11, 4], [18, 19, 17], [16, 0, 5], [9, 8, 7], [3, 2, 13, 10], [6, 1, 15, 14]]
[[4, 15, 7], [16, 12, 11], [19, 2, 18], [8, 10, 0], [3, 9, 6, 14], [5, 1, 17, 13]]
[[18, 1, 17], [9, 3, 8], [12, 5, 0], [4, 10, 19], [15, 7, 11, 13], [14, 2, 6, 16]]
[[12, 4, 14], [6, 16, 17], [15, 9, 0], [3, 11, 2], [8, 7, 1, 18], [5, 13, 19, 10]]
[[2, 7, 19], [16, 9, 6], [0, 13, 18], [12, 4, 10], [17, 3, 5, 15], [1, 11, 14, 8]]
[[18, 4, 15], [19, 12, 16], [11, 2, 7], [1, 9, 3], [13, 17, 8, 14], [6, 5, 0, 10]]
[[18, 19, 10], [11, 3, 6], [9, 14, 5], [4, 12, 7], [16, 0, 13, 8], [1, 15, 2, 17]]
[[12, 14, 7], [6, 10, 3], [5, 11, 0], [9, 13, 1], [4, 16, 15, 17], [18, 8, 2, 19]]
