[[1, 6, 7], [10, 5, 4], [0, 9, 2], [3, 13, 12], [8, 11, 14]]
[[0, 4, 14], [8, 2, 9], [12, 3, 7], [6, 5, 13], [1, 10, 11]]
[[3, 2, 0], [14, 7, 1], [11, 13, 5], [6, 9, 12], [4, 8, 10]]
[[0, 14, 13], [6, 10, 5], [12, 8, 3], [2, 9, 1], [7, 11, 4]]
[[0, 7, 2], [6, 12, 14], [9, 10, 11], [13, 5, 4], [3, 8, 1]]
[[10, 9, 4], [6, 8, 13], [1, 12, 2], [14, 5, 0], [3, 7, 11]]
[[4, 11, 3], [7, 14, 2], [6, 13, 10], [8, 12, 5], [9, 0, 1]]
[[8, 2, 6], [7, 14, 9], [10, 3, 1], [11, 5, 0], [12, 13, 4]]
[[5, 2, 10], [8, 4, 7], [11, 6, 14], [3, 1, 12], [0, 9, 13]]
[[7, 1, 11], [2, 8, 10], [6, 5, 13], [14, 12, 3], [4, 9, 0]]
[[0, 2, 3], [6, 10, 8], [4, 1, 14], [12, 7, 9], [11, 13, 5]]
[[14, 1, 13], [2, 6, 10], [11, 4, 9], [12, 8, 5], [0, 3, 7]]
[[7, 2, 11], [13, 1, 3], [6, 5, 8], [10, 14, 12], [9, 4, 0]]
[[7, 2, 4], [6, 11, 13], [0, 9, 1], [5, 12, 14], [8, 3, 10]]
[[11, 8, 2], [10, 5, 1], [7, 13, 3], [9, 6, 0], [12, 4, 14]]
[[5, 1, 3], [2, 11, 7], [6, 4, 12], [10, 0, 8], [9, 14, 13]]
[[6, 10, 3], [2, 0, 11], [4, 1, 12], [14, 9, 7], [13, 5, 8]]
[[14, 11, 12], [7, 0, 9], [13, 1, 6], [4, 5, 3], [10, 2, 8]]
[[5, 0, 4], [12, 8, 9], [10, 14, 3], [11, 7, 2], [13, 6, 1]]
[[1, 3, 11], [2, 9, 12], [14, 13, 8], [10, 6, 7], [4, 5, 0]]
[[10, 1, 2], [8, 6, 3], [9, 0, 4], [11, 14, 12], [13, 5, 7]]
[[4, 7, 10], [3, 9, 2], [14, 0, 5], [6, 8, 13], [1, 11, 12]]
[[12, 14, 6], [7, 10, 11], [0, 8, 5], [9, 3, 1], [13, 4, 2]]
[[12, 5, 9], [1, 8, 3], [2, 6, 13], [10, 14, 0], [4, 11, 7]]
[[10, 12, 0], [11, 6, 9], [8, 7, 5], [2, 4, 13], [3, 1, 14]]
[[13, 6, 7], [8, 10, 14], [3, 11, 1], [0, 4, 9], [2, 12, 5]]
[[13, 1, 14], [9, 4, 11], [10, 8, 0], [3, 2, 12], [6, 5, 7]]
[[8, 13, 2], [10, 12, 11], [9, 4, 14], [0, 3, 7], [6, 1, 5]]
[[3, 12, 13], [2, 10, 0], [9, 11, 6], [7, 1, 4], [5, 14, 8]]
[[10, 0, 7], [3, 1, 13], [11, 12, 4], [6, 14, 9], [2, 5, 8]]
[[12, 1, 14], [8, 7, 0], [5, 10, 6], [13, 3, 2], [11, 9, 4]]
[[9, 8, 1], [12, 0, 6], [11, 13, 5], [14, 2, 4], [7, 3, 10]]
[[9, 12, 5], [13, 10, 11], [2, 3, 6], [7, 1, 8], [14, 4, 0]]
[[5, 12, 0], [4, 7, 8], [10, 3, 6], [1, 13, 14], [11, 2, 9]]
[[4, 6, 11], [5, 12, 0], [14, 3, 8], [2, 7, 1], [10, 9, 13]]
[[7, 6, 11], [2, 1, 13], [3, 12, 5], [14, 4, 8], [9, 0, 10]]
[[1, 9, 5], [12, 0, 13], [2, 7, 8], [11, 6, 10], [4, 3, 14]]
[[1, 10, 5], [0, 11, 14], [4, 13, 2], [7, 3, 12], [6, 9, 8]]
[[14, 9, 13], [7, 2, 6], [3, 11, 5], [12, 8, 4], [1, 10, 0]]
[[6, 7, 0], [13, 4, 9], [12, 3, 2], [14, 8, 1], [5, 11, 10]]
[[0, 10, 1], [11, 6, 2], [5, 9, 13], [4, 8, 12], [14, 3, 7]]
[[13, 5, 0], [14, 7, 10], [4, 12, 1], [9, 2, 11], [3, 6, 8]]
[[2, 4, 1], [14, 6, 13], [10, 11, 9], [7, 5, 0], [12, 8, 3]]
[[1, 10, 4], [5, 13, 7], [12, 14, 9], [0, 2, 8], [3, 6, 11]]
[[13, 10, 14], [5, 1, 11], [6, 2, 4], [8, 0, 9], [7, 3, 12]]
[[5, 1, 14], [4, 2, 0], [13, 3, 7], [10, 8, 9], [11, 12, 6]]
[[13, 9, 6], [2, 14, 8], [3, 5, 1], [11, 12, 4], [0, 7, 10]]
[[11, 4, 14], [1, 8, 13], [5, 12, 2], [0, 9, 7], [3, 6, 10]]
[[12, 8, 4], [1, 6, 7], [3, 5, 10], [11, 9, 13], [2, 14, 0]]
[[5, 7, 8], [6, 3, 2], [10, 13, 0], [1, 14, 12], [9, 11, 4]]
[[1, 12, 0], [13, 9, 14], [6, 4, 5], [11, 8, 2], [3, 10, 7]]
[[9, 2, 10], [11, 6, 1], [12, 0, 3], [8, 7, 14], [4, 5, 13]]
[[10, 8, 6], [11, 9, 14], [12, 4, 5], [3, 13, 1], [7, 2, 0]]
[[10, 3, 6], [13, 0, 14], [5, 9, 12], [2, 1, 4], [7, 11, 8]]
[[12, 13, 0], [14, 6, 10], [3, 1, 5], [7, 9, 8], [11, 2, 4]]
[[11, 12, 14], [10, 1, 2], [3, 13, 4], [6, 7, 8], [0, 5, 9]]
[[0, 8, 3], [12, 2, 5], [4, 11, 7], [1, 9, 10], [14, 6, 13]]
[[10, 1, 5], [2, 4, 3], [0, 12, 8], [7, 6, 13], [11, 9, 14]]
[[12, 3, 11], [0, 8, 1], [5, 7, 9], [2, 14, 6], [10, 13, 4]]
[[13, 12, 9], [11, 5, 14], [1, 3, 8], [0, 2, 4], [10, 7, 6]]
