[[0, 8, 13], [9, 3, 18], [6, 21, 17], [2, 19, 4], [16, 12, 11], [20, 1, 14], [15, 7, 5, 10]]
[[15, 19, 7], [2, 5, 8], [12, 21, 6], [9, 18, 16], [11, 14, 20], [4, 3, 17], [1, 0, 13, 10]]
[[17, 19, 14], [13, 1, 3], [10, 2, 20], [4, 5, 9], [16, 8, 12], [21, 15, 6], [11, 7, 0, 18]]
[[7, 13, 19], [16, 15, 11], [9, 20, 2], [12, 8, 18], [4, 1, 6], [5, 10, 3], [21, 17, 14, 0]]
[[16, 2, 13], [10, 3, 21], [15, 8, 14], [1, 4, 11], [19, 17, 0], [20, 12, 7], [6, 18, 5, 9]]
[[5, 8, 6], [10, 19, 18], [16, 11, 4], [1, 17, 0], [12, 13, 9], [21, 14, 15], [3, 20, 7, 2]]
[[20, 12, 18], [4, 1, 0], [8, 15, 16], [17, 13, 3], [19, 10, 21], [6, 11, 2], [14, 9, 5, 7]]
[[1, 0, 15], [8, 17, 3], [18, 9, 5], [7, 19, 14], [2, 10, 12], [20, 6, 11], [21, 13, 4, 16]]
[[1, 11, 4], [2, 10, 14], [7, 9, 18], [15, 5, 6], [0, 17, 13], [21, 3, 16], [12, 19, 8, 20]]
[[3, 0, 16], [6, 7, 11], [9, 12, 1], [4, 17, 2], [5, 8, 19], [15, 20, 10], [18, 14, 13, 21]]
[[17, 15, 20], [3, 6, 2], [10, 16, 7], [0, 12, 13], [14, 21, 4], [5, 8, 1], [18, 11, 19, 9]]
[[2, 13, 6], [17, 5, 0], [21, 9, 20], [14, 3, 11], [16, 18, 12], [7, 19, 10], [8, 1, 4, 15]]
[[2, 4, 8], [19, 20, 6], [13, 1, 17], [21, 11, 0], [18, 14, 5], [15, 10, 7], [12, 3, 9, 16]]
[[9, 4, 13], [0, 6, 5], [3, 8, 1], [21, 17, 14], [15, 10, 19], [16, 2, 7], [12, 20, 11, 18]]
[[13, 15, 19], [0, 18, 1], [10, 7, 2], [17, 12, 6], [16, 4, 21], [20, 8, 3], [9, 14, 5, 11]]
[[21, 17, 18], [8, 20, 13], [16, 9, 0], [4, 14, 3], [1, 2, 7], [19, 5, 6], [10, 11, 15, 12]]
[[4, 2, 3], [7, 8, 13], [17, 0, 14], [21, 5, 12], [9, 18, 19], [11, 10, 16], [20, 1, 15, 6]]
[[17, 8, 14], [12, 18, 15], [20, 16, 4], [6, 13, 19], [11, 9, 2], [1, 3, 7], [21, 5, 0, 10]]
[[20, 0, 2], [17, 11, 9], [12, 16, 6], [21, 4, 5], [18, 10, 19], [3, 1, 8], [7, 15, 14, 13]]
[[7, 16, 19], [12, 2, 3], [13, 21, 0], [4, 15, 10], [20, 1, 9], [11, 17, 14], [8, 5, 6, 18]]
[[9, 13, 7], [18, 20, 5], [17, 2, 3], [1, 15, 10], [21, 14, 12], [16, 19, 4], [11, 8, 6, 0]]
[[7, 12, 6], [17, 15, 14], [0, 20, 1], [5, 9, 8], [3, 2, 19], [4, 18, 16], [21, 13, 10, 11]]
[[2, 3, 4], [21, 16, 10], [9, 14, 19], [18, 6, 15], [7, 11, 13], [12, 5, 17], [8, 20, 1, 0]]
[[7, 15, 20], [5, 14, 1], [3, 19, 18], [17, 11, 16], [0, 10, 21], [4, 8, 12], [9, 13, 6, 2]]
[[1, 7, 10], [9, 17, 5], [13, 20, 2], [8, 16, 18], [15, 11, 4], [3, 12, 19], [6, 21, 0, 14]]
[[17, 14, 18], [4, 12, 9], [8, 0, 15], [21, 19, 16], [6, 5, 1], [20, 3, 10], [2, 7, 13, 11]]
[[18, 2, 20], [19, 8, 15], [12, 17, 21], [1, 6, 7], [16, 11, 3], [0, 4, 14], [5, 9, 13, 10]]
[[8, 16, 13], [11, 4, 15], [18, 21, 3], [17, 7, 5], [9, 10, 2], [19, 14, 20], [0, 1, 12, 6]]
[[14, 12, 3], [18, 0, 5], [6, 11, 2], [10, 20, 16], [7, 4, 17], [8, 13, 9], [19, 21, 1, 15]]
[[5, 17, 4], [21, 19, 9], [15, 20, 10], [0, 14, 3], [2, 13, 18], [16, 12, 7], [11, 6, 8, 1]]
[[20, 16, 10], [19, 3, 6], [1, 18, 15], [11, 12, 17], [9, 8, 7], [2, 14, 4], [0, 21, 5, 13]]
[[0, 16, 11], [18, 15, 6], [9, 1, 7], [12, 8, 13], [19, 14, 10], [2, 4, 17], [3, 5, 20, 21]]
[[17, 18, 19], [6, 4, 14], [7, 16, 11], [20, 5, 0], [1, 3, 8], [21, 15, 9], [12, 2, 13, 10]]
[[11, 16, 9], [5, 7, 13], [18, 20, 2], [19, 10, 21], [1, 8, 4], [6, 14, 17], [3, 15, 12, 0]]
[[21, 14, 17], [9, 5, 1], [0, 11, 8], [2, 13, 3], [12, 10, 6], [20, 15, 7], [19, 4, 18, 16]]
[[20, 10, 8], [11, 0, 14], [2, 4, 18], [17, 15, 3], [19, 12, 5], [9, 13, 1], [6, 16, 7, 21]]
[[0, 9, 11], [14, 3, 4], [15, 8, 16], [6, 7, 19], [1, 21, 10], [5, 12, 13], [20, 18, 17, 2]]
[[7, 16, 19], [10, 9, 15], [11, 14, 1], [0, 13, 4], [3, 21, 18], [2, 8, 17], [6, 20, 12, 5]]
[[4, 19, 20], [11, 6, 15], [14, 18, 2], [7, 21, 13], [3, 16, 9], [5, 10, 8], [1, 12, 0, 17]]
[[20, 6, 21], [5, 8, 12], [0, 4, 17], [3, 13, 15], [1, 16, 19], [11, 18, 9], [2, 14, 7, 10]]
[[17, 15, 9], [4, 8, 1], [12, 0, 14], [20, 18, 21], [16, 13, 10], [6, 5, 11], [7, 2, 19, 3]]
[[14, 21, 2], [10, 11, 18], [7, 3, 16], [20, 0, 15], [12, 1, 17], [13, 6, 5], [4, 8, 19, 9]]
[[13, 18, 12], [5, 14, 21], [20, 15, 3], [9, 6, 17], [16, 4, 0], [7, 2, 10], [11, 1, 8, 19]]
[[8, 21, 14], [6, 7, 1], [17, 19, 10], [11, 13, 9], [15, 0, 4], [3, 5, 12], [2, 16, 18, 20]]
[[18, 20, 3], [14, 9, 5], [2, 4, 11], [16, 21, 8], [12, 1, 19], [13, 6, 17], [7, 0, 15, 10]]
[[5, 15, 0], [11, 8, 13], [6, 17, 3], [7, 21, 1], [4, 20, 9], [18, 12, 10], [14, 2, 16, 19]]
[[2, 10, 17], [15, 6, 13], [0, 9, 16], [1, 4, 3], [7, 18, 21], [12, 20, 19], [11, 14, 5, 8]]
[[0, 18, 19], [2, 17, 9], [4, 7, 13], [15, 5, 6], [8, 3, 11], [21, 10, 12], [20, 1, 16, 14]]
[[16, 6, 10], [7, 21, 20], [5, 0, 19], [18, 1, 9], [3, 12, 2], [8, 13, 17], [15, 11, 4, 14]]
[[11, 16, 8], [1, 12, 18], [9, 20, 19], [14, 7, 0], [5, 3, 13], [15, 10, 17], [6, 4, 2, 21]]
[[10, 11, 14], [9, 1, 7], [21, 2, 16], [20, 4, 13], [17, 19, 0], [15, 5, 6], [3, 18, 8, 12]]
[[1, 15, 4], [18, 3, 0], [12, 17, 2], [11, 20, 5], [14, 10, 19], [7, 9, 8], [16, 13, 6, 21]]
[[10, 8, 19], [16, 17, 14], [15, 1, 7], [0, 2, 6], [9, 13, 12], [4, 11, 18], [5, 3, 20, 21]]
[[16, 10, 5], [8, 20, 13], [0, 1, 19], [7, 17, 14], [12, 21, 3], [11, 9, 4], [15, 6, 18, 2]]
[[9, 8, 19], [2, 20, 3], [11, 0, 14], [18, 1, 4], [12, 16, 21], [5, 6, 7], [17, 13, 15, 10]]
[[8, 12, 21], [13, 0, 16], [2, 5, 20], [17, 4, 14], [7, 3, 11], [9, 18, 19], [6, 1, 15, 10]]
[[2, 20, 12], [15, 1, 9], [0, 16, 13], [18, 8, 14], [4, 21, 3], [7, 5, 19], [10, 11, 17, 6]]
[[9, 6, 15], [7, 13, 18], [3, 20, 8], [11, 1, 16], [0, 5, 21], [4, 17, 12], [10, 14, 19, 2]]
[[19, 6, 9], [0, 13, 17], [1, 10, 2], [20, 21, 5], [14, 12, 3], [7, 8, 18], [16, 4, 15, 11]]
[[10, 16, 15], [12, 2, 11], [1, 0, 6], [14, 17, 9], [4, 13, 21], [5, 19, 7], [18, 3, 20, 8]]
[[14, 4, 9], [2, 11, 15], [21, 13, 16], [19, 1, 5], [8, 6, 0], [18, 12, 17], [10, 7, 20, 3]]
[[16, 19, 1], [13, 11, 7], [0, 6, 8], [12, 21, 2], [10, 18, 5], [17, 3, 14], [4, 20, 9, 15]]
[[15, 10, 2], [1, 21, 19], [13, 18, 20], [11, 7, 9], [0, 5, 6], [8, 14, 3], [12, 17, 16, 4]]
[[3, 15, 5], [11, 17, 21], [12, 14, 9], [16, 18, 7], [19, 6, 8], [13, 1, 0], [2, 10, 4, 20]]
[[2, 8, 13], [19, 11, 10], [0, 12, 20], [5, 16, 3], [15, 6, 14], [21, 18, 17], [4, 1, 7, 9]]
[[2, 14, 13], [11, 0, 3], [17, 21, 8], [16, 20, 5], [12, 9, 15], [18, 7, 4], [19, 10, 6, 1]]
[[15, 1, 2], [16, 3, 10], [0, 17, 9], [5, 4, 18], [12, 11, 7], [6, 8, 19], [13, 20, 14, 21]]
[[16, 3, 17], [21, 2, 11], [7, 9, 10], [14, 6, 19], [20, 18, 8], [13, 12, 5], [1, 0, 4, 15]]
[[4, 21, 20], [18, 2, 6], [17, 5, 16], [10, 11, 15], [1, 3, 0], [7, 12, 19], [13, 8, 14, 9]]
[[14, 13, 21], [5, 19, 15], [7, 16, 2], [12, 18, 20], [9, 11, 4], [8, 6, 10], [1, 3, 17, 0]]
[[5, 0, 18], [4, 14, 2], [15, 16, 7], [13, 8, 3], [12, 11, 1], [17, 21, 20], [6, 10, 9, 19]]
[[12, 6, 3], [2, 20, 1], [7, 13, 17], [15, 11, 5], [18, 10, 9], [14, 19, 21], [16, 4, 0, 8]]
[[8, 10, 7], [3, 9, 16], [14, 0, 20], [6, 1, 2], [4, 21, 18], [19, 12, 15], [11, 17, 5, 13]]
[[2, 9, 21], [10, 3, 20], [8, 0, 5], [16, 6, 11], [1, 14, 4], [15, 19, 18], [7, 17, 13, 12]]
[[19, 13, 2], [5, 4, 10], [3, 6, 8], [16, 1, 21], [15, 9, 0], [14, 7, 20], [12, 11, 18, 17]]
[[6, 12, 7], [20, 9, 2], [3, 15, 13], [18, 1, 10], [17, 14, 4], [5, 8, 19], [16, 0, 21, 11]]
[[10, 19, 12], [2, 0, 7], [8, 9, 3], [1, 4, 17], [16, 11, 21], [14, 5, 20], [18, 15, 6, 13]]
