[[6, 5, 7], [18, 0, 12], [17, 4, 10], [3, 2, 13], [14, 1, 8], [9, 15, 16, 11]]
[[1, 11, 12], [18, 13, 9], [14, 10, 8], [6, 17, 0], [5, 7, 15], [3, 16, 4, 2]]
[[2, 15, 1], [10, 13, 18], [3, 12, 14], [9, 0, 6], [7, 17, 11], [4, 16, 8, 5]]
[[16, 1, 14], [11, 3, 17], [6, 10, 13], [8, 5, 2], [15, 18, 0], [7, 9, 12, 4]]
[[4, 11, 6], [13, 5, 0], [17, 3, 12], [15, 16, 1], [14, 10, 18], [7, 2, 9, 8]]
[[7, 13, 2], [15, 6, 5], [8, 14, 18], [9, 1, 0], [11, 4, 12], [16, 17, 3, 10]]
[[18, 1, 2], [12, 17, 13], [9, 4, 5], [7, 3, 0], [10, 11, 16], [15, 14, 8, 6]]
[[15, 11, 6], [14, 5, 13], [12, 4, 1], [9, 3, 8], [7, 16, 10], [18, 2, 17, 0]]
[[1, 2, 15], [11, 10, 7], [6, 4, 3], [8, 0, 16], [13, 17, 14], [9, 5, 18, 12]]
[[0, 6, 14], [1, 5, 16], [4, 17, 10], [15, 2, 13], [7, 8, 9], [3, 11, 18, 12]]
[[0, 17, 10], [8, 16, 2], [18, 15, 7], [11, 13, 5], [6, 4, 9], [3, 1, 12, 14]]
[[10, 12, 16], [8, 5, 13], [9, 7, 11], [18, 6, 14], [3, 4, 17], [0, 1, 15, 2]]
[[16, 12, 15], [5, 11, 9], [0, 4, 14], [8, 6, 18], [17, 13, 2], [7, 3, 10, 1]]
[[13, 15, 11], [6, 5, 1], [12, 8, 7], [2, 4, 9], [17, 14, 0], [18, 3, 10, 16]]
[[4, 11, 6], [18, 5, 1], [13, 15, 8], [12, 10, 16], [17, 0, 2], [9, 7, 3, 14]]
[[7, 3, 6], [4, 11, 10], [12, 5, 0], [8, 14, 17], [2, 18, 9], [13, 16, 1, 15]]
[[18, 1, 17], [12, 8, 3], [2, 15, 6], [13, 10, 7], [4, 9, 5], [11, 0, 16, 14]]
[[8, 0, 17], [4, 16, 12], [2, 1, 3], [9, 10, 13], [15, 11, 6], [14, 5, 18, 7]]
[[0, 3, 18], [8, 7, 12], [11, 6, 15], [2, 10, 16], [14, 1, 5], [17, 13, 4, 9]]
[[9, 7, 6], [8, 10, 4], [0, 16, 1], [3, 13, 2], [14, 12, 17], [11, 18, 5, 15]]
[[13, 0, 9], [2, 1, 7], [6, 18, 8], [5, 17, 14], [16, 15, 12], [11, 10, 3, 4]]
[[3, 0, 8], [14, 4, 10], [13, 5, 9], [16, 6, 18], [2, 7, 17], [12, 15, 1, 11]]
[[10, 2, 1], [16, 11, 14], [17, 5, 9], [7, 12, 0], [15, 8, 4], [6, 13, 18, 3]]
[[13, 8, 3], [15, 10, 2], [5, 11, 12], [7, 17, 1], [18, 4, 0], [16, 14, 9, 6]]
[[8, 15, 7], [9, 17, 10], [18, 3, 14], [5, 16, 12], [0, 6, 2], [4, 11, 13, 1]]
[[14, 10, 6], [4, 9, 13], [2, 0, 3], [12, 5, 7], [11, 18, 17], [8, 15, 16, 1]]
[[6, 2, 0], [1, 14, 11], [3, 18, 17], [16, 15, 5], [13, 4, 7], [8, 9, 12, 10]]
[[18, 15, 2], [11, 10, 13], [14, 6, 4], [3, 0, 9], [16, 7, 12], [17, 1, 8, 5]]
[[15, 5, 3], [11, 10, 0], [8, 12, 2], [6, 14, 18], [1, 7, 16], [17, 4, 13, 9]]
[[18, 7, 17], [14, 8, 5], [10, 13, 1], [2, 9, 16], [11, 6, 3], [12, 15, 4, 0]]
[[14, 10, 0], [6, 16, 17], [11, 15, 1], [4, 2, 13], [18, 3, 12], [5, 7, 8, 9]]
[[14, 11, 2], [8, 12, 15], [17, 1, 4], [9, 0, 10], [18, 16, 13], [5, 6, 3, 7]]
[[6, 15, 18], [8, 16, 4], [17, 5, 9], [3, 13, 10], [14, 1, 7], [11, 2, 0, 12]]
[[9, 2, 17], [10, 12, 15], [16, 6, 18], [11, 1, 4], [13, 7, 0], [3, 5, 14, 8]]
[[15, 17, 12], [3, 10, 13], [7, 0, 2], [4, 1, 8], [18, 6, 14], [16, 5, 9, 11]]
[[0, 8, 3], [16, 1, 13], [15, 12, 4], [7, 9, 6], [14, 18, 11], [10, 2, 5, 17]]
[[0, 8, 17], [11, 13, 1], [10, 5, 3], [16, 15, 14], [12, 18, 7], [9, 4, 2, 6]]
[[15, 18, 6], [0, 10, 1], [4, 17, 2], [8, 12, 3], [5, 16, 11], [9, 7, 13, 14]]
[[3, 18, 7], [4, 6, 16], [13, 1, 15], [11, 8, 2], [0, 5, 14], [10, 9, 12, 17]]
[[17, 0, 3], [16, 12, 6], [10, 11, 9], [15, 14, 13], [18, 8, 5], [2, 4, 1, 7]]
[[5, 17, 10], [9, 2, 0], [3, 4, 15], [18, 8, 11], [7, 16, 14], [13, 1, 12, 6]]
[[9, 16, 13], [10, 18, 11], [8, 17, 5], [6, 2, 3], [15, 4, 12], [1, 0, 7, 14]]
[[10, 7, 14], [16, 8, 2], [9, 0, 15], [18, 5, 13], [17, 1, 12], [6, 3, 11, 4]]
[[4, 7, 0], [6, 5, 10], [16, 3, 9], [15, 17, 18], [1, 14, 13], [8, 2, 12, 11]]
[[14, 1, 0], [6, 15, 7], [3, 8, 10], [12, 16, 4], [5, 17, 13], [11, 9, 2, 18]]
[[9, 16, 13], [11, 14, 5], [12, 0, 2], [10, 4, 3], [7, 18, 8], [1, 17, 6, 15]]
[[2, 8, 11], [13, 1, 10], [4, 0, 15], [5, 18, 17], [7, 12, 14], [9, 16, 6, 3]]
[[17, 16, 0], [15, 18, 3], [14, 7, 1], [13, 12, 10], [11, 6, 8], [5, 9, 2, 4]]
[[1, 7, 18], [2, 16, 3], [11, 4, 10], [13, 17, 8], [5, 0, 15], [12, 9, 14, 6]]
[[0, 11, 12], [17, 4, 2], [16, 18, 15], [8, 6, 14], [9, 10, 1], [13, 3, 5, 7]]
[[6, 5, 2], [16, 12, 13], [17, 18, 15], [4, 14, 11], [1, 7, 0], [8, 9, 3, 10]]
[[10, 1, 12], [16, 9, 15], [11, 13, 18], [0, 3, 2], [7, 6, 4], [5, 8, 14, 17]]
[[2, 4, 12], [17, 8, 10], [3, 7, 9], [5, 0, 15], [1, 13, 11], [18, 6, 16, 14]]
[[18, 17, 10], [16, 13, 1], [3, 14, 12], [9, 5, 6], [8, 7, 0], [4, 15, 2, 11]]
[[4, 14, 0], [2, 1, 9], [17, 7, 13], [12, 3, 18], [5, 15, 6], [16, 11, 8, 10]]
[[18, 10, 14], [16, 13, 6], [15, 8, 2], [17, 11, 7], [5, 4, 1], [9, 12, 3, 0]]
[[13, 14, 7], [2, 3, 0], [12, 16, 8], [17, 4, 15], [1, 10, 18], [11, 6, 9, 5]]
[[16, 13, 7], [11, 18, 0], [17, 6, 14], [12, 9, 3], [5, 1, 8], [2, 10, 15, 4]]
[[10, 9, 3], [1, 18, 8], [16, 0, 7], [17, 14, 2], [4, 15, 11], [6, 5, 12, 13]]
[[12, 7, 14], [11, 10, 0], [8, 3, 9], [4, 6, 15], [13, 17, 18], [16, 5, 1, 2]]
[[16, 13, 12], [2, 15, 18], [14, 11, 10], [5, 0, 3], [17, 7, 6], [9, 1, 4, 8]]
[[4, 5, 12], [0, 8, 15], [18, 3, 14], [11, 9, 1], [17, 2, 10], [16, 7, 13, 6]]
[[9, 13, 6], [11, 8, 0], [3, 18, 2], [15, 1, 10], [17, 5, 14], [12, 7, 4, 16]]
[[4, 6, 17], [15, 2, 11], [8, 16, 18], [0, 7, 5], [3, 1, 12], [13, 10, 14, 9]]
[[13, 5, 9], [8, 14, 17], [11, 16, 10], [12, 4, 6], [18, 1, 2], [15, 7, 0, 3]]
[[7, 12, 15], [11, 0, 4], [16, 3, 17], [10, 6, 2], [9, 1, 5], [18, 8, 14, 13]]
[[15, 0, 18], [17, 6, 4], [12, 14, 10], [16, 7, 2], [9, 13, 11], [5, 1, 8, 3]]
[[13, 4, 16], [11, 5, 2], [9, 1, 7], [6, 10, 18], [8, 15, 12], [17, 14, 3, 0]]
[[2, 17, 12], [15, 4, 1], [0, 7, 8], [3, 18, 9], [10, 11, 14], [16, 6, 13, 5]]
[[15, 16, 5], [18, 8, 7], [14, 17, 1], [9, 3, 6], [0, 13, 11], [2, 4, 12, 10]]
[[15, 8, 9], [14, 10, 4], [11, 17, 18], [12, 0, 3], [7, 1, 16], [6, 13, 2, 5]]
[[17, 3, 4], [15, 18, 8], [5, 1, 0], [9, 2, 6], [10, 13, 12], [7, 11, 16, 14]]
[[5, 14, 17], [15, 3, 1], [12, 18, 16], [10, 11, 0], [7, 4, 6], [9, 2, 8, 13]]
[[9, 4, 11], [8, 12, 3], [13, 14, 10], [1, 15, 16], [5, 7, 0], [17, 2, 6, 18]]
[[9, 13, 10], [1, 3, 5], [11, 7, 12], [2, 15, 4], [8, 14, 6], [18, 16, 17, 0]]
[[11, 2, 0], [18, 8, 6], [9, 7, 10], [15, 5, 13], [12, 17, 14], [3, 16, 1, 4]]
[[2, 9, 6], [0, 3, 1], [7, 8, 17], [16, 5, 18], [4, 10, 13], [14, 12, 11, 15]]
[[9, 6, 0], [1, 16, 7], [14, 13, 10], [17, 4, 18], [5, 12, 15], [2, 11, 8, 3]]
[[3, 11, 7], [18, 12, 5], [15, 17, 1], [6, 13, 2], [4, 14, 16], [8, 0, 10, 9]]
[[11, 8, 17], [10, 15, 1], [3, 6, 16], [14, 9, 2], [0, 18, 13], [5, 7, 4, 12]]
[[0, 9, 12], [10, 1, 5], [15, 7, 16], [18, 13, 11], [3, 14, 8], [2, 17, 6, 4]]
[[11, 2, 18], [4, 3, 7], [5, 6, 8], [16, 10, 15], [0, 1, 9], [14, 13, 12, 17]]
[[0, 2, 7], [15, 18, 13], [16, 14, 6], [8, 9, 3], [17, 4, 11], [10, 1, 5, 12]]
