[[12, 5, 15], [10, 14, 13], [4, 3, 8], [6, 7, 11], [0, 1, 2, 9]]
[[9, 3, 2], [13, 7, 5], [10, 8, 15], [4, 11, 12], [0, 1, 14, 6]]
[[14, 2, 0], [3, 10, 8], [13, 6, 9], [5, 11, 12], [1, 7, 4, 15]]
[[1, 5, 7], [9, 0, 2], [6, 15, 3], [13, 4, 8], [14, 12, 10, 11]]
[[10, 2, 9], [4, 14, 8], [1, 0, 12], [15, 13, 6], [7, 11, 3, 5]]
[[11, 14, 15], [7, 4, 1], [2, 0, 13], [8, 3, 10], [12, 6, 9, 5]]
[[15, 13, 11], [6, 14, 4], [0, 5, 7], [9, 3, 12], [8, 1, 10, 2]]
[[11, 2, 10], [1, 5, 7], [15, 13, 3], [9, 12, 0], [6, 4, 8, 14]]
[[1, 7, 6], [8, 11, 2], [9, 13, 12], [5, 14, 0], [3, 4, 15, 10]]
[[8, 13, 15], [10, 6, 0], [5, 3, 2], [7, 1, 9], [11, 4, 14, 12]]
[[7, 9, 2], [3, 1, 6], [5, 4, 12], [10, 11, 15], [0, 13, 14, 8]]
[[0, 10, 7], [9, 5, 2], [12, 1, 14], [4, 13, 3], [11, 15, 8, 6]]
[[0, 12, 5], [2, 8, 14], [1, 15, 4], [13, 6, 3], [10, 9, 7, 11]]
[[2, 11, 4], [15, 7, 14], [10, 8, 1], [3, 6, 0], [13, 9, 5, 12]]
[[13, 5, 7], [11, 10, 15], [9, 4, 1], [3, 14, 6], [12, 2, 8, 0]]
[[8, 14, 2], [9, 13, 3], [7, 0, 11], [12, 10, 5], [15, 1, 4, 6]]
[[12, 5, 11], [9, 6, 3], [10, 8, 7], [13, 0, 15], [14, 2, 4, 1]]
[[0, 2, 4], [1, 7, 9], [13, 11, 5], [10, 12, 15], [8, 6, 14, 3]]
[[14, 5, 15], [12, 13, 2], [9, 4, 1], [3, 11, 0], [8, 10, 7, 6]]
[[8, 13, 9], [10, 14, 2], [0, 15, 5], [4, 7, 12], [6, 3, 1, 11]]
[[12, 10, 1], [2, 6, 8], [5, 0, 9], [3, 13, 14], [7, 11, 4, 15]]
[[9, 1, 6], [10, 3, 13], [15, 2, 5], [7, 0, 4], [14, 12, 11, 8]]
[[3, 1, 5], [15, 10, 11], [12, 6, 9], [13, 7, 8], [2, 4, 14, 0]]
[[13, 15, 6], [10, 3, 4], [7, 14, 5], [11, 12, 1], [2, 0, 9, 8]]
[[9, 10, 2], [0, 7, 6], [1, 15, 14], [4, 8, 13], [11, 3, 12, 5]]
[[10, 15, 12], [3, 7, 13], [4, 1, 8], [11, 6, 2], [0, 14, 9, 5]]
[[15, 7, 8], [6, 12, 13], [14, 11, 3], [5, 1, 4], [0, 2, 10, 9]]
[[8, 13, 7], [12, 9, 15], [4, 0, 2], [1, 5, 3], [6, 10, 11, 14]]
[[8, 5, 2], [14, 11, 12], [9, 15, 13], [6, 10, 4], [1, 3, 0, 7]]
[[3, 2, 15], [5, 1, 4], [13, 11, 6], [0, 10, 7], [8, 14, 9, 12]]
[[1, 7, 10], [12, 0, 2], [14, 4, 15], [8, 11, 6], [5, 3, 9, 13]]
[[5, 2, 13], [11, 7, 4], [8, 0, 15], [1, 3, 6], [12, 14, 10, 9]]
[[6, 15, 10], [13, 12, 1], [0, 3, 11], [4, 8, 14], [9, 5, 2, 7]]
[[14, 7, 10], [11, 13, 3], [8, 2, 0], [4, 9, 12], [6, 1, 15, 5]]
[[4, 7, 3], [6, 2, 0], [15, 9, 5], [12, 1, 14], [10, 8, 11, 13]]
[[5, 11, 14], [0, 9, 1], [4, 3, 13], [6, 7, 10], [12, 15, 2, 8]]
[[6, 3, 5], [11, 14, 1], [2, 15, 13], [0, 10, 8], [9, 7, 12, 4]]
[[3, 9, 1], [7, 6, 13], [5, 0, 10], [4, 12, 11], [14, 8, 2, 15]]
[[7, 6, 3], [8, 9, 14], [1, 11, 5], [2, 15, 0], [13, 12, 10, 4]]
[[0, 15, 5], [12, 11, 10], [4, 1, 9], [14, 2, 6], [7, 8, 13, 3]]
[[6, 10, 2], [7, 14, 15], [4, 1, 11], [0, 5, 12], [13, 3, 9, 8]]
[[0, 8, 11], [7, 5, 3], [6, 15, 2], [10, 14, 1], [12, 13, 9, 4]]
[[11, 1, 5], [8, 2, 9], [13, 12, 7], [14, 3, 0], [10, 15, 4, 6]]
