[[7, 12, 1], [2, 14, 19], [18, 3, 15], [21, 8, 4], [5, 11, 10], [20, 9, 6], [22, 23, 17], [13, 16, 0]]
[[1, 14, 20], [21, 23, 8], [13, 19, 6], [0, 22, 3], [5, 9, 11], [4, 2, 10], [18, 17, 7], [15, 12, 16]]
[[4, 20, 23], [0, 19, 10], [14, 22, 9], [17, 16, 13], [2, 18, 15], [1, 8, 6], [5, 12, 11], [3, 7, 21]]
[[22, 10, 9], [23, 11, 8], [17, 19, 14], [0, 21, 12], [2, 6, 16], [13, 4, 3], [18, 7, 1], [20, 15, 5]]
[[13, 10, 23], [6, 22, 5], [8, 16, 4], [12, 9, 7], [2, 11, 21], [3, 20, 19], [1, 18, 15], [17, 0, 14]]
[[2, 10, 14], [4, 18, 8], [15, 22, 6], [3, 13, 7], [21, 5, 11], [16, 23, 0], [12, 20, 19], [17, 1, 9]]
[[7, 21, 14], [6, 8, 4], [20, 2, 13], [11, 5, 19], [12, 22, 17], [18, 9, 16], [0, 10, 1], [23, 3, 15]]
[[21, 16, 8], [22, 11, 1], [23, 19, 18], [2, 6, 17], [5, 15, 12], [9, 14, 0], [4, 3, 7], [10, 13, 20]]
[[21, 20, 14], [8, 9, 19], [15, 4, 7], [23, 2, 3], [16, 17, 6], [22, 11, 12], [1, 0, 5], [18, 13, 10]]
[[14, 2, 10], [8, 4, 20], [15, 23, 17], [1, 11, 22], [18, 9, 7], [19, 6, 3], [21, 5, 0], [12, 13, 16]]
[[10, 14, 20], [1, 23, 4], [3, 6, 16], [18, 9, 8], [11, 0, 7], [17, 15, 19], [13, 22, 12], [2, 21, 5]]
[[23, 3, 14], [12, 17, 8], [21, 5, 4], [16, 7, 20], [13, 2, 6], [22, 0, 9], [18, 19, 15], [11, 10, 1]]
[[21, 6, 12], [13, 10, 5], [23, 8, 2], [1, 0, 22], [14, 3, 16], [4, 18, 20], [9, 19, 15], [11, 7, 17]]
[[3, 9, 1], [5, 20, 19], [12, 21, 11], [22, 23, 15], [4, 8, 18], [0, 7, 13], [10, 6, 16], [17, 2, 14]]
[[21, 2, 16], [10, 1, 9], [17, 4, 22], [8, 5, 14], [6, 3, 20], [15, 19, 11], [7, 12, 23], [18, 0, 13]]
[[6, 11, 19], [17, 3, 15], [0, 23, 5], [21, 7, 8], [14, 10, 2], [12, 9, 22], [20, 16, 13], [1, 18, 4]]
[[17, 13, 21], [23, 1, 20], [0, 3, 11], [22, 18, 14], [4, 16, 8], [7, 19, 10], [5, 15, 2], [12, 6, 9]]
[[4, 14, 16], [5, 7, 21], [19, 13, 6], [15, 11, 9], [2, 20, 10], [22, 0, 12], [23, 18, 1], [3, 17, 8]]
[[9, 15, 23], [4, 19, 8], [18, 14, 5], [12, 7, 6], [16, 20, 0], [2, 13, 17], [3, 10, 22], [21, 1, 11]]
[[19, 12, 13], [18, 4, 14], [8, 10, 2], [16, 7, 20], [23, 9, 1], [15, 6, 22], [17, 5, 3], [21, 11, 0]]
[[21, 11, 22], [9, 8, 3], [6, 19, 17], [2, 18, 5], [23, 7, 15], [0, 20, 10], [12, 4, 1], [14, 16, 13]]
[[4, 17, 0], [2, 1, 19], [8, 3, 12], [23, 13, 5], [18, 11, 16], [15, 10, 22], [9, 6, 20], [21, 7, 14]]
[[8, 16, 21], [1, 7, 6], [20, 23, 13], [5, 3, 0], [12, 22, 4], [9, 14, 18], [15, 2, 10], [11, 19, 17]]
[[21, 0, 2], [7, 22, 19], [12, 8, 16], [4, 20, 13], [10, 3, 5], [23, 17, 14], [9, 18, 6], [15, 11, 1]]
[[5, 11, 1], [16, 17, 3], [22, 6, 19], [15, 20, 10], [4, 8, 13], [12, 18, 14], [7, 23, 9], [0, 21, 2]]
[[14, 6, 10], [16, 21, 7], [15, 22, 3], [12, 18, 13], [4, 2, 19], [5, 11, 17], [1, 20, 8], [23, 9, 0]]
[[22, 0, 20], [16, 17, 11], [10, 8, 4], [15, 1, 13], [12, 3, 5], [18, 6, 7], [23, 21, 19], [9, 2, 14]]
[[21, 22, 10], [1, 4, 3], [11, 20, 7], [23, 17, 18], [13, 5, 12], [2, 16, 9], [14, 15, 6], [0, 8, 19]]
[[20, 11, 6], [7, 1, 0], [16, 18, 14], [8, 22, 15], [13, 10, 3], [19, 5, 4], [21, 23, 17], [12, 2, 9]]
[[4, 19, 21], [23, 11, 22], [9, 15, 20], [17, 2, 0], [12, 5, 3], [1, 6, 7], [18, 14, 8], [10, 13, 16]]
[[22, 14, 8], [16, 0, 3], [15, 6, 9], [13, 21, 10], [11, 7, 17], [23, 2, 4], [18, 12, 19], [20, 1, 5]]
[[17, 3, 16], [4, 6, 10], [2, 18, 7], [19, 0, 1], [21, 20, 14], [5, 15, 12], [9, 23, 11], [13, 8, 22]]
[[23, 5, 13], [10, 16, 4], [1, 6, 3], [2, 18, 12], [20, 11, 15], [9, 17, 0], [8, 22, 14], [19, 7, 21]]
[[14, 18, 1], [3, 0, 23], [9, 5, 13], [16, 6, 17], [21, 8, 15], [7, 22, 11], [2, 19, 20], [10, 4, 12]]
[[11, 12, 10], [20, 14, 13], [21, 3, 4], [17, 22, 16], [18, 23, 2], [19, 6, 5], [8, 1, 7], [0, 15, 9]]
[[3, 13, 6], [20, 7, 23], [1, 22, 17], [2, 9, 8], [21, 12, 18], [10, 5, 16], [19, 11, 0], [15, 14, 4]]
[[10, 3, 2], [16, 17, 0], [1, 8, 21], [6, 9, 4], [20, 15, 11], [18, 5, 12], [13, 19, 23], [14, 22, 7]]
[[19, 6, 23], [8, 12, 13], [9, 17, 2], [7, 5, 11], [21, 0, 15], [14, 10, 4], [22, 20, 16], [18, 3, 1]]
[[12, 4, 17], [14, 1, 21], [15, 13, 20], [5, 11, 9], [3, 22, 10], [16, 7, 19], [8, 2, 18], [0, 6, 23]]
[[7, 20, 9], [0, 19, 13], [5, 2, 10], [18, 15, 22], [6, 17, 14], [3, 12, 1], [8, 16, 23], [11, 4, 21]]
[[22, 23, 6], [16, 10, 2], [11, 20, 7], [3, 12, 21], [14, 9, 15], [13, 19, 1], [17, 8, 4], [18, 5, 0]]
[[4, 1, 8], [6, 19, 18], [22, 2, 13], [14, 5, 21], [17, 9, 12], [23, 20, 15], [3, 16, 7], [10, 11, 0]]
[[1, 2, 18], [13, 21, 12], [3, 20, 23], [10, 22, 6], [14, 15, 17], [4, 8, 19], [7, 11, 9], [0, 5, 16]]
[[16, 14, 18], [4, 12, 10], [13, 8, 17], [5, 19, 7], [15, 22, 23], [0, 9, 20], [11, 1, 3], [2, 6, 21]]
[[18, 6, 3], [10, 9, 2], [12, 15, 1], [23, 20, 13], [17, 11, 4], [22, 14, 7], [16, 19, 8], [0, 5, 21]]
[[9, 3, 12], [10, 4, 22], [11, 6, 16], [13, 21, 20], [17, 19, 14], [15, 2, 7], [18, 1, 0], [8, 23, 5]]
[[2, 12, 14], [7, 10, 20], [13, 23, 0], [18, 15, 9], [17, 3, 19], [6, 8, 5], [1, 11, 16], [4, 22, 21]]
[[6, 0, 18], [13, 19, 16], [23, 7, 9], [10, 4, 14], [11, 5, 21], [2, 1, 15], [8, 20, 12], [17, 22, 3]]
[[0, 19, 16], [5, 22, 9], [6, 21, 10], [18, 13, 4], [12, 17, 14], [2, 8, 20], [1, 23, 15], [3, 11, 7]]
[[22, 23, 2], [16, 8, 21], [15, 6, 10], [12, 9, 11], [4, 13, 0], [18, 17, 19], [20, 14, 3], [5, 1, 7]]
[[21, 16, 10], [9, 6, 17], [15, 1, 22], [23, 11, 3], [14, 0, 7], [20, 18, 2], [4, 13, 8], [12, 5, 19]]
[[6, 18, 2], [9, 1, 15], [14, 10, 11], [0, 8, 4], [17, 5, 3], [21, 12, 23], [7, 13, 22], [19, 20, 16]]
[[19, 23, 15], [10, 18, 9], [3, 7, 5], [0, 6, 2], [12, 22, 4], [8, 20, 21], [13, 16, 14], [17, 11, 1]]
[[22, 12, 13], [21, 5, 9], [3, 10, 0], [1, 11, 20], [6, 7, 23], [17, 4, 8], [16, 15, 18], [2, 19, 14]]
[[11, 15, 7], [12, 18, 1], [21, 6, 14], [17, 9, 4], [2, 8, 23], [19, 16, 3], [13, 0, 22], [20, 5, 10]]
[[13, 16, 4], [8, 11, 22], [20, 23, 21], [14, 2, 15], [10, 7, 12], [5, 1, 0], [6, 19, 18], [17, 9, 3]]
[[4, 18, 5], [21, 3, 9], [0, 10, 17], [13, 1, 7], [20, 19, 2], [12, 6, 15], [16, 22, 8], [14, 11, 23]]
[[19, 18, 17], [6, 9, 1], [2, 22, 0], [10, 3, 16], [4, 15, 13], [14, 7, 11], [12, 23, 5], [21, 20, 8]]
[[0, 13, 11], [7, 20, 18], [16, 1, 9], [19, 8, 22], [6, 2, 21], [15, 5, 23], [14, 4, 3], [17, 12, 10]]
[[23, 5, 10], [21, 3, 11], [13, 1, 16], [12, 14, 7], [0, 8, 18], [22, 9, 6], [15, 2, 19], [20, 4, 17]]
[[14, 3, 0], [7, 2, 22], [8, 17, 4], [10, 1, 20], [21, 13, 15], [18, 23, 5], [6, 11, 9], [12, 16, 19]]
[[4, 5, 8], [16, 7, 17], [19, 23, 20], [15, 22, 12], [13, 21, 11], [1, 18, 10], [0, 14, 3], [2, 6, 9]]
[[5, 14, 15], [9, 21, 19], [12, 20, 16], [6, 4, 2], [1, 8, 11], [3, 22, 10], [7, 18, 0], [23, 17, 13]]
[[7, 11, 17], [14, 1, 10], [19, 15, 12], [21, 18, 13], [0, 8, 6], [2, 3, 5], [22, 20, 16], [9, 23, 4]]
