[[2, 10, 5], [15, 14, 8], [3, 9, 7], [11, 0, 1, 4], [16, 6, 13, 12]]
[[1, 2, 14], [7, 8, 15], [3, 12, 11], [10, 4, 0, 9], [5, 13, 6, 16]]
[[11, 2, 4], [9, 14, 13], [12, 3, 6], [16, 8, 10, 1], [0, 7, 15, 5]]
[[7, 16, 5], [4, 11, 9], [15, 10, 13], [1, 3, 14, 2], [12, 0, 8, 6]]
[[3, 12, 0], [7, 2, 14], [11, 16, 9], [8, 13, 5, 10], [1, 15, 4, 6]]
[[5, 7, 8], [13, 9, 6], [10, 4, 2], [16, 1, 14, 15], [0, 3, 12, 11]]
[[9, 16, 14], [12, 10, 3], [15, 8, 11], [13, 5, 2, 7], [1, 6, 0, 4]]
[[8, 3, 10], [4, 11, 2], [15, 16, 6], [1, 0, 5, 9], [7, 13, 12, 14]]
[[16, 2, 10], [1, 14, 5], [9, 4, 11], [8, 6, 7, 0], [15, 12, 3, 13]]
[[9, 14, 7], [6, 5, 11], [8, 13, 2], [3, 16, 15, 0], [1, 12, 10, 4]]
[[12, 1, 8], [0, 4, 14], [9, 2, 15], [5, 10, 7, 13], [11, 16, 6, 3]]
[[1, 12, 9], [15, 5, 3], [6, 16, 7], [2, 4, 10, 14], [8, 13, 11, 0]]
[[12, 0, 4], [15, 6, 2], [16, 5, 8], [11, 1, 13, 10], [7, 14, 3, 9]]
[[3, 0, 7], [12, 16, 9], [8, 5, 11], [1, 14, 15, 13], [10, 2, 4, 6]]
[[14, 16, 0], [8, 5, 3], [2, 7, 6], [10, 13, 1, 15], [9, 4, 12, 11]]
[[9, 10, 16], [15, 2, 14], [11, 4, 3], [13, 5, 6, 0], [7, 8, 12, 1]]
[[8, 9, 12], [10, 14, 16], [11, 5, 4], [13, 0, 15, 1], [2, 7, 3, 6]]
[[16, 8, 5], [14, 12, 6], [13, 7, 9], [1, 4, 0, 2], [15, 10, 11, 3]]
[[3, 13, 16], [12, 9, 0], [14, 2, 1], [5, 7, 15, 10], [8, 11, 6, 4]]
[[11, 5, 16], [0, 7, 14], [2, 8, 4], [13, 9, 10, 6], [12, 15, 1, 3]]
[[8, 16, 0], [15, 5, 14], [7, 1, 10], [4, 12, 9, 6], [2, 13, 11, 3]]
[[11, 7, 15], [3, 6, 5], [16, 14, 4], [10, 8, 1, 12], [0, 13, 2, 9]]
[[12, 0, 2], [16, 4, 7], [15, 5, 6], [1, 9, 10, 14], [8, 11, 3, 13]]
[[13, 3, 7], [12, 2, 16], [11, 6, 9], [5, 0, 4, 15], [1, 14, 10, 8]]
[[16, 13, 1], [4, 3, 2], [6, 8, 9], [11, 14, 7, 15], [10, 0, 12, 5]]
[[7, 10, 8], [15, 1, 0], [5, 13, 4], [6, 16, 12, 11], [9, 14, 2, 3]]
[[4, 7, 14], [5, 3, 1], [11, 15, 12], [9, 16, 0, 6], [13, 10, 8, 2]]
[[7, 16, 9], [8, 6, 3], [14, 5, 2], [1, 15, 0, 11], [10, 13, 4, 12]]
[[8, 5, 0], [11, 10, 16], [9, 2, 14], [3, 13, 1, 6], [7, 4, 12, 15]]
[[7, 8, 9], [11, 2, 4], [16, 15, 14], [5, 10, 12, 13], [3, 6, 1, 0]]
[[10, 4, 8], [14, 0, 11], [15, 5, 16], [12, 7, 2, 13], [3, 9, 1, 6]]
[[11, 1, 3], [16, 6, 4], [12, 5, 0], [14, 8, 7, 13], [2, 10, 9, 15]]
[[15, 16, 7], [9, 1, 11], [0, 12, 14], [5, 2, 13, 8], [6, 4, 10, 3]]
[[8, 7, 2], [16, 13, 0], [1, 11, 15], [3, 9, 6, 10], [14, 5, 12, 4]]
[[2, 8, 10], [11, 14, 16], [7, 15, 3], [5, 0, 13, 1], [4, 6, 12, 9]]
[[14, 11, 3], [13, 4, 8], [5, 6, 0], [16, 9, 12, 1], [10, 15, 7, 2]]
[[2, 7, 11], [13, 15, 4], [3, 6, 1], [12, 16, 0, 10], [8, 9, 5, 14]]
[[14, 2, 0], [9, 6, 4], [10, 7, 16], [12, 15, 5, 13], [1, 3, 11, 8]]
[[10, 4, 2], [8, 11, 14], [5, 9, 7], [15, 3, 1, 13], [6, 0, 12, 16]]
[[9, 12, 13], [10, 14, 11], [15, 16, 0], [1, 5, 4, 8], [3, 7, 2, 6]]
[[0, 6, 2], [13, 9, 3], [16, 8, 15], [10, 4, 12, 11], [1, 7, 14, 5]]
[[6, 3, 5], [7, 9, 8], [14, 0, 16], [12, 11, 13, 10], [1, 15, 4, 2]]
[[10, 7, 4], [11, 16, 2], [14, 0, 15], [13, 6, 9, 8], [1, 5, 12, 3]]
[[11, 15, 12], [5, 3, 6], [7, 14, 4], [16, 1, 2, 9], [0, 8, 13, 10]]
[[9, 5, 16], [0, 4, 1], [15, 3, 8], [6, 7, 12, 14], [11, 13, 2, 10]]
[[5, 12, 3], [14, 9, 15], [4, 2, 10], [16, 11, 8, 7], [13, 1, 0, 6]]
[[1, 5, 4], [12, 3, 0], [14, 11, 2], [13, 9, 16, 6], [10, 7, 8, 15]]
[[1, 16, 15], [5, 11, 0], [4, 9, 13], [2, 6, 7, 10], [8, 12, 14, 3]]
[[15, 8, 14], [16, 1, 7], [13, 2, 0], [5, 9, 10, 4], [3, 11, 6, 12]]
[[9, 3, 4], [12, 6, 0], [10, 8, 5], [1, 14, 15, 16], [13, 7, 11, 2]]
[[6, 2, 12], [1, 16, 11], [0, 9, 14], [7, 5, 10, 13], [4, 15, 3, 8]]
[[12, 4, 3], [0, 8, 13], [10, 11, 15], [14, 5, 1, 6], [2, 7, 9, 16]]
[[3, 6, 7], [16, 0, 9], [13, 8, 12], [1, 2, 10, 15], [5, 11, 4, 14]]
[[6, 11, 1], [13, 2, 5], [16, 15, 3], [9, 8, 4, 0], [12, 10, 14, 7]]
[[1, 2, 4], [13, 8, 14], [12, 7, 6], [9, 3, 0, 11], [10, 5, 15, 16]]
[[2, 4, 7], [1, 15, 16], [5, 13, 12], [0, 8, 9, 14], [11, 6, 10, 3]]
[[11, 0, 3], [14, 1, 7], [6, 4, 2], [10, 15, 5, 12], [9, 16, 8, 13]]
[[14, 1, 2], [10, 6, 9], [12, 8, 5], [7, 16, 3, 11], [4, 15, 13, 0]]
[[2, 16, 8], [1, 13, 5], [14, 7, 15], [4, 6, 11, 3], [0, 10, 12, 9]]
[[3, 10, 15], [14, 12, 8], [1, 4, 0], [16, 11, 6, 9], [2, 7, 5, 13]]
[[0, 10, 2], [12, 13, 15], [4, 1, 16], [5, 7, 14, 8], [6, 9, 3, 11]]
[[9, 2, 1], [6, 5, 11], [12, 7, 14], [15, 0, 4, 8], [13, 10, 16, 3]]
[[14, 16, 0], [11, 1, 3], [8, 6, 5], [10, 13, 9, 4], [15, 2, 7, 12]]
[[2, 14, 5], [12, 16, 1], [0, 3, 11], [10, 8, 7, 6], [9, 13, 4, 15]]
