[[3, 10, 12], [15, 8, 14], [9, 7, 2], [13, 11, 5], [0, 1, 17], [6, 4, 16]]
[[11, 10, 2], [6, 5, 16], [4, 13, 7], [8, 1, 9], [15, 12, 3], [17, 14, 0]]
[[2, 13, 9], [7, 0, 12], [3, 14, 10], [6, 11, 4], [8, 1, 16], [15, 17, 5]]
[[9, 17, 4], [3, 0, 12], [7, 14, 11], [6, 16, 2], [15, 10, 13], [5, 1, 8]]
[[2, 15, 14], [7, 9, 16], [5, 10, 0], [11, 12, 17], [8, 13, 4], [1, 3, 6]]
[[3, 2, 14], [5, 11, 1], [7, 9, 16], [10, 6, 8], [0, 4, 13], [17, 12, 15]]
[[0, 10, 17], [7, 12, 3], [13, 11, 1], [16, 9, 8], [14, 4, 15], [5, 6, 2]]
[[10, 17, 16], [3, 14, 11], [4, 13, 6], [2, 8, 9], [0, 5, 15], [12, 1, 7]]
[[11, 10, 14], [3, 0, 13], [16, 12, 2], [7, 9, 6], [1, 8, 4], [5, 17, 15]]
[[15, 10, 5], [1, 6, 13], [14, 16, 7], [9, 8, 11], [0, 2, 17], [3, 12, 4]]
[[13, 0, 9], [10, 6, 7], [5, 2, 3], [17, 16, 4], [1, 11, 8], [15, 14, 12]]
[[2, 6, 16], [13, 11, 4], [5, 17, 0], [14, 7, 1], [3, 15, 12], [10, 8, 9]]
[[17, 0, 12], [8, 14, 6], [7, 9, 10], [4, 3, 1], [15, 16, 5], [2, 11, 13]]
[[10, 11, 14], [17, 1, 9], [7, 13, 0], [4, 15, 5], [8, 6, 12], [16, 3, 2]]
[[10, 3, 13], [1, 0, 4], [8, 16, 2], [11, 17, 15], [12, 7, 5], [6, 9, 14]]
[[6, 8, 2], [0, 3, 5], [10, 16, 13], [17, 4, 11], [1, 7, 15], [9, 12, 14]]
[[17, 5, 9], [3, 2, 12], [0, 15, 6], [4, 7, 16], [11, 8, 14], [10, 1, 13]]
[[15, 16, 2], [8, 9, 6], [12, 13, 14], [5, 11, 7], [1, 4, 0], [17, 3, 10]]
[[4, 17, 10], [2, 14, 8], [12, 1, 15], [5, 7, 3], [9, 0, 11], [13, 6, 16]]
[[6, 8, 0], [12, 11, 9], [3, 15, 2], [1, 10, 5], [16, 7, 17], [13, 4, 14]]
[[4, 13, 17], [0, 16, 3], [15, 5, 1], [6, 2, 11], [9, 12, 14], [10, 7, 8]]
[[4, 8, 7], [1, 15, 11], [9, 12, 10], [17, 14, 5], [16, 6, 13], [0, 3, 2]]
[[7, 8, 14], [10, 3, 5], [2, 17, 16], [0, 9, 11], [15, 4, 6], [1, 12, 13]]
[[12, 2, 17], [5, 6, 15], [11, 1, 13], [16, 3, 8], [9, 14, 7], [10, 4, 0]]
[[11, 15, 5], [13, 1, 8], [12, 3, 14], [6, 0, 2], [7, 17, 4], [9, 10, 16]]
[[7, 4, 13], [12, 11, 17], [2, 5, 6], [1, 16, 15], [10, 8, 0], [14, 9, 3]]
[[14, 5, 3], [8, 2, 7], [6, 10, 13], [1, 9, 12], [17, 15, 11], [4, 16, 0]]
[[16, 12, 6], [7, 2, 14], [13, 10, 1], [15, 17, 9], [8, 3, 4], [11, 0, 5]]
[[2, 14, 10], [16, 8, 13], [11, 1, 7], [5, 6, 0], [4, 12, 3], [17, 9, 15]]
[[1, 3, 17], [13, 0, 5], [11, 16, 10], [15, 8, 12], [14, 2, 7], [9, 6, 4]]
[[15, 17, 14], [4, 9, 10], [12, 1, 3], [2, 13, 5], [6, 16, 7], [0, 11, 8]]
[[10, 4, 14], [7, 1, 5], [17, 9, 15], [0, 13, 6], [2, 12, 3], [8, 16, 11]]
[[5, 12, 8], [16, 9, 0], [17, 3, 6], [1, 15, 13], [4, 11, 2], [7, 14, 10]]
[[8, 14, 4], [1, 12, 2], [17, 0, 15], [6, 9, 5], [11, 10, 13], [16, 7, 3]]
[[5, 13, 6], [11, 4, 3], [0, 7, 15], [17, 1, 16], [12, 14, 8], [10, 9, 2]]
[[11, 5, 4], [16, 13, 15], [17, 3, 7], [12, 8, 2], [9, 14, 10], [1, 0, 6]]
[[15, 4, 14], [11, 8, 13], [0, 16, 9], [1, 7, 6], [5, 10, 3], [17, 2, 12]]
[[6, 9, 4], [17, 1, 5], [15, 3, 14], [12, 16, 10], [7, 2, 11], [13, 8, 0]]
[[1, 8, 4], [13, 17, 5], [10, 6, 2], [16, 0, 14], [9, 12, 11], [3, 15, 7]]
[[9, 14, 11], [8, 15, 6], [4, 13, 2], [1, 7, 17], [10, 12, 5], [16, 3, 0]]
[[0, 4, 15], [16, 7, 2], [13, 14, 6], [12, 11, 1], [8, 3, 9], [10, 5, 17]]
[[5, 7, 1], [13, 15, 4], [0, 14, 16], [2, 10, 9], [6, 17, 8], [3, 11, 12]]
[[1, 6, 11], [17, 3, 12], [10, 8, 14], [7, 4, 2], [0, 16, 5], [15, 13, 9]]
[[1, 12, 4], [8, 3, 9], [2, 17, 6], [5, 0, 10], [14, 15, 13], [11, 7, 16]]
[[11, 10, 15], [7, 14, 17], [3, 9, 16], [0, 2, 13], [1, 5, 6], [4, 12, 8]]
[[17, 8, 0], [2, 13, 9], [1, 7, 11], [3, 5, 4], [12, 10, 15], [16, 14, 6]]
[[12, 16, 0], [8, 7, 10], [5, 17, 4], [1, 13, 9], [6, 11, 14], [2, 3, 15]]
[[12, 6, 14], [11, 1, 16], [13, 3, 15], [4, 0, 7], [5, 2, 17], [8, 9, 10]]
[[8, 14, 15], [9, 17, 5], [3, 1, 6], [2, 7, 0], [4, 10, 16], [13, 12, 11]]
[[17, 10, 4], [3, 9, 6], [5, 8, 13], [15, 2, 11], [16, 1, 14], [0, 12, 7]]
[[10, 13, 16], [1, 7, 15], [2, 14, 5], [12, 8, 6], [17, 0, 3], [11, 4, 9]]
[[12, 8, 6], [4, 2, 9], [5, 3, 10], [15, 11, 17], [13, 1, 14], [7, 0, 16]]
[[4, 16, 15], [17, 9, 12], [7, 14, 13], [2, 5, 6], [3, 10, 11], [0, 8, 1]]
[[0, 7, 8], [17, 12, 14], [2, 1, 6], [13, 16, 4], [9, 5, 11], [15, 10, 3]]
[[4, 3, 2], [11, 10, 8], [1, 6, 17], [14, 16, 9], [12, 7, 5], [15, 13, 0]]
[[9, 7, 17], [11, 14, 5], [6, 10, 4], [1, 8, 2], [0, 12, 16], [15, 13, 3]]
[[4, 6, 2], [12, 13, 16], [7, 5, 9], [10, 11, 15], [1, 3, 8], [17, 14, 0]]
[[7, 12, 8], [15, 9, 4], [5, 11, 0], [6, 16, 17], [14, 1, 13], [10, 2, 3]]
[[1, 11, 0], [5, 10, 6], [14, 16, 9], [13, 3, 7], [12, 2, 17], [15, 8, 4]]
[[4, 13, 3], [6, 5, 0], [9, 7, 11], [17, 1, 8], [2, 15, 10], [12, 16, 14]]
[[2, 8, 13], [11, 6, 0], [10, 7, 3], [1, 15, 14], [4, 5, 12], [17, 9, 16]]
[[5, 2, 8], [6, 0, 15], [16, 14, 1], [17, 12, 3], [4, 11, 13], [10, 9, 7]]
[[11, 13, 2], [7, 3, 0], [16, 10, 9], [4, 17, 12], [1, 5, 15], [6, 8, 14]]
[[2, 8, 9], [13, 3, 12], [0, 4, 17], [1, 14, 6], [11, 5, 15], [7, 10, 16]]
[[10, 3, 5], [8, 6, 13], [9, 11, 12], [0, 7, 2], [17, 14, 1], [16, 15, 4]]
[[13, 10, 15], [7, 8, 9], [14, 6, 4], [12, 11, 17], [16, 3, 5], [1, 2, 0]]
[[5, 10, 14], [15, 7, 17], [0, 8, 9], [4, 16, 3], [1, 12, 13], [11, 6, 2]]
[[7, 12, 5], [4, 13, 17], [0, 10, 1], [14, 3, 2], [11, 16, 15], [6, 9, 8]]
[[7, 0, 14], [6, 2, 5], [16, 3, 11], [12, 8, 13], [9, 10, 1], [4, 15, 17]]
[[10, 15, 2], [4, 8, 0], [12, 16, 9], [6, 13, 3], [5, 7, 17], [14, 11, 1]]
[[9, 6, 3], [14, 2, 7], [0, 17, 13], [12, 10, 1], [5, 4, 8], [16, 15, 11]]
[[16, 3, 5], [0, 11, 10], [1, 13, 9], [15, 17, 7], [2, 4, 6], [14, 12, 8]]
[[9, 0, 14], [10, 8, 7], [5, 12, 15], [3, 16, 2], [17, 6, 4], [13, 11, 1]]
[[12, 1, 11], [3, 5, 6], [14, 10, 4], [16, 15, 13], [2, 17, 9], [0, 7, 8]]
[[3, 15, 13], [0, 12, 11], [8, 14, 6], [1, 16, 10], [17, 5, 7], [2, 9, 4]]
[[3, 4, 16], [1, 14, 12], [6, 9, 5], [7, 13, 11], [17, 0, 15], [2, 10, 8]]
[[14, 12, 11], [8, 3, 4], [6, 7, 1], [16, 15, 10], [0, 17, 5], [13, 2, 9]]
[[6, 16, 11], [0, 17, 12], [14, 1, 4], [10, 7, 3], [15, 8, 5], [2, 13, 9]]
[[10, 5, 4], [6, 7, 14], [0, 1, 15], [2, 3, 9], [11, 8, 13], [16, 17, 12]]
[[9, 6, 15], [14, 0, 12], [16, 1, 3], [11, 5, 4], [13, 10, 17], [7, 8, 2]]
[[4, 16, 13], [17, 14, 11], [1, 12, 9], [7, 5, 0], [6, 2, 10], [15, 8, 3]]
