[[16, 15, 7], [8, 11, 21], [20, 5, 13], [12, 2, 4], [10, 18, 3], [14, 17, 22, 0], [19, 1, 9, 6]]
[[14, 13, 21], [2, 15, 11], [10, 8, 12], [5, 3, 20], [7, 4, 18], [9, 1, 16, 22], [17, 6, 19, 0]]
[[11, 18, 8], [19, 14, 20], [4, 13, 5], [7, 1, 10], [9, 22, 0], [12, 6, 21, 16], [15, 17, 3, 2]]
[[8, 12, 22], [0, 9, 7], [18, 16, 17], [14, 2, 3], [5, 1, 6], [10, 11, 21, 19], [13, 20, 15, 4]]
[[1, 3, 22], [14, 18, 10], [13, 20, 15], [19, 4, 9], [6, 7, 5], [2, 8, 11, 16], [21, 12, 0, 17]]
[[2, 10, 20], [11, 5, 16], [17, 13, 14], [15, 8, 22], [4, 12, 1], [18, 19, 9, 0], [3, 21, 6, 7]]
[[19, 17, 18], [1, 4, 13], [5, 16, 6], [9, 20, 7], [8, 14, 11], [21, 10, 3, 2], [15, 0, 12, 22]]
[[19, 16, 10], [0, 12, 1], [6, 21, 15], [20, 8, 14], [7, 3, 17], [18, 11, 4, 22], [5, 13, 2, 9]]
[[21, 6, 14], [1, 7, 10], [0, 2, 13], [17, 4, 12], [19, 15, 9], [3, 20, 8, 22], [16, 5, 18, 11]]
[[3, 8, 19], [0, 12, 13], [11, 4, 10], [21, 22, 14], [16, 7, 9], [6, 1, 20, 15], [17, 5, 18, 2]]
[[10, 8, 14], [18, 17, 5], [13, 12, 0], [9, 2, 16], [6, 11, 20], [21, 19, 22, 15], [1, 4, 3, 7]]
[[20, 6, 8], [0, 22, 21], [18, 11, 19], [10, 12, 13], [16, 7, 4], [14, 5, 15, 3], [9, 2, 1, 17]]
[[11, 17, 14], [18, 10, 2], [20, 5, 9], [7, 8, 22], [6, 13, 15], [3, 4, 16, 0], [21, 1, 12, 19]]
[[4, 15, 0], [18, 13, 6], [22, 20, 9], [3, 1, 19], [14, 21, 10], [16, 12, 17, 11], [8, 2, 7, 5]]
[[8, 3, 21], [12, 2, 7], [19, 14, 16], [11, 5, 15], [10, 17, 6], [13, 0, 4, 1], [9, 22, 18, 20]]
[[6, 20, 13], [12, 1, 16], [9, 7, 8], [14, 17, 22], [10, 4, 11], [19, 15, 0, 3], [21, 18, 2, 5]]
[[19, 15, 13], [4, 21, 11], [5, 22, 0], [17, 12, 6], [1, 8, 14], [7, 3, 2, 18], [10, 20, 16, 9]]
[[15, 9, 10], [21, 0, 12], [14, 18, 6], [17, 11, 20], [1, 5, 16], [7, 13, 19, 3], [8, 22, 4, 2]]
[[19, 13, 2], [10, 8, 5], [9, 18, 20], [21, 4, 3], [1, 17, 15], [22, 6, 12, 14], [11, 0, 7, 16]]
[[13, 3, 18], [10, 5, 0], [14, 15, 7], [17, 2, 8], [9, 22, 21], [11, 4, 20, 6], [16, 19, 1, 12]]
[[15, 18, 17], [9, 0, 1], [19, 21, 8], [5, 10, 4], [7, 13, 6], [22, 16, 3, 11], [2, 14, 12, 20]]
[[6, 10, 12], [1, 18, 13], [21, 5, 7], [2, 8, 3], [14, 19, 20], [17, 9, 4, 22], [15, 11, 16, 0]]
[[2, 0, 10], [15, 13, 8], [21, 14, 5], [22, 7, 4], [6, 3, 17], [18, 1, 12, 16], [19, 9, 20, 11]]
[[21, 14, 13], [22, 19, 1], [15, 4, 20], [17, 11, 2], [16, 12, 3], [7, 6, 10, 5], [8, 9, 0, 18]]
[[8, 9, 3], [5, 20, 11], [12, 1, 15], [16, 2, 14], [21, 7, 22], [19, 13, 17, 4], [0, 10, 18, 6]]
[[6, 4, 22], [1, 14, 18], [20, 2, 12], [15, 19, 17], [10, 5, 7], [3, 11, 8, 13], [21, 9, 0, 16]]
[[22, 7, 8], [15, 4, 17], [21, 10, 12], [3, 1, 0], [13, 19, 16], [6, 2, 18, 14], [20, 11, 9, 5]]
[[15, 7, 11], [18, 17, 5], [19, 3, 13], [12, 6, 14], [22, 8, 16], [4, 0, 21, 1], [9, 20, 10, 2]]
[[8, 13, 20], [5, 18, 10], [7, 16, 2], [1, 0, 11], [15, 3, 19], [6, 12, 14, 9], [4, 22, 21, 17]]
[[18, 13, 8], [4, 5, 15], [16, 22, 9], [20, 17, 21], [10, 7, 1], [3, 6, 19, 2], [14, 12, 11, 0]]
[[6, 4, 15], [18, 8, 12], [21, 2, 1], [17, 3, 0], [9, 16, 11], [14, 5, 13, 10], [20, 22, 19, 7]]
[[4, 19, 20], [12, 21, 10], [22, 3, 17], [18, 8, 11], [6, 14, 0], [13, 2, 16, 15], [1, 5, 7, 9]]
[[2, 4, 7], [3, 16, 21], [5, 0, 6], [8, 11, 20], [13, 15, 17], [9, 12, 1, 14], [19, 10, 18, 22]]
[[11, 8, 22], [4, 14, 3], [5, 0, 2], [1, 6, 9], [21, 18, 19], [17, 12, 16, 15], [10, 20, 13, 7]]
[[11, 2, 20], [6, 22, 1], [8, 14, 10], [16, 7, 19], [21, 3, 15], [12, 18, 0, 13], [4, 17, 9, 5]]
[[18, 7, 15], [5, 16, 20], [17, 22, 0], [14, 2, 11], [3, 9, 19], [13, 8, 1, 21], [10, 6, 4, 12]]
[[8, 17, 2], [19, 7, 15], [9, 16, 6], [22, 4, 21], [14, 0, 5], [12, 1, 11, 13], [20, 3, 10, 18]]
[[21, 8, 9], [10, 12, 1], [15, 13, 11], [5, 17, 2], [0, 7, 16], [3, 4, 22, 14], [20, 19, 6, 18]]
[[16, 20, 3], [10, 1, 19], [13, 2, 21], [6, 12, 18], [5, 0, 15], [17, 8, 22, 4], [11, 7, 9, 14]]
[[1, 17, 22], [12, 13, 10], [5, 11, 6], [16, 2, 8], [3, 19, 21], [0, 9, 20, 18], [14, 7, 4, 15]]
[[7, 9, 17], [8, 21, 14], [0, 12, 3], [22, 5, 2], [6, 13, 18], [11, 20, 15, 1], [10, 16, 19, 4]]
[[7, 4, 6], [13, 10, 2], [9, 22, 19], [17, 21, 12], [15, 16, 8], [0, 1, 18, 11], [20, 14, 3, 5]]
[[15, 21, 18], [17, 9, 8], [5, 2, 13], [4, 0, 7], [11, 1, 19], [10, 20, 22, 16], [6, 3, 14, 12]]
[[7, 14, 6], [3, 9, 21], [10, 19, 17], [8, 5, 1], [12, 2, 20], [4, 16, 15, 11], [13, 18, 22, 0]]
[[7, 12, 19], [3, 8, 0], [9, 10, 5], [22, 18, 1], [6, 21, 4], [2, 16, 15, 17], [14, 20, 13, 11]]
[[11, 4, 19], [15, 0, 21], [2, 14, 7], [6, 17, 9], [18, 10, 5], [22, 20, 16, 3], [12, 13, 8, 1]]
[[2, 19, 7], [18, 12, 22], [10, 13, 0], [3, 11, 4], [17, 16, 1], [5, 15, 21, 9], [8, 14, 6, 20]]
[[6, 0, 18], [22, 15, 20], [14, 8, 9], [17, 3, 5], [2, 16, 11], [4, 13, 10, 12], [1, 7, 21, 19]]
[[19, 8, 10], [9, 2, 11], [12, 17, 22], [16, 13, 7], [3, 15, 0], [6, 21, 4, 18], [5, 1, 20, 14]]
[[18, 9, 7], [2, 10, 16], [12, 4, 19], [15, 6, 8], [1, 5, 11], [22, 14, 17, 0], [21, 20, 3, 13]]
[[1, 12, 0], [18, 3, 22], [14, 6, 8], [17, 13, 15], [7, 2, 16], [5, 10, 4, 11], [9, 19, 21, 20]]
[[11, 5, 12], [16, 7, 2], [22, 18, 14], [3, 13, 19], [4, 20, 10], [6, 1, 17, 0], [9, 15, 21, 8]]
[[19, 7, 18], [10, 14, 6], [15, 17, 9], [21, 8, 1], [11, 16, 12], [0, 22, 5, 2], [3, 4, 13, 20]]
[[21, 8, 2], [11, 14, 12], [10, 19, 15], [22, 3, 16], [13, 17, 9], [5, 0, 4, 18], [20, 1, 6, 7]]
[[22, 0, 11], [20, 21, 9], [4, 17, 16], [18, 1, 15], [13, 8, 2], [7, 19, 10, 12], [3, 6, 14, 5]]
[[10, 18, 8], [19, 6, 2], [7, 12, 14], [5, 16, 9], [20, 11, 0], [22, 3, 1, 21], [15, 17, 4, 13]]
[[5, 1, 21], [11, 14, 9], [18, 0, 2], [12, 15, 19], [3, 6, 4], [8, 16, 13, 22], [20, 7, 17, 10]]
[[4, 18, 9], [3, 1, 6], [12, 13, 20], [11, 5, 7], [0, 14, 10], [21, 15, 19, 2], [17, 16, 8, 22]]
[[20, 3, 4], [7, 0, 19], [2, 5, 11], [8, 21, 13], [14, 10, 17], [22, 15, 1, 12], [16, 6, 9, 18]]
