[[7, 6, 2], [19, 0, 4], [14, 11, 1], [5, 16, 10], [15, 18, 8], [17, 13, 12], [9, 3, 20]]
[[14, 0, 7], [19, 9, 17], [13, 16, 5], [11, 8, 10], [15, 12, 6], [4, 18, 3], [2, 20, 1]]
[[19, 2, 13], [6, 11, 4], [1, 0, 12], [14, 10, 8], [18, 3, 17], [20, 9, 16], [7, 5, 15]]
[[6, 3, 16], [15, 20, 0], [1, 19, 7], [13, 4, 14], [9, 11, 17], [2, 18, 12], [10, 5, 8]]
[[19, 9, 6], [14, 10, 7], [16, 17, 8], [3, 20, 5], [2, 15, 18], [13, 0, 4], [11, 12, 1]]
[[10, 5, 1], [17, 20, 14], [7, 6, 12], [0, 4, 2], [16, 3, 8], [19, 9, 13], [11, 15, 18]]
[[20, 3, 8], [19, 18, 4], [0, 13, 9], [11, 7, 5], [12, 1, 14], [16, 17, 10], [6, 15, 2]]
[[11, 4, 1], [16, 8, 12], [20, 3, 6], [14, 5, 9], [10, 7, 17], [2, 13, 15], [18, 19, 0]]
[[1, 18, 11], [17, 2, 4], [9, 0, 15], [10, 6, 5], [12, 7, 19], [3, 13, 16], [14, 20, 8]]
[[16, 3, 10], [5, 19, 12], [2, 6, 20], [0, 7, 1], [13, 8, 14], [17, 11, 18], [4, 9, 15]]
[[5, 15, 2], [13, 0, 10], [3, 12, 8], [17, 16, 9], [14, 18, 20], [6, 7, 19], [11, 4, 1]]
[[3, 12, 4], [8, 15, 7], [5, 18, 6], [19, 0, 2], [9, 14, 1], [13, 11, 17], [16, 10, 20]]
[[5, 7, 2], [11, 15, 10], [13, 9, 14], [8, 1, 20], [12, 0, 4], [18, 17, 16], [3, 6, 19]]
[[10, 7, 5], [3, 4, 16], [14, 12, 17], [8, 2, 13], [9, 18, 20], [0, 11, 6], [19, 15, 1]]
[[17, 4, 19], [12, 7, 2], [11, 16, 20], [3, 9, 14], [18, 1, 6], [8, 0, 5], [15, 13, 10]]
[[0, 3, 7], [19, 5, 4], [18, 11, 9], [12, 2, 14], [20, 15, 6], [8, 13, 17], [16, 10, 1]]
[[12, 6, 14], [18, 15, 10], [9, 19, 8], [16, 11, 20], [0, 17, 7], [5, 1, 13], [4, 2, 3]]
[[5, 2, 4], [18, 15, 11], [9, 1, 19], [14, 8, 6], [13, 7, 20], [10, 0, 3], [17, 12, 16]]
[[10, 6, 2], [16, 13, 0], [19, 17, 14], [12, 7, 15], [4, 3, 8], [18, 9, 5], [1, 20, 11]]
[[3, 1, 10], [4, 2, 5], [13, 14, 7], [9, 17, 8], [20, 15, 6], [12, 0, 18], [16, 19, 11]]
[[18, 9, 14], [11, 12, 3], [8, 2, 0], [15, 16, 5], [6, 13, 17], [4, 7, 19], [10, 20, 1]]
[[6, 1, 9], [5, 11, 4], [3, 14, 0], [7, 10, 12], [17, 8, 19], [2, 15, 18], [16, 13, 20]]
[[9, 4, 13], [15, 10, 16], [12, 1, 14], [3, 20, 2], [18, 19, 8], [11, 5, 6], [0, 17, 7]]
[[5, 13, 11], [1, 6, 12], [18, 14, 16], [9, 4, 10], [2, 7, 0], [19, 8, 20], [3, 15, 17]]
[[17, 16, 3], [18, 0, 12], [1, 15, 10], [6, 9, 2], [13, 8, 19], [20, 4, 14], [5, 11, 7]]
[[15, 5, 1], [17, 9, 14], [10, 2, 11], [6, 16, 18], [12, 8, 20], [19, 0, 7], [4, 3, 13]]
[[16, 2, 19], [0, 18, 3], [8, 17, 6], [4, 9, 1], [7, 5, 14], [11, 13, 20], [10, 15, 12]]
[[12, 16, 15], [2, 1, 9], [8, 3, 19], [7, 5, 6], [0, 18, 13], [20, 4, 17], [10, 11, 14]]
[[19, 1, 8], [9, 6, 14], [15, 10, 16], [4, 20, 13], [17, 18, 7], [5, 2, 3], [0, 11, 12]]
[[15, 5, 10], [16, 7, 3], [11, 14, 9], [2, 6, 18], [13, 4, 0], [12, 20, 17], [8, 19, 1]]
[[3, 20, 8], [7, 1, 12], [5, 13, 2], [15, 17, 6], [9, 10, 14], [16, 4, 18], [19, 11, 0]]
[[6, 11, 18], [1, 9, 15], [20, 8, 2], [4, 19, 17], [14, 5, 10], [3, 13, 16], [7, 12, 0]]
[[11, 20, 0], [15, 6, 10], [5, 18, 2], [13, 14, 8], [12, 17, 9], [16, 3, 19], [4, 1, 7]]
[[8, 14, 3], [15, 12, 6], [1, 16, 18], [9, 0, 4], [13, 10, 20], [2, 17, 7], [5, 19, 11]]
[[7, 11, 20], [13, 10, 12], [6, 17, 1], [3, 8, 19], [15, 4, 5], [14, 2, 9], [18, 0, 16]]
[[19, 16, 20], [10, 6, 8], [15, 11, 1], [7, 2, 18], [4, 5, 3], [9, 14, 0], [17, 12, 13]]
[[5, 18, 17], [6, 9, 19], [11, 16, 8], [4, 12, 14], [2, 1, 7], [20, 10, 3], [15, 0, 13]]
[[19, 4, 14], [1, 2, 7], [12, 0, 13], [10, 20, 15], [8, 3, 9], [16, 5, 11], [17, 18, 6]]
[[13, 10, 3], [9, 8, 18], [12, 16, 5], [15, 0, 20], [19, 11, 17], [6, 1, 2], [4, 7, 14]]
[[4, 12, 1], [8, 19, 0], [11, 17, 18], [7, 10, 14], [15, 2, 16], [3, 9, 13], [6, 5, 20]]
[[0, 5, 3], [7, 12, 16], [6, 19, 17], [20, 4, 2], [18, 1, 9], [13, 15, 14], [11, 10, 8]]
[[14, 0, 5], [18, 7, 15], [3, 6, 9], [2, 19, 10], [17, 1, 16], [12, 4, 20], [13, 8, 11]]
[[14, 18, 5], [7, 3, 17], [15, 1, 2], [20, 19, 4], [11, 6, 13], [8, 12, 16], [10, 9, 0]]
[[7, 15, 18], [12, 8, 4], [1, 3, 9], [6, 0, 17], [19, 11, 14], [5, 13, 2], [10, 16, 20]]
[[2, 7, 1], [12, 15, 5], [13, 14, 17], [8, 10, 4], [6, 0, 11], [20, 18, 3], [16, 9, 19]]
[[2, 19, 16], [9, 20, 1], [18, 12, 5], [8, 14, 3], [11, 17, 6], [10, 15, 4], [0, 13, 7]]
[[15, 13, 11], [8, 18, 3], [6, 14, 20], [4, 19, 5], [1, 17, 0], [12, 16, 9], [10, 2, 7]]
[[0, 6, 19], [12, 20, 11], [17, 7, 4], [13, 1, 3], [8, 15, 5], [2, 16, 9], [10, 14, 18]]
[[3, 1, 9], [15, 4, 12], [16, 2, 14], [19, 0, 13], [18, 10, 5], [20, 6, 11], [8, 7, 17]]
[[1, 15, 20], [8, 18, 4], [6, 0, 17], [2, 12, 14], [7, 10, 11], [16, 5, 9], [13, 3, 19]]
[[3, 10, 17], [8, 5, 6], [15, 9, 1], [18, 4, 14], [7, 11, 16], [0, 19, 13], [12, 20, 2]]
[[17, 10, 0], [18, 7, 4], [11, 2, 14], [15, 20, 3], [13, 19, 12], [8, 9, 5], [1, 6, 16]]
[[9, 7, 19], [14, 8, 6], [0, 17, 5], [15, 20, 18], [12, 3, 2], [11, 4, 16], [10, 1, 13]]
[[11, 1, 17], [0, 4, 3], [15, 20, 14], [6, 12, 9], [7, 18, 2], [13, 16, 19], [5, 10, 8]]
[[0, 19, 2], [8, 14, 9], [13, 10, 18], [5, 12, 17], [11, 15, 3], [20, 6, 16], [4, 7, 1]]
[[4, 8, 9], [7, 17, 19], [5, 2, 0], [18, 3, 6], [20, 14, 13], [1, 12, 11], [16, 10, 15]]
[[13, 6, 1], [7, 11, 8], [3, 10, 17], [4, 19, 5], [15, 2, 0], [20, 16, 12], [14, 18, 9]]
[[16, 13, 17], [9, 1, 2], [0, 18, 6], [14, 11, 7], [20, 19, 8], [15, 4, 12], [5, 10, 3]]
